Verkiezing;;Tweede Kamer der Staten-Generaal 2017;;;;;;;;;;;;;;
Datum;;15-3-2017;;;;;;;;;;;;;;
Gebied;;Gemeente Roerdalen;;;;;;;;;;;;;;
Nummer;;1669;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lijstnr.;Partij;Volgnummer;Naam kandidaat;Totaal;C.C. De Beuk;Hotel Roerdalen;WZC Bergh;MFC de Roerparel;Sr. hof  De Vaert;Zaal o.d. Kerk;Andreasheem;Apollohal;BS De Berensprong;WZC Bosscherhof;Zaal Roerzicht;BS St.Martinus
;;;;;1;2;3;4;5;6;7;8;9;10;11;12
PC;;;;;6061 EG;6061 AG;6077 BK;6077 CG;6065 CX;6065 AS;6074 BB;6074 EH;6075 CW;6075 HE;6063 AL;6063 BW
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;VVD;;;2341;198;173;183;190;125;193;222;271;268;262;139;117
;;1;Rutte, M.;1884;157;149;138;152;92;152;174;213;228;204;122;103
;;2;Hennis-Plasschaert, J.A.;130;12;4;13;8;13;12;13;13;15;18;3;6
;;3;Zijlstra, H.;20;0;0;1;0;2;2;2;1;6;4;0;2
;;4;van Ark, T.;8;0;0;0;6;0;0;1;0;0;1;0;0
;;5;Dijkhoff, K.H.D.M.;129;17;14;11;0;4;12;16;26;11;10;2;6
;;6;Dekker, S.;5;0;0;0;1;0;0;0;2;0;1;1;0
;;7;Visser, B.;5;0;0;1;1;0;0;0;0;1;1;1;0
;;8;Harbers, M.G.J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;ten Broeke, J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Azmani, M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Wiersma, A.D.;1;0;0;0;1;0;0;0;0;0;0;0;0
;;12;Lodders, W.J.H.;1;0;0;1;0;0;0;0;0;0;0;0;0
;;13;van 't Wout, B.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Becker, B.;2;0;0;0;0;0;1;0;0;0;1;0;0
;;15;Duisenberg, P.J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Hermans, S.T.M.;2;0;0;0;0;0;0;0;0;1;1;0;0
;;17;Mulder, A.;1;0;0;0;0;0;0;0;0;0;1;0;0
;;18;de Vries, A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Ye?ilgöz-Zegerius, D.;1;0;0;0;0;1;0;0;0;0;0;0;0
;;20;Rutte, A.C.L.;3;2;0;0;0;0;1;0;0;0;0;0;0
;;21;Tellegen, O.C.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Koerhuis, D.A.N.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Ziengs, E.;2;0;0;0;0;0;0;0;0;1;1;0;0
;;24;Bosman, A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van den Bosch, A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;El Yassini, Z.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Dijkstra, R.J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Wörsdörfer, M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Weverling, A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Nijkerken-de Haan, C.N.A.;114;9;4;16;14;10;7;13;14;3;16;8;0
;;31;Potters, S.C.C.M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van Oosten, F.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Koopmans, S.M.G.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Middendorp, J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;van der Linde, R.E.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;van Keulen, J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Laan-Geselschap, A.J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Tielen, J.Z.C.M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Veldman, H.S.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Heerema, R.J.;3;0;0;0;2;0;0;0;0;0;1;0;0
;;41;van Haga, W.R.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;de Lange, L.A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;van Gent, T.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;de Veth, A.A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Van Wijngaarden, J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Aartsen, A.A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Regterschot, K.;17;0;0;1;2;2;3;3;1;2;2;1;0
;;48;Smals, B.M.G.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Pauwels-Paauw, M.S.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Bolkestein, M.N.;3;0;0;0;1;0;2;0;0;0;0;0;0
;;51;Snoeren, M.A.J.;2;1;1;0;0;0;0;0;0;0;0;0;0
;;52;Heemskerk, J.J.;2;0;0;0;2;0;0;0;0;0;0;0;0
;;53;Tönjann-Levert, W.E.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;54;van Rijn, R.K.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;55;de Reus, J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;56;Dral, R.M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;57;Korting, I.A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;58;Arends-Drijver, K.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;59;Lock, K.P.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;60;Hoekstra, F.;0;0;0;0;0;0;0;0;0;0;0;0;0
