;;SLIEDRECHT;;;;;;;;;;;;;;;;;;;
;;Tweede Kamer 2017;;;Raadhuis;De Reling;ASVZ (Merwebolder);School De Sprong;School Anne de Vries;Huize Overslydrecht;BSO Pluk;Verpleeghuis Waerthove;Prins Willem-Alexanderschool;Trimclubgebouw ABC;De Stoeprand;Zorgcentrum Parkzicht;Tuinfluiterflat;Prins Willem-Alexanderschool;Hof van Sliedrecht;School Anne de Vries, locatie Baanhoek-West;
;;;Totaal;totaal %;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;
;;TOTAAL 1 VVD;2.411;15,7;239;137;115;146;221;154;59;85;327;113;193;112;115;207;77;111;
;;TOTAAL 2 Partij van de Arbeid (P.v.d.A.);715;4,7;62;23;39;50;35;97;10;21;78;79;46;48;45;50;22;10;
;;TOTAAL 3 PVV (Partij voor de Vrijheid);1.998;13,0;173;72;120;142;126;177;60;64;260;149;167;152;105;129;47;55;
;;TOTAAL 4 SP (Socialistische Partij);1.220;8,0;109;44;63;68;72;107;31;36;136;109;117;106;73;85;28;36;
;;TOTAAL 5 CDA;1.990;13,0;170;78;88;107;153;189;45;36;206;109;184;165;125;162;87;86;
;;TOTAAL 6 Democraten 66 (D66);899;5,9;90;43;58;49;70;80;17;23;122;49;70;68;59;45;25;31;
;;TOTAAL 7 ChristenUnie;1.652;10,8;169;85;59;100;138;173;52;34;131;83;141;124;103;145;40;75;
;;TOTAAL 8 GROENLINKS;659;4,3;55;41;34;61;60;45;16;16;84;43;39;42;42;42;17;22;
;;TOTAAL 9 Staatkundig Gereformeerde Partij (SGP);2.398;15,6;239;133;85;138;91;334;114;48;126;145;187;260;201;165;23;109;
;;TOTAAL 10 Partij voor de Dieren;332;2,2;26;16;36;25;25;22;6;5;37;21;22;20;27;18;10;16;
;;TOTAAL 11 50PLUS;439;2,9;30;19;15;29;25;48;9;9;52;37;42;37;31;23;26;7;
;;TOTAAL 12 OndernemersPartij;15;0,1;0;0;0;0;0;0;0;0;4;2;1;3;2;1;0;2;
;;TOTAAL 13 VNL (VoorNederland);54;0,4;2;5;1;5;4;6;4;1;10;2;6;5;1;2;0;0;
;;TOTAAL 14 DENK;216;1,4;13;14;4;11;8;2;2;3;39;32;32;13;10;25;0;8;
;;TOTAAL 15 NIEUWE WEGEN;19;0,1;3;1;0;1;3;3;0;0;1;1;3;0;2;0;0;1;
;;TOTAAL 16 Forum voor Democratie;228;1,5;26;8;9;9;20;13;13;7;38;12;14;12;7;25;8;7;
;;TOTAAL 17 De Burger Beweging;6;0,0;0;0;0;0;2;1;0;1;1;1;0;0;0;0;0;0;
;;TOTAAL 18 Vrijzinnige Partij;1;0,0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
;;TOTAAL 19 GeenPeil;6;0,0;0;0;0;2;1;0;0;0;0;1;0;0;1;0;0;1;
;;TOTAAL 20 Piratenpartij;39;0,3;4;2;2;4;3;2;1;0;3;8;2;1;5;1;0;1;
;;TOTAAL 21 Artikel 1;6;0,0;3;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;
;;TOTAAL 22 Niet Stemmers;5;0,0;0;0;0;1;1;0;0;0;2;1;0;0;0;0;0;0;
;;TOTAAL 23 Libertarische Partij (LP);2;0,0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
;;TOTAAL 24 Lokaal in de Kamer;9;0,1;2;0;0;1;0;0;0;0;0;0;2;0;2;0;0;2;
;;TOTAAL 25 JEZUS LEEFT;14;0,1;0;3;1;0;2;1;1;0;1;0;2;0;2;0;1;0;
;;TOTAAL 26 StemNL;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
;;Totaal per bureau;15.333;100;1.417;724;729;949;1.061;1.455;440;389;1.659;997;1.270;1.169;958;1.125;411;580;
;;Blanco;19; --;3;0;1;0;1;1;2;1;0;0;6;2;1;1;0;0;
;;Ongeldig;40; --;3;2;7;4;3;2;0;1;6;0;4;1;1;5;0;1;
;;Totaal uitgebracht;15392; --;1.423;726;737;953;1.065;1.458;442;391;1.665;997;1.280;1.172;960;1.131;411;581;
;;Kiesgerechtigden;18892; --;;;;;;;;;;;;;;;;;
;;Opkomst %;;81,5;;;;;;;;;;;;;;;;;
