;;HENDRIK-IDO-AMBACHT;;;;;;;;;;;;;;;;;;
;;;;;Gemeentehuis;Emmastaete;OBS De Bron;St. Hervormde Jeugdfederatie;Willem de Zwijgerschool;Wielstaete;Gereformeerde Kerk Open Hof;OBS De Bron;CBS De Meander;Sporthal De Ridderhal;Wooncomplex De Kruidhof;Postduivenvereniging De Luchtbode;Wijkgemeente de Ark;Zorgorganisatie De Blije Borgh;Sporthal De Sophiahal ;Sophiastaete
;;;Totaal;%;1;2;3;4;5;6;7;8;9;10;11;12;13;15;16;17
;;TOTAAL 1 VVD;4414;23,4;356;160;268;106;92;132;250;308;166;325;230;157;217;163;1.157;327
;;TOTAAL 2 Partij van de Arbeid (P.v.d.A.);763;4,0;53;42;55;30;36;56;50;58;40;43;48;35;21;27;130;39
;;TOTAAL 3 PVV (Partij voor de Vrijheid);2536;13,5;252;119;175;83;90;116;128;224;98;152;210;91;116;115;431;136
;;TOTAAL 4 SP (Socialistische Partij);1127;6,0;72;65;90;25;55;53;59;92;46;53;122;48;33;45;202;67
;;TOTAAL 5 CDA;2333;12,4;172;137;155;128;93;111;186;136;111;128;168;87;112;93;363;153
;;TOTAAL 6 Democraten 66 (D66);1546;8,2;117;72;113;46;41;60;76;157;75;96;113;45;67;63;315;90
;;TOTAAL 7 ChristenUnie;1179;6,3;95;72;92;58;81;57;96;54;39;57;76;50;81;67;149;55
;;TOTAAL 8 GROENLINKS;852;4,5;72;29;53;29;30;40;32;99;44;44;53;27;35;36;169;60
;;TOTAAL 9 Staatkundig Gereformeerde Partij (SGP);2441;13,0;207;254;223;114;371;207;244;35;42;70;118;70;93;121;182;90
;;TOTAAL 10 Partij voor de Dieren;383;2,0;27;17;31;5;22;14;22;43;16;20;28;13;15;11;76;23
;;TOTAAL 11 50PLUS;529;2,8;46;27;41;14;20;27;28;44;21;24;53;25;14;14;102;29
;;TOTAAL 12 OndernemersPartij;19;0,1;2;0;1;0;0;2;1;4;0;2;0;0;1;2;4;0
;;TOTAAL 13 VNL (VoorNederland);73;0,4;6;3;3;1;1;3;3;9;2;6;5;2;4;4;17;4
;;TOTAAL 14 DENK;167;0,9;36;1;11;4;20;7;0;4;0;5;4;0;6;6;50;13
;;TOTAAL 15 NIEUWE WEGEN;19;0,1;4;0;1;0;1;0;2;2;1;1;1;0;0;1;3;2
;;TOTAAL 16 Forum voor Democratie;373;2,0;23;9;20;5;15;12;27;29;16;32;30;21;11;18;75;30
;;TOTAAL 17 De Burger Beweging;5;0,0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1
;;TOTAAL 18 Vrijzinnige Partij;3;0,0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;TOTAAL 19 GeenPeil;3;0,0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
;;TOTAAL 20 Piratenpartij;32;0,2;1;2;2;1;1;5;2;3;1;0;0;3;3;0;7;1
;;TOTAAL 21 Artikel 1;15;0,1;6;0;1;0;0;0;0;2;0;0;0;0;0;1;3;2
;;TOTAAL 22 Niet Stemmers;6;0,0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;2
;;TOTAAL 23 Libertarische Partij (LP);1;0,0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;TOTAAL 24 Lokaal in de Kamer;13;0,1;1;0;0;1;0;3;0;1;0;1;0;0;1;0;1;4
;;TOTAAL 25 JEZUS LEEFT;14;0,1;4;1;0;1;1;1;2;1;0;0;0;1;0;0;2;0
;;TOTAAL 26 StemNL;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Totaal per bureau;18.846;100;1.555;1.011;1.336;651;972;907;1.209;1.307;718;1.059;1.259;675;830;789;3.440;1.128
;;Blanco;22; --;2;1;0;1;1;1;1;2;0;0;2;2;0;1;6;2
;;Ongeldig;36; --;7;0;3;1;2;5;0;3;2;3;2;0;1;4;1;2
;;Totaal uitgebracht;18.904; --;1.564;1.012;1.339;653;975;913;1.210;1.312;720;1.062;1.263;677;831;794;3.447;1.132
;;Kiesgerechtigden;22135;;;;;;;;;;;;;;;;;
;;Opkomst %;;85,40;;;;;;;;;;;;;;;;
