Nr,Aanduiding van de politieke groepering,Totaal,Sb 1,Sb 2,Sb 3,Sb 4,Sb 5,Sb 7,Sb 8,Sb 9,Sb 10,Sb 11,Sb 12,Sb 13,Sb 14,Sb 15,Sb 16,Sb 17,Sb 18,Sb 19,Sb 20,Sb 21,Sb 22,Sb 23,Sb 25
1,VVD,8581,397,541,298,404,416,309,399,248,205,137,203,377,500,244,383,451,466,142,304,222,519,820,596
2,Partij van de Arbeid (P.v.d.A.),1484,85,67,82,81,44,79,64,67,98,53,34,48,67,26,24,78,84,51,84,34,84,88,62
3,PVV (Partij voor de Vrijheid),5511,591,148,200,259,186,369,192,284,399,298,98,118,274,86,135,152,180,200,314,226,293,279,230
4,SP (Socialistische Partij),3584,297,116,153,182,154,199,167,161,292,156,52,59,178,60,83,101,163,145,233,157,189,152,135
5,CDA,3952,191,228,197,148,192,153,249,145,163,88,103,173,277,240,175,176,155,70,165,88,179,226,171
6,Democraten 66 (D66),3836,224,195,128,177,139,168,162,130,142,111,88,177,201,80,115,233,251,90,196,126,236,271,196
7,ChristenUnie,313,18,9,7,19,9,13,15,18,20,14,10,12,11,2,11,23,14,8,10,14,24,24,8
8,GROENLINKS,2428,178,105,101,107,103,125,96,80,174,124,58,90,119,34,67,125,118,80,144,90,130,98,82
9,Staatkundig Gereformeerde Partij (SGP),36,1,1,0,5,0,2,0,1,0,3,0,1,0,3,0,4,3,2,0,0,7,2,1
10,Partij voor de Dieren,778,42,31,32,49,34,33,27,35,26,30,23,25,48,14,19,23,42,20,45,32,56,55,37
11,50PLUS,1168,83,50,56,56,46,54,71,52,77,53,22,21,46,29,31,31,32,63,83,42,62,59,49
12,OndernemersPartij,42,2,1,0,3,0,1,0,1,3,0,2,1,7,0,1,3,0,2,1,4,6,1,3
13,VNL (VoorNederland),130,12,6,5,13,3,6,4,8,7,5,3,8,6,1,4,3,1,5,8,2,6,6,8
14,DENK,980,221,0,9,26,4,64,4,16,266,186,18,15,0,0,7,1,7,20,60,5,20,15,16
15,NIEUWE WEGEN,37,0,1,2,1,1,7,2,0,1,3,0,0,0,2,1,4,2,1,1,1,3,2,2
16,Forum voor Democratie,554,44,27,19,25,33,11,22,22,31,18,13,21,20,18,15,27,24,21,27,29,31,33,23
17,De Burger Beweging,20,1,0,0,2,1,2,1,1,3,1,0,0,0,0,1,1,1,1,1,3,0,0,0
18,Vrijzinnige Partij,6,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
19,GeenPeil,4,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
20,Piratenpartij,72,16,0,4,2,4,2,3,3,4,5,0,1,8,0,3,1,2,0,4,3,3,2,2
21,Artikel 1,22,3,0,0,1,2,1,1,0,3,0,1,0,0,0,0,0,1,0,1,4,3,0,1
22,Niet Stemmers,18,3,1,1,0,2,0,2,0,0,0,0,0,0,2,0,0,1,2,1,2,0,0,1
23,Libertarische Partij (LP),9,0,0,0,0,0,2,0,0,0,2,2,1,1,0,0,0,0,0,0,1,0,0,0
24,Lokaal in de Kamer,34,2,2,2,1,4,2,1,5,0,2,0,1,2,0,1,0,3,2,0,0,3,0,1
25,JEZUS LEEFT,12,3,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0
26,StemNL,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

,Aantal op kandidaten uitgebrachte stemmen,33613,2416,1529,1296,1562,1377,1604,1482,1280,1915,1291,730,1150,1769,841,1076,1439,1550,926,1683,1086,1854,2133,1624
,Aantal blanco stemmen,103,18,0,3,8,3,35,4,2,5,1,0,0,1,3,0,2,3,5,6,0,0,3,1
,Aantal geldige stemmen,33716,2434,1529,1299,1570,1380,1639,1486,1282,1920,1292,730,1150,1770,844,1076,1441,1553,931,1689,1086,1854,2136,1625
,Aantal ongeldige stemmen,107,10,8,6,2,2,5,1,6,23,9,1,1,2,0,3,1,3,1,7,1,9,2,4
,Aantal kiezers,33823,2444,1537,1305,1572,1382,1644,1487,1288,1943,1301,731,1151,1772,844,1079,1442,1556,932,1696,1087,1863,2138,1629
,Aantal opgeroepen kiezers,42440,3024,2088,1780,1894,1773,2021,2041,1669,2017,1917,1397,1214,2281,1009,1465,1502,1906,1132,1978,1761,2244,2441,1886
,Opkomstpercentage,"79,70%","80,82%","73,61%","73,31%","83,00%","77,95%","81,35%","72,86%","77,17%","96,33%","67,87%","52,33%","94,81%","77,69%","83,65%","73,65%","96,01%","81,64%","82,33%","85,74%","61,73%","83,02%","87,59%","86,37%"
