Nr,Aanduiding van de politieke groepering,Totaal,Sb 1,Sb 2,Sb 3,Sb 4,Sb 5,Sb 6,Sb 7,Sb 8,Sb 9,Sb 10,Sb 11
1,VVD,1841,261,269,114,217,167,73,243,252,64,166,15
2,Partij van de Arbeid (P.v.d.A.),846,106,96,81,104,95,37,127,80,36,63,21
3,PVV (Partij voor de Vrijheid),1334,95,154,152,243,197,56,140,107,37,142,11
4,SP (Socialistische Partij),1233,100,148,144,178,190,50,162,96,49,106,10
5,CDA,1360,99,188,93,183,197,62,207,176,29,108,18
6,Democraten 66 (D66),864,133,129,76,107,99,35,84,84,29,77,11
7,ChristenUnie,367,29,56,23,58,56,16,45,35,11,32,6
8,GROENLINKS,771,108,115,96,119,92,42,68,39,27,62,3
9,Staatkundig Gereformeerde Partij (SGP),48,4,0,5,2,14,2,6,7,2,4,2
10,Partij voor de Dieren,347,52,57,45,37,41,7,48,21,13,25,1
11,50PLUS,435,44,51,38,56,48,14,68,62,12,30,12
12,OndernemersPartij,16,4,1,2,0,1,3,0,3,1,1,0
13,VNL (VoorNederland),47,7,6,4,4,2,3,6,7,1,5,2
14,DENK,15,0,0,3,6,3,0,0,3,0,0,0
15,NIEUWE WEGEN,43,5,1,2,8,9,0,3,7,1,6,1
16,Forum voor Democratie,240,38,38,19,38,33,13,13,20,5,20,3
17,De Burger Beweging,1,0,1,0,0,0,0,0,0,0,0,0
18,Vrijzinnige Partij,1,0,0,0,0,1,0,0,0,0,0,0
19,GeenPeil,5,0,0,0,0,0,0,3,1,0,1,0
20,Piratenpartij,31,2,7,7,2,1,3,1,4,1,3,0
23,Libertarische Partij (LP),0,0,0,0,0,0,0,0,0,0,0,0
24,Lokaal in de Kamer,7,0,1,1,1,0,0,3,0,0,1,0

,Aantal op kandidaten uitgebrachte stemmen,9852,1087,1318,905,1363,1246,416,1227,1004,318,852,116
,Aantal blanco stemmen,13,5,2,2,0,0,0,2,2,0,0,0
,Aantal geldige stemmen,9865,1092,1320,907,1363,1246,416,1229,1006,318,852,116
,Aantal ongeldige stemmen,48,2,5,8,13,7,0,4,5,1,2,1
,Aantal kiezers,9913,1094,1325,915,1376,1253,416,1233,1011,319,854,117
,Aantal opgeroepen kiezers,12344,1284,1466,1335,1737,1671,524,1660,1185,380,1065,37
,Opkomstpercentage,"80,31%","85,20%","90,38%","68,54%","79,22%","74,99%","79,39%","74,28%","85,32%","83,95%","80,19%","316,22%"
