Uitslag Tweede Kamerverkiezing 15 maart 2017 Gemeente Dronten;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Nr;;Totaal;Sb 1;Sb 2;Sb 3;Sb 4;Sb 5;Sb 6;Sb 7;Sb 8;Sb 9;Sb 10;Sb 11;Sb 12;Sb 13;Sb 14;Sb 15;Sb 16;Sb 17;Sb 18
1;VVD;6477;534;421;658;345;240;222;226;389;380;395;329;279;315;381;358;228;348;429
2;Partij van de Arbeid (P.v.d.A.);1044;98;45;82;64;69;58;53;74;27;76;73;38;46;67;53;39;43;39
3;PVV (Partij voor de Vrijheid);2957;269;115;199;208;124;164;114;177;78;147;68;207;170;246;243;124;194;110
4;SP (Socialistische Partij);1851;172;49;126;109;105;124;100;138;16;111;77;107;107;151;105;100;83;71
5;CDA;4515;495;245;329;274;273;253;186;268;145;241;266;204;217;214;282;127;279;217
6;Democraten 66 (D66);2243;166;164;202;140;129;96;119;175;83;152;118;78;81;133;92;76;100;139
7;ChristenUnie;1754;159;125;160;133;108;123;97;145;29;139;115;52;33;72;65;48;64;87
8;GROENLINKS;1617;164;118;132;114;76;84;110;150;38;77;78;61;48;82;78;67;62;78
9;Staatkundig Gereformeerde Partij (SGP);383;38;22;17;44;21;34;16;18;15;24;14;18;5;11;33;7;31;15
10;Partij voor de Dieren;569;54;53;55;44;19;36;24;41;20;31;27;26;15;32;29;12;28;23
11;50PLUS;793;67;30;44;53;41;45;43;65;22;25;44;58;55;58;54;33;33;23
12;OndernemersPartij;53;4;2;4;10;6;1;4;0;0;2;1;4;5;2;2;2;1;3
13;VNL (VoorNederland);114;6;7;12;8;5;6;8;6;3;6;5;5;5;12;3;5;6;6
14;DENK;282;57;0;38;35;20;42;3;7;0;1;1;5;9;2;5;41;12;4
15;NIEUWE WEGEN;49;5;0;5;2;1;1;2;7;1;5;1;2;1;5;7;2;2;0
16;Forum voor Democratie;523;42;33;44;30;27;21;17;36;25;27;16;33;26;41;35;14;19;37
17;De Burger Beweging;12;2;1;0;1;0;0;0;0;0;0;2;3;1;1;1;0;0;0
18;Vrijzinnige Partij;11;0;1;0;1;1;1;0;0;0;0;0;2;0;0;3;0;1;1
19;GeenPeil;6;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;0;0;0
20;Piratenpartij;81;7;2;4;6;3;9;5;6;3;4;3;5;2;8;4;4;2;4
21;Artikel 1;5;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1
22;Niet Stemmers;10;2;0;1;1;0;0;1;0;1;0;0;0;1;2;1;0;0;0
23;Libertarische Partij (LP);7;1;0;0;2;1;1;0;0;0;0;0;0;2;0;0;0;0;0
24;Lokaal in de Kamer;10;0;2;0;0;2;1;0;2;0;1;0;0;1;0;0;0;1;0
25;JEZUS LEEFT;16;0;2;2;2;0;4;2;1;0;0;0;0;2;0;0;0;0;1
;;;;;;;;;;;;;;;;;;;;
;Aantal op kandidaten uitgebrachte stemmen;25382;2342;1437;2114;1626;1272;1326;1130;1705;886;1464;1239;1190;1149;1521;1455;929;1309;1288
;Aantal blanco stemmen;37;3;3;4;0;1;0;2;3;2;1;3;3;0;5;2;0;4;1
;Aantal geldige stemmen;25419;2345;1440;2118;1626;1273;1326;1132;1708;888;1465;1242;1193;1149;1526;1457;929;1313;1289
;Aantal ongeldige stemmen;46;6;1;3;2;9;1;2;2;3;0;1;3;0;3;3;2;2;3
;Aantal kiezers;25465;2351;1441;2121;1628;1282;1327;1134;1710;891;1465;1243;1196;1149;1529;1460;931;1315;1292
;Aantal opgeroepen kiezers;30200;2008;1561;2378;2037;1695;1758;1684;1558;1042;1607;1633;1426;1362;1973;1351;1388;1810;1929
;Opkomstpercentage;84,32%;117,08%;92,31%;89,19%;79,92%;75,63%;75,48%;67,34%;109,76%;85,51%;91,16%;76,12%;83,87%;84,36%;77,50%;108,07%;67,07%;72,65%;66,98%
