"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Geldrop-Mierlo"
"Nummer";"";"1771"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Gemeentehuis Geldrop";"Basisschool de Dommeldal";"Nutsbasisschool Beneden Beekloop";"Basisschool St. Jozef";"Gemeenschapshuis Zesgehuchten";"Basisschool de Ganzebloem";"Basisschool de Ganzebloem";"Zorgcentrum Akert";"Wijkcentrum de Dreef";"Nutsbas.sch. de Regenboog";"Maison St. Cyr";"Strabrecht College";"DvO St.Jozefplein";"DvO Kettingstraat";"Bas.school 't Vijfblad";"Korein Kinderplein Wersakker";"Bibliotheek Mierlo";"Jongerencentrum 't Loesje";"Bas.school St.Lucia";"Gemeenschapshuis 't Patronaat"
"Gebiednummer";"";"";"";"";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20"
"Postcode";"";"";"";"";"5664 HT";"5662 HM";"5662 HM";"5663 CE";"5663 AC";"5663 SK";"5663 SK";"5664 TZ";"5665 GA";"5665 VS";"5665 SK";"5666 AZ";"5666 RL";"5667 RG";"5667 AH	";"5731 KE";"5731 JH";"5731 GR";"5731 LA";"5731 EW"
"";"opgeroepenen";"";"";"30304";"1620";"1301";"1574";"1572";"1482";"1340";"1355";"1706";"1406";"1443";"1328";"1380";"1428";"1749";"1528";"1855";"1512";"1590";"1615";"1520"
"";"geldige stempas";"";"";"22507";"1637";"870";"1186";"1166";"1268";"873";"1203";"1238";"1222";"916";"834";"794";"964";"1132";"1111";"1085";"1294";"1349";"1068";"1297"
"";"geldig volmachtbewijs";"";"";"2076";"6";"111";"102";"115";"134";"112";"113";"106";"109";"82";"61";"75";"77";"102";"117";"134";"143";"121";"126";"130"
"";"geldige kiezerspas";"";"";"76";"19";"2";"4";"2";"1";"4";"6";"6";"3";"3";"3";"1";"2";"3";"1";"3";"5";"2";"3";"3"
"";"toegelaten kiezers";"";"";"24659";"1662";"983";"1292";"1283";"1403";"989";"1322";"1350";"1334";"1001";"898";"870";"1043";"1237";"1229";"1222";"1442";"1472";"1197";"1430"
"";"geldige stembiljetten";"";"";"24558";"1649";"980";"1288";"1278";"1397";"990";"1321";"1346";"1329";"995";"897";"863";"1036";"1234";"1226";"1217";"1434";"1462";"1195";"1421"
"";"blanco stembiljetten";"";"";"34";"2";"1";"4";"3";"0";"0";"1";"4";"5";"2";"0";"3";"4";"0";"2";"0";"0";"0";"2";"1"
"";"ongeldige stembiljetten";"";"";"42";"5";"2";"0";"2";"3";"1";"0";"0";"1";"4";"1";"4";"0";"3";"1";"2";"6";"4";"0";"3"
"";"aangetroffen stembiljetten";"";"";"24634";"1656";"983";"1292";"1283";"1400";"991";"1322";"1350";"1335";"1001";"898";"870";"1040";"1237";"1229";"1219";"1440";"1466";"1197";"1425"
"";"meer stembiljetten dan toegelaten kiezers ";"";"";"3";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"minder stembiljetten dan toegelaten kiezers ";"";"";"28";"6";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"3";"2";"6";"0";"5"
"";"kiezers met stembiljet hebben niet gestemd";"";"";"9";"3";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0"
"";"er zijn te weinig stembiljetten uitgereikt";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"er zijn te veel stembiljetten uitgereikt";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"er zijn stembiljetten kwijtgeraakt";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"geen verklaring";"";"";"22";"3";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"2";"6";"0";"5"
"";"andere verklaring";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1";"VVD";"";"";"5312";"369";"263";"258";"353";"332";"298";"382";"236";"144";"144";"112";"191";"108";"243";"156";"386";"329";"313";"332";"363"
"";"";"1";"Rutte, M.";"4208";"277";"219";"198";"260";"250";"230";"296";"204";"113";"119";"83";"151";"90";"198";"133";"309";"262";"261";"271";"284"
"";"";"2";"Hennis-Plasschaert, J.A.";"322";"26";"13";"15";"23";"26";"26";"27";"9";"8";"6";"12";"12";"8";"10";"5";"40";"19";"0";"20";"17"
"";"";"3";"Zijlstra, H.";"47";"3";"0";"3";"2";"2";"0";"2";"3";"2";"1";"0";"1";"0";"4";"3";"2";"3";"14";"0";"2"
"";"";"4";"van Ark, T.";"38";"2";"1";"3";"0";"1";"2";"0";"0";"1";"16";"2";"2";"0";"0";"0";"2";"0";"2";"1";"3"
"";"";"5";"Dijkhoff, K.H.D.M.";"553";"48";"25";"27";"57";"44";"30";"44";"13";"13";"0";"12";"20";"8";"24";"11";"29";"37";"31";"33";"47"
"";"";"6";"Dekker, S.";"3";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
