Nr,Stembureau,Lijstnr 1 ,Lijstnr 2 ,Lijstnr 3 ,Lijstnr 4 ,Lijstnr 5 ,Lijstnr 6 ,Lijstnr 7 ,Lijstnr 8 ,Lijstnr 9 ,Lijstnr 10 ,Lijstnr 11 ,Lijstnr 12 ,Lijstnr 13 ,Lijstnr 14 ,Lijstnr 15 ,Lijstnr 16 ,Lijstnr 17 ,Lijstnr 18 ,Lijstnr 19 ,Lijstnr 20 ,Lijstnr 23 ,Lijstnr 24 ,Uitgebrachte stemmen,Blanco stemmen,Geldige stemmen,Ongeldige stemmen,Aantal kiezers,Aantal opgeroepen,Opkomst percentage
1,Gemeentehuis Exloo,354,125,136,148,153,186,35,109,5,69,35,0,3,0,2,35,0,0,1,3,0,1,1400,0,1400,2,1402,1436,"97,63%"
2,De Paasbergen Odoorn,391,138,133,156,139,176,24,86,2,16,48,3,3,0,5,26,1,0,0,2,0,0,1349,1,1350,1,1351,1515,"89,17%"
3,Ons Dorpshuis Valthe,169,92,129,124,117,103,36,67,12,26,49,2,3,0,1,26,9,0,0,2,1,3,971,0,971,1,972,1035,"93,91%"
4,"Dorpshuis ""Oes Hokkie""",83,46,55,67,58,45,10,42,0,17,24,0,0,0,0,12,0,0,0,1,0,0,460,0,460,0,460,613,"75,04%"
5,Dorpshuis Odoornerveen,99,17,15,34,57,39,7,20,2,22,11,0,4,0,0,7,0,0,1,0,0,4,339,0,339,0,339,475,"71,37%"
6,Buurthuis de Badde,47,8,50,43,60,17,12,11,11,5,10,0,2,0,0,4,0,0,0,1,0,0,281,0,281,0,281,334,"84,13%"
7,Spa Horeca-Centrum 2e Exloërmond,60,28,136,108,79,23,45,21,13,8,28,2,0,0,0,4,0,0,0,3,0,3,561,0,561,0,561,880,"63,75%"
8,Hunsow-hal 2e Exloërmond,107,63,229,204,99,38,79,41,13,16,45,2,4,0,3,12,0,0,1,2,0,1,959,0,959,1,960,1046,"91,78%"
9,De Wenakker Valthermond,84,38,154,116,98,39,30,33,8,17,28,2,1,0,0,15,0,0,0,0,0,3,666,1,667,1,668,1426,"46,84%"
11,MFA Brughuus Valthermond,196,113,340,232,155,91,71,59,7,22,42,0,12,0,0,26,2,0,0,4,0,5,1377,4,1381,1,1382,1415,"97,67%"
13,Ontmoetingscentrum 't Anker,214,106,61,107,144,99,31,98,3,29,22,2,2,0,1,12,1,1,1,4,1,1,940,0,940,3,943,1435,"65,71%"
14,MFA het Hunzehuys,399,194,178,228,242,203,36,146,7,55,60,1,5,0,1,31,0,5,3,7,0,3,1804,0,1804,5,1809,1336,"135,40%"
15,Borgerhof Borger,158,98,62,77,86,87,14,53,3,10,28,0,5,0,0,16,0,0,0,2,0,3,702,1,703,0,703,1104,"63,68%"
16,H.R.Hartlief Buinen,140,42,67,63,74,79,10,43,0,22,20,0,0,0,1,8,1,0,0,3,0,3,576,1,577,1,578,674,"85,76%"
17,Dorpshuis Mr Hekmanhoes Drouwen,154,28,37,51,24,50,8,51,0,27,11,0,3,0,0,5,0,0,0,0,0,0,449,0,449,0,449,578,"77,68%"
18,Dorpshuis Mandielig Hoes Ees,132,40,30,33,97,39,21,25,7,24,14,0,3,0,0,7,2,0,0,0,0,0,474,0,474,0,474,552,"85,87%"
19,De Viersprong Buinerveen,94,50,123,101,67,44,14,38,0,23,24,2,3,0,1,26,1,0,0,2,0,6,619,0,619,0,619,863,"71,73%"
20,Verenigingsgebouw Nieuw Buinen,62,27,93,77,92,21,40,17,6,5,14,1,0,0,2,17,2,0,0,0,0,1,477,1,478,0,478,889,"53,77%"
22,MFA de Noorderbreedte,232,205,412,375,275,98,106,98,23,39,81,2,4,0,5,40,2,0,0,7,2,8,2014,3,2017,5,2022,2299,"87,95%"
23,Dorpshuis Assekolke Drouwenermond,60,25,64,75,50,30,14,23,1,9,11,5,0,0,0,7,0,0,0,1,0,0,375,2,377,1,378,455,"83,08%"
24,Dorpshuis Drouwenerveen,45,7,16,15,31,17,9,6,1,8,7,1,0,0,0,2,1,0,0,3,0,1,170,0,170,0,170,197,"86,29%"

,Totaal,3280,1490,2520,2434,2197,1524,652,1087,124,469,612,25,57,0,22,338,22,6,7,47,4,46,16963,14,16977,22,16999,20557,"82,69 %"
