contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Lokale Partij Middelburg (LPM),Partij van de Arbeid (P.v.d.A.),CDA,Staatkundig Gereformeerde Partij (SGP),VVD,SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau Verpleeghuis Willibrord,0687::SB1,,1609,1040,3,1,0,0,0,959,85,0,0,0,0,0,1044,165,131,74,21,184,78,115,71,201
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau Acaciahof,0687::SB2,,1501,803,8,1,0,0,0,747,65,0,0,0,0,0,812,126,126,61,12,129,56,80,62,151
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau Ver.gebouw Gasthuiskerk,0687::SB3,,1355,712,5,3,0,1,0,679,40,0,1,0,0,0,719,132,93,58,23,116,62,68,45,115
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau Wijkcentrum Van Cittershoff,0687::SB4,,895,642,0,3,0,0,0,588,57,0,0,0,0,0,645,72,42,160,110,76,28,16,72,66
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau Zorgcentrum Eben-Haëzer,0687::SB5,,1168,834,3,2,0,0,0,758,81,0,0,0,0,0,839,117,65,114,154,100,49,48,114,73
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau 't Gasthuis,0687::SB6,,1663,1082,4,0,0,1,0,1005,82,0,0,1,0,0,1087,191,124,124,86,111,87,85,102,172
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau Hof van Buren,0687::SB7,,1609,955,3,6,0,1,0,887,78,0,0,1,0,0,965,186,119,112,28,144,72,86,88,120
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau Wijkgebouw 't Bolwerk,0687::SB8,,1100,542,0,4,0,0,0,507,39,0,0,0,0,0,546,107,54,47,45,48,49,31,55,106
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau Praktijkschool Het Bolwerk,0687::SB9,,1222,766,2,2,0,0,0,710,60,0,0,0,0,0,770,144,75,90,68,112,53,56,85,83
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau Durps'uus op d'n oek,0687::SB10,,1069,790,0,0,0,0,0,704,86,0,0,0,0,0,790,190,8,58,89,31,199,39,37,139
