contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Nieuw Enter Wierden,Platform Progressief Wierden (PPW),ChristenUnie,VVD
,Wierden,GR2018_Wierden,Gemeenteraad Wierden 2018,0189,Wierden,2018-03-21,Stembureau Gemeentehuis,0189::SB1,7642 EC,1257,1010,4,2,0,2,0,907,111,0,0,2,0,0,1018,237,380,154,133,106
,Wierden,GR2018_Wierden,Gemeenteraad Wierden 2018,0189,Wierden,2018-03-21,Stembureau Kluinveenschool,0189::SB2,7641 AL,1188,836,0,0,0,0,0,740,96,0,0,0,0,0,836,248,239,84,155,110
,Wierden,GR2018_Wierden,Gemeenteraad Wierden 2018,0189,Wierden,2018-03-21,Stembureau Wijkcentrum Kandjoli,0189::SB3,7642 XX,1586,871,2,1,0,1,0,826,47,0,1,0,0,0,873,181,339,127,185,39
,Wierden,GR2018_Wierden,Gemeenteraad Wierden 2018,0189,Wierden,2018-03-21,Stembureau ZorgAccent,0189::SB4,7642 GW,1648,918,3,5,0,0,0,841,85,0,0,0,0,0,926,233,335,113,160,77
,Wierden,GR2018_Wierden,Gemeenteraad Wierden 2018,0189,Wierden,2018-03-21,Stembureau Zorgcentrum 't Wedervoort,0189::SB5,7641 VA,1722,1201,4,5,0,3,0,1119,94,0,0,3,0,0,1213,281,374,243,196,107
,Wierden,GR2018_Wierden,Gemeenteraad Wierden 2018,0189,Wierden,2018-03-21,Stembureau Tennishal De Stouwe,0189::SB6,7641 AC,1414,1002,4,1,0,0,1,917,89,0,0,0,0,0,1007,223,350,194,129,106
,Wierden,GR2018_Wierden,Gemeenteraad Wierden 2018,0189,Wierden,2018-03-21,Stembureau Zorgcentrum Het Reggedal,0189::SB7,7468 BX,1382,946,1,3,0,1,0,848,101,0,1,0,0,0,949,204,401,98,188,55
,Wierden,GR2018_Wierden,Gemeenteraad Wierden 2018,0189,Wierden,2018-03-21,Stembureau Hervormd Dienstgebouw,0189::SB8,7468 GC,1370,966,1,2,0,1,0,876,94,0,0,1,0,0,970,198,475,94,112,87
,Wierden,GR2018_Wierden,Gemeenteraad Wierden 2018,0189,Wierden,2018-03-21,Stembureau Hervormd Dienstgebouw,0189::SB9,7468 GC,1371,1085,3,4,0,1,0,967,124,0,1,0,0,0,1091,205,539,109,147,85
,Wierden,GR2018_Wierden,Gemeenteraad Wierden 2018,0189,Wierden,2018-03-21,Stembureau Kulturhus Hoge Hexel,0189::SB10,7645 AV,799,520,1,1,0,0,0,472,50,0,0,0,0,0,522,224,56,28,160,52
,Wierden,GR2018_Wierden,Gemeenteraad Wierden 2018,0189,Wierden,2018-03-21,"Stembureau Kulturhus ""Irene""",0189::SB11,7467 PL,730,548,4,1,0,0,0,485,68,0,0,0,0,0,553,199,114,23,167,45
,Wierden,GR2018_Wierden,Gemeenteraad Wierden 2018,0189,Wierden,2018-03-21,Stembureau Akkerhus,0189::SB12,7468 RE,419,293,0,2,0,0,0,260,35,0,0,0,0,0,295,78,82,19,71,43
,Wierden,GR2018_Wierden,Gemeenteraad Wierden 2018,0189,Wierden,2018-03-21,Stembureau Gemeentehuis,0189::SB13,7642 EC,1249,1011,1,1,0,0,0,902,111,0,0,0,0,0,1013,229,357,152,149,124
,Wierden,GR2018_Wierden,Gemeenteraad Wierden 2018,0189,Wierden,2018-03-21,Stembureau De Luchtbode,0189::SB14,7468 EZ,1358,868,1,3,0,1,0,775,98,0,0,1,0,0,873,202,339,87,160,80
,Wierden,GR2018_Wierden,Gemeenteraad Wierden 2018,0189,Wierden,2018-03-21,Stembureau Verenigingsgebouw VDH,0189::SB18,7641 AG,1397,695,0,0,0,0,0,636,59,0,0,0,0,0,695,178,254,108,50,105
