contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Lokaal Dinkelland,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS
,Dinkelland,GR2018_Dinkelland,Gemeenteraad Dinkelland 2018,1774,Dinkelland,2018-03-21,Stembureau Gemeentehuis Dinkelland,1774::SB1,7591 MA,1747,1310,6,4,0,0,0,1320,0,0,0,0,0,0,1320,538,303,245,98,44,82
,Dinkelland,GR2018_Dinkelland,Gemeenteraad Dinkelland 2018,1774,Dinkelland,2018-03-21,Stembureau OBS Dr. M.L. Kingschool,1774::SB2,7591 XJ,1894,1130,2,4,0,1,0,1039,98,0,0,1,0,0,1137,541,201,144,134,22,88
,Dinkelland,GR2018_Dinkelland,Gemeenteraad Dinkelland 2018,1774,Dinkelland,2018-03-21,Stembureau Zorggroep St. Maarten,1774::SB3,7591 GX,1733,851,0,3,0,0,0,770,86,2,0,2,0,0,856,407,181,109,71,23,60
,Dinkelland,GR2018_Dinkelland,Gemeenteraad Dinkelland 2018,1774,Dinkelland,2018-03-21,Stembureau Brandweerkazerne,1774::SB4,7591 BH,1661,968,5,6,0,0,0,877,102,0,0,0,0,0,979,538,156,118,73,24,59
,Dinkelland,GR2018_Dinkelland,Gemeenteraad Dinkelland 2018,1774,Dinkelland,2018-03-21,Stembureau Kulturhus De Mare,1774::SB5,7591 PC,886,500,0,1,0,0,0,448,53,0,0,0,0,0,501,284,144,36,16,3,17
,Dinkelland,GR2018_Dinkelland,Gemeenteraad Dinkelland 2018,1774,Dinkelland,2018-03-21,Stembureau Gasterij de Smid,1774::SB6,7635 NC,823,527,3,0,0,0,0,460,70,0,0,0,0,0,530,225,215,41,15,18,13
,Dinkelland,GR2018_Dinkelland,Gemeenteraad Dinkelland 2018,1774,Dinkelland,2018-03-21,Stembureau Kulturhus Tilligte Terra Nova,1774::SB7,7634 PL,704,511,1,2,0,0,0,439,75,0,0,0,0,0,514,129,325,35,4,7,11
,Dinkelland,GR2018_Dinkelland,Gemeenteraad Dinkelland 2018,1774,Dinkelland,2018-03-21,Stembureau Cafe Groot Agelo,1774::SB8,7636 RL,763,406,2,0,0,0,0,346,62,0,0,0,0,0,408,79,217,80,6,8,16
,Dinkelland,GR2018_Dinkelland,Gemeenteraad Dinkelland 2018,1774,Dinkelland,2018-03-21,Stembureau Huize Sint Jozeph,1774::SB9,7595 AP,1258,790,1,2,0,0,0,713,80,0,0,0,0,0,793,221,241,111,17,181,19
,Dinkelland,GR2018_Dinkelland,Gemeenteraad Dinkelland 2018,1774,Dinkelland,2018-03-21,Stembureau 't Trefpunt,1774::SB10,7595 XB,1142,872,1,2,0,1,0,788,86,0,1,0,0,0,874,226,193,141,11,272,29
,Dinkelland,GR2018_Dinkelland,Gemeenteraad Dinkelland 2018,1774,Dinkelland,2018-03-21,Stembureau Café Bruins,1774::SB11,7597 LR,1320,850,2,6,0,0,0,725,133,0,0,0,0,0,858,69,645,86,14,16,20
,Dinkelland,GR2018_Dinkelland,Gemeenteraad Dinkelland 2018,1774,Dinkelland,2018-03-21,Stembureau Kulturhus Rabo-de CoCeR,1774::SB12,7596 KM,1842,1274,3,3,0,0,0,1151,130,1,0,1,0,0,1281,643,483,46,13,38,51
,Dinkelland,GR2018_Dinkelland,Gemeenteraad Dinkelland 2018,1774,Dinkelland,2018-03-21,Stembureau RK Basisschool Willibrordus (D),1774::SB13,7561 PT,1517,981,2,1,0,0,0,887,99,2,0,2,0,0,986,163,626,77,43,37,35
,Dinkelland,GR2018_Dinkelland,Gemeenteraad Dinkelland 2018,1774,Dinkelland,2018-03-21,Stembureau Huize Franciscus,1774::SB14,7631 AM,1759,1309,3,5,0,0,0,1182,135,0,0,0,0,0,1317,280,509,286,53,107,74
,Dinkelland,GR2018_Dinkelland,Gemeenteraad Dinkelland 2018,1774,Dinkelland,2018-03-21,Stembureau Brede School de Bres,1774::SB15,7631 GR,1865,1204,2,4,0,0,0,1105,105,0,0,0,0,0,1210,313,477,207,51,76,80
,Dinkelland,GR2018_Dinkelland,Gemeenteraad Dinkelland 2018,1774,Dinkelland,2018-03-21,Stembureau Gravenstate Denekamp  (Mobiel),1774::SB16,,0,93,1,0,0,0,0,78,16,0,0,0,0,0,94,19,65,1,2,3,3
