contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,ONS Voorschoten,CDA,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.)
,Voorschoten,GR2018_Voorschoten,Gemeenteraad Voorschoten 2018,0626,Voorschoten,2018-03-21,Stembureau Kerk Het Kruispunt,0626::SB1,,923,704,7,0,0,0,0,671,40,0,0,0,0,0,711,141,109,131,76,141,66,40
,Voorschoten,GR2018_Voorschoten,Gemeenteraad Voorschoten 2018,0626,Voorschoten,2018-03-21,Stembureau Buurthuis Vlietwijk,0626::SB2,,1937,839,8,9,0,0,0,785,71,0,0,0,0,0,856,137,145,158,64,192,98,45
,Voorschoten,GR2018_Voorschoten,Gemeenteraad Voorschoten 2018,0626,Voorschoten,2018-03-21,Stembureau Woonzorgcentrum Adegeest,0626::SB3,,833,636,8,3,0,0,0,571,76,0,0,0,0,0,647,208,57,117,88,106,20,40
,Voorschoten,GR2018_Voorschoten,Gemeenteraad Voorschoten 2018,0626,Voorschoten,2018-03-21,Stembureau School Het Kompas,0626::SB4,,1471,718,2,1,0,0,0,647,74,0,0,0,0,0,721,189,55,124,113,171,30,36
,Voorschoten,GR2018_Voorschoten,Gemeenteraad Voorschoten 2018,0626,Voorschoten,2018-03-21,Stembureau De Ontmoeting,0626::SB5,,1344,782,10,5,0,1,0,719,79,0,0,1,0,0,798,151,97,140,100,183,49,62
,Voorschoten,GR2018_Voorschoten,Gemeenteraad Voorschoten 2018,0626,Voorschoten,2018-03-21,Stembureau Alettahof,0626::SB6,,1556,1082,14,3,0,3,0,1014,88,0,0,3,0,0,1102,204,163,163,113,271,88,80
,Voorschoten,GR2018_Voorschoten,Gemeenteraad Voorschoten 2018,0626,Voorschoten,2018-03-21,Stembureau Seniorenflat Rossini,0626::SB7,,1179,749,10,3,0,1,0,713,50,0,0,1,0,0,763,152,100,142,118,153,38,46
,Voorschoten,GR2018_Voorschoten,Gemeenteraad Voorschoten 2018,0626,Voorschoten,2018-03-21,Stembureau Cult. Centrum,0626::SB8,,1163,921,14,1,0,0,0,848,87,0,1,0,1,0,935,199,99,154,141,195,68,65
,Voorschoten,GR2018_Voorschoten,Gemeenteraad Voorschoten 2018,0626,Voorschoten,2018-03-21,Stembureau De Boschbloem,0626::SB9,,1597,1203,3,4,0,0,0,1098,112,0,0,0,0,0,1210,266,107,266,178,235,84,67
,Voorschoten,GR2018_Voorschoten,Gemeenteraad Voorschoten 2018,0626,Voorschoten,2018-03-21,Stembureau Brandweerkazerne,0626::SB10,,1114,1032,8,3,0,1,0,942,102,0,0,1,0,0,1044,230,161,263,106,147,72,53
,Voorschoten,GR2018_Voorschoten,Gemeenteraad Voorschoten 2018,0626,Voorschoten,2018-03-21,Stembureau Bondsgebouw,0626::SB11,,1005,708,2,2,0,0,0,641,71,0,0,0,0,0,712,201,51,156,77,155,37,31
,Voorschoten,GR2018_Voorschoten,Gemeenteraad Voorschoten 2018,0626,Voorschoten,2018-03-21,Stembureau Taxi Avance,0626::SB12,,1413,729,6,1,0,0,0,655,81,0,0,0,0,0,736,187,83,127,135,125,35,37
,Voorschoten,GR2018_Voorschoten,Gemeenteraad Voorschoten 2018,0626,Voorschoten,2018-03-21,Stembureau Museum Voorschoten,0626::SB13,,1272,629,1,0,0,0,0,586,44,0,0,0,0,0,630,171,78,136,63,115,25,41
,Voorschoten,GR2018_Voorschoten,Gemeenteraad Voorschoten 2018,0626,Voorschoten,2018-03-21,Stembureau Basisschool De Vos,0626::SB14,,1805,951,6,5,0,3,0,865,100,0,0,3,0,0,965,276,135,166,146,132,40,56
,Voorschoten,GR2018_Voorschoten,Gemeenteraad Voorschoten 2018,0626,Voorschoten,2018-03-21,Stembureau Catalpa,0626::SB15,,1210,775,1,5,0,3,0,705,79,0,0,3,0,0,784,279,78,113,100,130,44,31
