contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,ChristenUnie,Lokale Partij Ommen,VVD,Democraten 66 (D66),Volkspartij Ommen Vooruit (VOV),Partij van de Arbeid (P.v.d.A.)
,Ommen,GR2018_Ommen,Gemeenteraad Ommen 2018,0175,Ommen,2018-03-21,Stembureau Gemeentehuis Ommen,0175::SB1,7731 EE,1106,798,1,1,0,0,0,716,84,0,0,0,0,0,800,184,131,182,66,55,143,37
,Ommen,GR2018_Ommen,Gemeenteraad Ommen 2018,0175,Ommen,2018-03-21,"Stembureau Jeugdgebouw ""De Schakel""",0175::SB2,8148 PD,1321,774,0,3,0,0,0,703,74,0,0,0,0,0,777,266,56,177,63,30,97,85
,Ommen,GR2018_Ommen,Gemeenteraad Ommen 2018,0175,Ommen,2018-03-21,"Stembureau Verenigingsgebouw ""De Garve""",0175::SB5,7685 PL,941,569,1,1,0,0,0,513,58,0,0,0,0,0,571,103,161,151,71,12,59,12
,Ommen,GR2018_Ommen,Gemeenteraad Ommen 2018,0175,Ommen,2018-03-21,"Stembureau Restaurant ""De Bootsman""",0175::SB6,7737 PE,865,443,2,0,0,0,0,385,60,0,0,0,0,0,445,152,62,74,77,15,48,15
,Ommen,GR2018_Ommen,Gemeenteraad Ommen 2018,0175,Ommen,2018-03-21,"Stembureau Verenigingsgebouw ""Irene""",0175::SB7,7738 PB,811,525,1,2,0,0,0,465,62,0,1,0,1,0,527,136,83,54,159,35,43,15
,Ommen,GR2018_Ommen,Gemeenteraad Ommen 2018,0175,Ommen,2018-03-21,Stembureau Cultureel Centrum CARROUSEL,0175::SB14,7731 EH,933,671,2,0,0,0,0,617,56,0,0,0,0,0,673,131,130,156,48,44,110,52
,Ommen,GR2018_Ommen,Gemeenteraad Ommen 2018,0175,Ommen,2018-03-21,"Stembureau ""Nijenhaghen""",0175::SB15,7731 ZL,1265,961,4,3,0,0,0,883,85,0,0,0,0,0,968,192,203,210,73,47,179,57
,Ommen,GR2018_Ommen,Gemeenteraad Ommen 2018,0175,Ommen,2018-03-21,"Stembureau Restaurant ""De Wildzang""",0175::SB16,7731 AX,750,578,2,0,0,0,0,530,50,0,0,0,0,0,580,95,75,137,102,44,87,38
,Ommen,GR2018_Ommen,Gemeenteraad Ommen 2018,0175,Ommen,2018-03-21,"Stembureau Kerkelijk Centrum ""De Kern""",0175::SB17,7731 CP,1111,548,2,0,0,0,0,514,36,0,0,0,0,0,550,157,72,93,62,36,100,28
,Ommen,GR2018_Ommen,Gemeenteraad Ommen 2018,0175,Ommen,2018-03-21,Stembureau Het Baken,0175::SB18,7731 CK,982,633,2,5,0,0,0,586,54,0,0,0,0,0,640,181,172,113,40,21,86,20
,Ommen,GR2018_Ommen,Gemeenteraad Ommen 2018,0175,Ommen,2018-03-21,"Stembureau Restaurant ""De Nieuwe Brug""",0175::SB19,7731 PR,771,406,4,1,0,0,0,383,28,0,0,0,0,0,411,102,29,92,80,28,51,24
,Ommen,GR2018_Ommen,Gemeenteraad Ommen 2018,0175,Ommen,2018-03-21,Stembureau Hervormd Centrum,0175::SB20,7731 GH,1101,553,2,3,0,0,0,516,42,0,0,0,0,0,558,136,110,117,55,20,91,24
,Ommen,GR2018_Ommen,Gemeenteraad Ommen 2018,0175,Ommen,2018-03-21,"Stembureau Sportzaal ""De Slaghen""",0175::SB21,7731 TJ,1013,965,3,3,0,3,0,882,92,0,0,3,0,0,974,196,151,252,107,94,120,45
,Ommen,GR2018_Ommen,Gemeenteraad Ommen 2018,0175,Ommen,2018-03-21,Stembureau LARCOM,0175::SB22,7731 SM,995,498,0,0,0,0,0,457,41,0,0,0,0,0,498,112,111,97,61,29,64,24
,Ommen,GR2018_Ommen,Gemeenteraad Ommen 2018,0175,Ommen,2018-03-21,Stembureau Mobiel stembureau,0175::SB23,,0,189,4,0,0,0,0,168,25,0,0,0,0,0,193,85,12,30,25,13,12,12
