contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Lokaal Halderberge,CDA,VVD,WOS,"Progressief Halderb. (PvdA , D66, GROENLINKS)",Voor De Gemeenschap
,Halderberge,GR2018_Halderberge,Gemeenteraad Halderberge 2018,1655,Halderberge,2018-03-21,Stembureau Cult.centr. Fidei et Arti,1655::SB1,4731 HV Oude,2130,1020,9,5,0,0,0,938,97,1,0,1,0,0,1035,302,232,245,35,137,69
,Halderberge,GR2018_Halderberge,Gemeenteraad Halderberge 2018,1655,Halderberge,2018-03-21,Stembureau Sportivo Healthcenter,1655::SB2,4731 LV Oude,1407,484,1,2,0,0,0,444,43,0,0,0,0,0,487,131,104,138,23,67,21
,Halderberge,GR2018_Halderberge,Gemeenteraad Halderberge 2018,1655,Halderberge,2018-03-21,Stembureau Centrum Wonen&Zorg de Zellebergen,1655::SB3,4731 NZ Oude,1796,835,3,8,0,1,0,758,89,0,0,1,0,0,847,256,176,201,38,125,39
,Halderberge,GR2018_Halderberge,Gemeenteraad Halderberge 2018,1655,Halderberge,2018-03-21,Stembureau Steunpunt voor ouderen Pagnevaart,1655::SB4,4731BS Ouden,1592,716,8,7,0,0,0,668,63,0,0,0,0,0,731,231,154,168,29,105,29
,Halderberge,GR2018_Halderberge,Gemeenteraad Halderberge 2018,1655,Halderberge,2018-03-21,Stembureau Basisschool De Regenboog,1655::SB6,4731 VW Oude,1857,760,4,2,0,0,0,677,89,0,0,0,0,0,766,214,137,189,35,138,47
,Halderberge,GR2018_Halderberge,Gemeenteraad Halderberge 2018,1655,Halderberge,2018-03-21,Stembureau Brandweerkazerne,1655::SB8,4741 EJ Hoev,1954,1187,12,1,0,0,0,1070,130,0,0,0,0,0,1200,254,250,441,18,195,29
,Halderberge,GR2018_Halderberge,Gemeenteraad Halderberge 2018,1655,Halderberge,2018-03-21,Stembureau Trefpunt KBO,1655::SB9,4741 AG Hoev,1324,852,3,3,0,0,0,762,96,0,0,0,0,0,858,180,222,320,11,88,31
,Halderberge,GR2018_Halderberge,Gemeenteraad Halderberge 2018,1655,Halderberge,2018-03-21,Stembureau Zaal Hart van Gastel,1655::SB11,4751 HR Oud ,1329,725,3,2,0,0,0,650,80,0,0,0,0,0,730,43,125,183,250,45,79
,Halderberge,GR2018_Halderberge,Gemeenteraad Halderberge 2018,1655,Halderberge,2018-03-21,Stembureau café Onder de Toren,1655::SB12,4751 HL Oud ,1105,581,8,4,0,0,0,534,59,0,0,0,0,0,593,48,89,106,216,48,74
,Halderberge,GR2018_Halderberge,Gemeenteraad Halderberge 2018,1655,Halderberge,2018-03-21,Stembureau Centrum Het Veerhuis,1655::SB14,4751 CS Oud ,2026,962,1,4,0,0,0,884,83,0,0,0,0,0,967,53,164,164,432,47,102
,Halderberge,GR2018_Halderberge,Gemeenteraad Halderberge 2018,1655,Halderberge,2018-03-21,Stembureau Zaal/café Geerts,1655::SB15,4754 AC Stam,1014,567,4,0,0,0,0,517,54,0,0,0,0,0,571,16,294,25,186,24,22
,Halderberge,GR2018_Halderberge,Gemeenteraad Halderberge 2018,1655,Halderberge,2018-03-21,Stembureau MFA 't Bossche Hart,1655::SB16,4744 BZ Boss,1955,909,6,2,0,0,0,819,98,0,0,0,0,0,917,316,90,311,24,93,75
,Halderberge,GR2018_Halderberge,Gemeenteraad Halderberge 2018,1655,Halderberge,2018-03-21,Stembureau Regionaal Archief West Brabant,1655::SB17,4731 CD Oude,1458,795,7,1,0,0,0,729,74,0,0,0,0,0,803,266,148,192,19,137,33
,Halderberge,GR2018_Halderberge,Gemeenteraad Halderberge 2018,1655,Halderberge,2018-03-21,Stembureau Woon- en Zorgcentrum Blankershof,1655::SB18,4751 KK Oud ,1000,427,2,1,0,0,0,383,47,0,0,0,0,0,430,20,74,90,185,15,43
,Halderberge,GR2018_Halderberge,Gemeenteraad Halderberge 2018,1655,Halderberge,2018-03-21,Stembureau Woon- en Zorgcentrum Kroonestede,1655::SB19,4741 JC Hoev,2363,1040,10,1,0,0,0,930,121,0,0,0,0,0,1051,203,221,455,16,113,32
