contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Leefbaar Haaksbergen,CDA,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),VVD,G.G.H.,Dé Actieve Partij Haaksbergen (DAP)
,Haaksbergen,GR2018_Haaksbergen,Gemeenteraad Haaksbergen 2018,0158,Haaksbergen,2018-03-21,Stembureau Gemeentehuis,0158::SB1,7481 EB,1766,1285,5,7,0,0,0,1189,108,0,0,0,0,0,1297,129,255,143,153,219,134,252
,Haaksbergen,GR2018_Haaksbergen,Gemeenteraad Haaksbergen 2018,0158,Haaksbergen,2018-03-21,Stembureau 't Saalmerink,0158::SB2,7481 EN,1552,694,3,3,0,0,0,640,60,0,0,0,0,0,700,56,216,57,68,132,69,96
,Haaksbergen,GR2018_Haaksbergen,Gemeenteraad Haaksbergen 2018,0158,Haaksbergen,2018-03-21,"Stembureau De Trefkoel,Buurse",0158::SB3,7481 RP,1214,736,0,0,0,0,0,658,78,0,0,0,0,0,736,112,213,55,52,153,48,103
,Haaksbergen,GR2018_Haaksbergen,Gemeenteraad Haaksbergen 2018,0158,Haaksbergen,2018-03-21,"Stembureau 't Meuken,Isidorushoeve",0158::SB4,7482 ST,1245,762,9,1,0,0,0,673,99,0,0,0,0,0,772,46,396,54,17,103,37,109
,Haaksbergen,GR2018_Haaksbergen,Gemeenteraad Haaksbergen 2018,0158,Haaksbergen,2018-03-21,Stembureau Basisschool Holthuizen bureau 5,0158::SB5,7482 ET,1245,748,1,1,0,0,0,700,50,0,0,0,0,0,750,62,150,116,70,143,72,135
,Haaksbergen,GR2018_Haaksbergen,Gemeenteraad Haaksbergen 2018,0158,Haaksbergen,2018-03-21,Stembureau Het Wiedenbroek,0158::SB6,7481 BT,1188,686,3,0,0,0,0,636,53,0,0,0,0,0,689,77,173,66,64,101,71,134
,Haaksbergen,GR2018_Haaksbergen,Gemeenteraad Haaksbergen 2018,0158,Haaksbergen,2018-03-21,Stembureau Honeschschool,0158::SB7,7481 VB,997,601,0,3,0,0,0,543,61,0,0,0,0,0,604,96,195,33,36,93,31,117
,Haaksbergen,GR2018_Haaksbergen,Gemeenteraad Haaksbergen 2018,0158,Haaksbergen,2018-03-21,Stembureau Basisschool Holthuizen bureau 8,0158::SB8,7482 ET,1464,762,3,6,0,0,0,712,59,0,0,0,0,0,771,80,168,70,90,90,74,190
,Haaksbergen,GR2018_Haaksbergen,Gemeenteraad Haaksbergen 2018,0158,Haaksbergen,2018-03-21,Stembureau Montessorischool,0158::SB9,7481 BC,1534,896,13,10,0,0,0,843,76,0,0,0,0,0,919,63,258,110,87,159,74,145
,Haaksbergen,GR2018_Haaksbergen,Gemeenteraad Haaksbergen 2018,0158,Haaksbergen,2018-03-21,Stembureau Verenigingsgebouw D.I.O.,0158::SB10,7481 GN,1488,795,4,6,0,0,0,741,64,0,0,0,0,0,805,96,175,62,73,108,110,171
,Haaksbergen,GR2018_Haaksbergen,Gemeenteraad Haaksbergen 2018,0158,Haaksbergen,2018-03-21,Stembureau Basisschool de Kameleon,0158::SB11,7482 TT,1254,727,3,0,0,0,0,666,64,0,0,0,0,0,730,50,192,104,95,106,52,128
,Haaksbergen,GR2018_Haaksbergen,Gemeenteraad Haaksbergen 2018,0158,Haaksbergen,2018-03-21,Stembureau Basisschool Dr. Ariens,0158::SB12,7482 ZK,1460,798,8,10,0,0,0,740,76,0,0,0,0,0,816,72,185,94,88,97,70,192
,Haaksbergen,GR2018_Haaksbergen,Gemeenteraad Haaksbergen 2018,0158,Haaksbergen,2018-03-21,Stembureau Sporthal de Els,0158::SB13,7482 VX,1270,766,7,1,0,0,0,709,65,0,0,0,0,0,774,62,187,79,79,129,78,152
,Haaksbergen,GR2018_Haaksbergen,Gemeenteraad Haaksbergen 2018,0158,Haaksbergen,2018-03-21,Stembureau Basisschool Los Hoes,0158::SB14,7483 CT,1705,959,3,2,0,0,0,879,85,0,0,0,0,0,964,67,193,137,96,242,58,166
