contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),VVD,Soest 2002,CDA,Gemeentebelangen Groen Soest,Partij van de Arbeid (P.v.d.A.),ChristenUnie-SGP,GROENLINKS,Burgerbelangen Soest-Soesterberg,Lokaal Anders Soest,Democraten Soest Natuurlijk,VERENIGD SOEST,13,JEZUS LEEFT,De Jonge Honden,LTR
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,Stembureau Gemeentehuis Soest,0342::SB1,,1497,1064,3,3,0,0,0,936,134,0,0,0,0,0,1070,76,121,82,69,162,121,68,78,34,22,29,169,1,3,16,13
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,Stembureau 1e van der Huchtschool,0342::SB2,,1685,1059,6,5,0,0,0,918,150,0,2,0,2,0,1068,110,171,82,74,177,79,62,61,14,31,69,96,1,2,17,13
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,Stembureau Residence Souveraine,0342::SB3,,1372,977,2,0,0,0,0,870,109,0,0,0,0,0,979,90,161,82,109,257,27,64,61,6,42,39,1,3,2,12,21
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,Stembureau Hoog Soestdijk,0342::SB4,,1438,673,6,0,0,0,0,613,66,0,0,0,0,0,679,71,146,35,75,115,30,51,67,3,16,35,1,0,0,15,13
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,Stembureau Emmakerk,0342::SB5,,1596,851,1,4,0,0,0,779,78,1,0,1,0,0,857,68,174,76,77,134,40,78,61,14,33,52,7,4,5,15,13
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,Stembureau OBS Prins Willem-Alexander,0342::SB6,,1337,951,4,1,0,0,0,879,77,0,0,0,0,0,956,89,182,85,62,151,51,65,103,18,45,50,6,4,4,19,17
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,Stembureau Zorgcentrum Molenschot,0342::SB7,,1840,1084,3,4,0,0,0,969,124,2,0,2,0,0,1093,82,181,90,101,271,64,84,54,22,37,41,17,7,2,12,19
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,Stembureau Woonzorgcentr.  Mariënburg,0342::SB8,,1258,729,5,3,0,5,0,674,68,0,0,5,0,0,742,79,167,63,81,123,29,36,45,15,22,34,2,0,4,8,21
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,Stembureau De Rank,0342::SB9,,1693,1232,11,3,0,0,0,1123,124,1,0,1,0,0,1247,136,201,139,127,299,31,68,80,11,46,43,12,4,5,22,8
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,Stembureau RK basisschool Ludgerus,0342::SB10,,1785,1116,6,4,0,0,0,988,138,0,0,0,0,0,1126,124,351,118,85,175,30,30,70,7,21,67,0,8,1,20,9
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,Stembureau Parochiesecretariaat,0342::SB11,,1756,1130,6,2,0,3,0,1031,110,0,0,3,0,0,1141,107,220,145,119,198,38,61,130,8,31,49,1,3,2,15,3
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,Stembureau 3e Van der Huchtschool,0342::SB13,,1669,1057,6,3,0,0,0,961,105,0,0,0,0,0,1066,120,182,141,63,160,58,76,92,25,29,53,16,1,4,21,16
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,Stembureau BEC De Plantage,0342::SB14,,1840,864,5,2,0,0,0,757,115,1,0,1,0,0,872,40,53,48,32,85,174,67,82,33,13,24,188,1,2,13,9
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,Stembureau De Open Hof,0342::SB15,,1688,930,4,3,0,0,0,864,73,0,0,0,0,0,937,109,156,86,71,156,54,66,75,25,50,36,7,5,1,20,13
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,Stembureau Ontmoetingscentrum Klaarwater,0342::SB17,,1526,1037,2,2,0,0,0,960,81,0,0,0,0,0,1041,71,128,94,68,202,79,125,75,32,72,48,9,4,6,13,11
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,Stembureau Ontmoetingscentrum De Klarinet,0342::SB18,,984,665,0,3,0,0,0,610,58,0,0,0,0,0,668,41,76,52,46,176,42,57,57,19,41,33,3,0,5,8,9
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,Stembureau Orlando gebouw,0342::SB19,,1489,714,3,0,0,0,0,661,56,0,0,0,0,0,717,48,91,64,35,182,35,58,53,26,53,45,3,7,1,13,0
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,Stembureau OBS deBuut,0342::SB20,,1394,911,4,0,0,0,0,815,100,0,0,0,0,0,915,74,89,82,62,167,77,78,100,18,48,60,17,5,2,16,16
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,Stembureau Insingerschool,0342::SB21,,1693,976,8,3,0,2,0,873,112,0,2,0,0,0,985,71,217,120,59,188,28,76,79,20,34,54,4,2,1,16,7
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,"Stembureau Postduivenvereniging ""Soest""",0342::SB22,,1683,988,6,0,0,0,0,896,98,0,0,0,0,0,994,74,178,73,55,183,75,69,64,17,53,84,24,2,3,24,10
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,Stembureau Ontmoetingscentrum De Drie Eiken,0342::SB25,,1616,973,3,2,0,0,0,894,84,0,0,0,0,0,978,62,119,146,83,41,32,44,52,113,23,6,4,232,4,7,5
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,Stembureau Vredekerk,0342::SB26,,1693,678,5,1,0,0,0,633,51,0,0,0,0,0,684,45,62,97,51,32,29,28,57,75,13,18,1,155,6,5,4
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,Stembureau OBS De Startbaan,0342::SB27,,1724,963,6,0,0,0,0,879,90,0,0,0,0,0,969,66,96,113,45,54,23,38,73,75,16,21,0,323,4,13,3
,Soest,GR2018_Soest,Gemeenteraad Soest 2018,0342,Soest,2018-03-21,Stembureau Mobiel Stembureau,0342::SB28,,0,128,1,0,0,0,0,121,8,0,0,0,0,0,129,7,25,12,9,29,5,10,8,5,2,1,2,5,0,8,0
