contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Lokaal Almelo Samen,CDA,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,ChristenUnie,Partij Vrij Almelo (PVA),Almelo Centraal,Leefbaar Almelo,GROENLINKS,PVV (Partij voor de Vrijheid),Minimapartij,14,DEMOCRATEN.NU
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Stadhuis,0141::SB1,7607 EW,930,1005,2,5,0,7,0,1019,0,0,0,7,0,0,1019,96,102,71,77,73,170,43,40,52,64,100,58,29,15,15
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau MFA 't Dok,0141::SB2,7607 WC,1578,599,4,2,0,0,0,558,47,0,0,0,0,0,605,114,69,17,49,27,80,21,35,21,49,31,56,6,5,19
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Woonzorgcentrum De Hofkamp,0141::SB3,7607 ZC,1166,825,4,7,0,0,0,767,69,0,0,0,0,0,836,110,95,70,46,39,176,50,29,29,27,65,46,17,3,23
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Serviceflat De Swanehof,0141::SB4,7607 GC,1572,693,10,1,0,0,0,654,50,0,0,0,0,0,704,69,52,70,38,59,89,36,35,28,35,45,54,15,22,46
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Wonen met een plus De Koppel,0141::SB5,7601 BK,1628,607,4,6,0,0,0,552,65,0,0,0,0,0,617,89,53,26,35,67,46,41,32,10,28,30,74,28,17,31
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Dienstencentrum De Riet,0141::SB6,7601 CR,1643,483,6,2,0,0,0,443,48,0,0,0,0,0,491,50,22,21,25,50,13,23,37,6,26,15,92,32,65,6
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Wijkcentrum De Schöppe,0141::SB7,7601 EJ,2231,974,6,1,0,0,0,900,84,3,0,3,0,0,984,130,77,73,58,66,73,76,65,15,32,60,89,27,93,40
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau AVC Heracles,0141::SB8,7607 ZM,1232,529,2,2,0,0,0,477,56,0,0,0,0,0,533,59,84,32,19,19,157,29,25,8,4,30,14,11,12,26
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Pnkstergemeente De Banier,0141::SB9,7607 NG,1586,830,12,3,0,0,0,736,109,0,0,0,0,0,845,112,102,55,47,33,213,55,36,14,15,45,44,14,10,35
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Carrint Reggeland Eugeria,0141::SB10,7602 JT,797,565,3,0,0,0,0,532,36,0,0,0,0,0,568,71,83,45,31,24,136,36,14,20,15,38,25,10,2,15
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau v.v. Luctor et Emergo,0141::SB11,7602 AM,1293,681,1,1,0,0,0,629,54,0,0,0,0,0,683,83,104,46,32,48,83,41,61,16,40,32,51,12,5,27
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Wijkcentrum De Trefhoek,0141::SB12,7603 AD,1287,1237,9,4,0,0,0,1084,166,0,0,0,0,0,1250,166,158,72,82,88,147,164,50,18,36,52,128,32,12,32
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Scholengemeenschap Canisius,0141::SB13,7608 ND,3147,1122,4,3,0,0,0,999,131,1,0,1,0,0,1130,115,234,72,42,45,272,53,67,14,25,40,73,11,2,57
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Huize Friso,0141::SB14,7608 CL,2215,1137,4,4,0,0,0,1044,101,0,0,0,0,0,1145,152,230,90,82,64,152,67,68,34,36,53,70,20,5,14
