contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Staatkundig Gereformeerde Partij (SGP),Pro'98 (Pro Barneveld - PvdA - D66),ChristenUnie,CDA,Burger Initiatief,VVD,Lokaal Belang,8
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Gemeentehuis ingang Oude Raadhuis,0203::SB1,3771 ER,945,965,1,0,0,0,0,860,106,0,0,0,0,0,966,165,271,120,149,85,84,87,4
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Basisschool De Bron,0203::SB2,3771 CS,892,653,3,1,0,0,0,582,75,0,0,0,0,0,657,179,107,131,85,32,61,57,1
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Appartementencomplex Rumah Maluku,0203::SB3,3771 GR,1608,972,1,2,0,0,2,864,109,0,0,0,0,0,975,270,187,131,101,92,55,133,3
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Ontmoetingscentrum Bronveld,0203::SB4,3772 GR,1265,683,0,0,0,1,0,616,68,0,0,1,0,0,684,112,190,92,49,48,73,113,6
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Goede Herderkerk,0203::SB5,3772 BL,1379,1316,1,0,0,0,0,1202,115,0,0,0,0,0,1317,257,272,284,153,95,82,167,6
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Openbare Basisschool De Lijster,0203::SB6,3772 AA,445,269,0,1,0,1,0,240,29,0,1,0,0,0,269,65,79,29,34,22,17,23,0
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Schaffelaartheater ingang Harmonie,0203::SB7,3772 KV,1321,1183,1,2,0,0,0,1057,129,0,0,0,0,0,1186,350,233,152,156,68,87,133,4
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Nederlands Pluimveemuseum,0203::SB8,3771 RB,1266,720,3,2,0,0,0,617,108,0,0,0,0,0,725,218,136,108,98,33,37,87,3
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Verpleeghuis Norschoten,0203::SB9,3773 AW,700,704,2,1,0,1,0,608,100,0,0,1,0,0,708,250,116,101,91,33,41,70,2
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Daltonschool Lange Voren,0203::SB10,3773 AT,1344,1152,2,3,0,0,0,1009,149,1,0,1,0,0,1158,329,219,187,167,59,74,115,2
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Bethelkerk,0203::SB11,3771 CD,1434,861,1,0,0,1,0,749,112,0,1,0,0,0,861,234,119,133,167,50,89,69,0
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Zorgcentrum Nebo,0203::SB12,3771 HP,662,873,1,2,0,0,0,775,101,0,0,0,0,0,876,168,149,158,168,51,105,72,2
