contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),VVD,Leefbaar Diemen,GROENLINKS,P.v.d.O.,CDA,Ouderenpartij Diemen,Ons Diemen
,Diemen,GR2018_Diemen,Gemeenteraad Diemen 2018,0384,Diemen,2018-03-21,Stembureau Gemeentehuis,0384::SB1,1111 ZB,2339,1694,16,18,0,0,0,1602,126,0,0,0,0,0,1728,276,216,190,128,412,45,98,186,143
,Diemen,GR2018_Diemen,Gemeenteraad Diemen 2018,0384,Diemen,2018-03-21,Stembureau Zorgcentrum De Diem,0384::SB3,1111 AM,1312,784,7,4,0,0,0,728,66,0,1,0,1,0,794,142,75,113,113,162,13,65,45,56
,Diemen,GR2018_Diemen,Gemeenteraad Diemen 2018,0384,Diemen,2018-03-21,Stembureau Sociaal Cult. Centrum De Schakel,0384::SB4,1111 CC,1398,640,4,1,1,0,0,589,55,0,1,0,0,0,644,102,86,84,47,146,7,51,79,38
,Diemen,GR2018_Diemen,Gemeenteraad Diemen 2018,0384,Diemen,2018-03-21,Stembureau Portocabine NS-station Diemen,0384::SB5,1111 LZ,2006,854,8,3,0,0,0,805,60,0,0,0,0,0,865,157,97,73,58,236,26,66,93,48
,Diemen,GR2018_Diemen,Gemeenteraad Diemen 2018,0384,Diemen,2018-03-21,Stembureau Sporthal Diemen,0384::SB6,1111 ET,2107,943,4,3,0,1,0,856,95,0,0,1,0,0,951,215,94,197,60,195,28,51,51,52
,Diemen,GR2018_Diemen,Gemeenteraad Diemen 2018,0384,Diemen,2018-03-21,Stembureau Brede School Noorderbreedte,0384::SB7,1111 WD,1858,953,5,9,0,0,0,870,98,1,0,1,0,0,968,171,124,197,50,196,47,51,79,38
,Diemen,GR2018_Diemen,Gemeenteraad Diemen 2018,0384,Diemen,2018-03-21,Stembureau Wijkcentrum Noord,0384::SB8,1113 HM,1811,919,6,2,0,2,0,833,96,0,0,2,0,0,929,138,107,191,63,146,40,72,94,68
,Diemen,GR2018_Diemen,Gemeenteraad Diemen 2018,0384,Diemen,2018-03-21,Stembureau Wijkcentrum Noord zaal 2,0384::SB9,1113 HM,1770,902,4,1,0,1,0,832,76,0,0,1,0,0,908,136,126,168,50,132,54,55,97,84
,Diemen,GR2018_Diemen,Gemeenteraad Diemen 2018,0384,Diemen,2018-03-21,Stembureau Zorgcentrum Berkenstede,0384::SB10,1112 CL,1405,700,6,8,0,0,0,659,55,0,0,0,0,0,714,119,104,62,51,129,25,51,113,46
,Diemen,GR2018_Diemen,Gemeenteraad Diemen 2018,0384,Diemen,2018-03-21,"Stembureau Sportcentrum Duran, zaal 1",0384::SB11,1112 BE,1133,689,6,5,0,0,0,643,57,0,0,0,0,0,700,101,99,72,49,132,33,44,95,64
,Diemen,GR2018_Diemen,Gemeenteraad Diemen 2018,0384,Diemen,2018-03-21,"Stembureau Sportcentrum Duran, zaal 2",0384::SB12,1112 BE,1181,569,7,1,0,0,0,526,51,0,0,0,0,0,577,74,70,66,62,116,13,33,78,57
,Diemen,GR2018_Diemen,Gemeenteraad Diemen 2018,0384,Diemen,2018-03-21,Stembureau locatie Lounge & Garden (Campus Diemen),0384::SB13,1112 XC,3091,971,19,0,0,0,0,941,50,1,0,1,0,0,991,205,118,119,63,317,9,39,46,55
,Diemen,GR2018_Diemen,Gemeenteraad Diemen 2018,0384,Diemen,2018-03-21,Stembureau Keet Boschplaat,0384::SB14,1112 KA,705,393,4,1,0,0,0,370,28,0,0,0,0,0,398,99,43,59,28,72,4,20,47,21
