contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),SP (Socialistische Partij),VVD,Partij van de Arbeid (P.v.d.A.),GROENLINKS,CDA,Partij voor de Dieren,ChristenUnie,PS (Partij Sleutelstad)
,Leiden,GR2018_Leiden,Gemeenteraad Leiden 2018,0546,Leiden,2018-03-21,Stembureau Stadhuis (1),0546::SB1,,1859,1061,6,1,0,0,0,993,75,0,0,0,0,0,1068,278,58,178,90,240,56,87,37,37
,Leiden,GR2018_Leiden,Gemeenteraad Leiden 2018,0546,Leiden,2018-03-21,Stembureau Rijksmuseum van Oudheden (2),0546::SB2,,1886,1303,3,2,0,0,0,1246,62,0,0,0,0,0,1308,388,40,214,89,314,92,87,50,29
,Leiden,GR2018_Leiden,Gemeenteraad Leiden 2018,0546,Leiden,2018-03-21,Stembureau Erfgoed Leiden en Omstreken,0546::SB3,,1919,1076,3,1,0,0,0,1002,78,0,0,0,0,0,1080,265,50,191,124,216,84,77,36,33
,Leiden,GR2018_Leiden,Gemeenteraad Leiden 2018,0546,Leiden,2018-03-21,Stembureau Huis op de Waard,0546::SB4,,2546,886,7,4,0,0,0,839,58,0,0,0,0,0,897,188,78,137,71,186,56,93,33,44
,Leiden,GR2018_Leiden,Gemeenteraad Leiden 2018,0546,Leiden,2018-03-21,Stembureau Leger des Heils,0546::SB6,,2507,1267,4,4,0,1,0,1198,78,0,0,1,0,0,1276,328,75,156,105,298,72,128,54,51
,Leiden,GR2018_Leiden,Gemeenteraad Leiden 2018,0546,Leiden,2018-03-21,Stembureau Hooglandse Huys,0546::SB7,,2303,1391,5,3,0,3,0,1303,99,0,0,3,0,0,1402,390,72,228,80,310,84,124,67,36
,Leiden,GR2018_Leiden,Gemeenteraad Leiden 2018,0546,Leiden,2018-03-21,Stembureau Woningcorporatie De Sleutels,0546::SB9,,2316,1290,12,9,0,0,0,1209,102,0,0,0,0,0,1311,290,110,170,100,279,78,125,67,71
,Leiden,GR2018_Leiden,Gemeenteraad Leiden 2018,0546,Leiden,2018-03-21,Stembureau Marehuis,0546::SB10,,2290,1372,6,0,0,2,0,1322,58,0,0,2,0,0,1380,380,77,202,104,301,80,110,61,57
,Leiden,GR2018_Leiden,Gemeenteraad Leiden 2018,0546,Leiden,2018-03-21,Stembureau Museum Volkenkunde,0546::SB12,,2382,1383,4,1,0,0,0,1277,111,0,0,0,0,0,1388,363,98,186,107,345,65,109,64,46
,Leiden,GR2018_Leiden,Gemeenteraad Leiden 2018,0546,Leiden,2018-03-21,Stembureau Schouwenhove,0546::SB14,,1968,1204,8,4,0,0,0,1112,104,0,0,0,0,0,1216,209,111,180,134,203,124,102,46,95
,Leiden,GR2018_Leiden,Gemeenteraad Leiden 2018,0546,Leiden,2018-03-21,Stembureau Huis van de Buurt Morschwijck (15),0546::SB15,,3479,717,1,3,0,0,0,651,70,0,0,0,0,0,721,124,86,88,106,117,60,46,28,62
,Leiden,GR2018_Leiden,Gemeenteraad Leiden 2018,0546,Leiden,2018-03-21,Stembureau Robijnhof,0546::SB17,,2158,1160,3,6,0,0,0,1060,110,1,0,1,0,0,1170,177,103,175,151,160,163,88,54,89
,Leiden,GR2018_Leiden,Gemeenteraad Leiden 2018,0546,Leiden,2018-03-21,Stembureau Het Waterland,0546::SB18,,1779,697,3,2,0,0,0,637,65,0,0,0,0,0,702,175,38,102,76,138,69,45,29,25
,Leiden,GR2018_Leiden,Gemeenteraad Leiden 2018,0546,Leiden,2018-03-21,Stembureau Leidse Houtschool,0546::SB19,,2222,1323,5,4,0,1,0,1225,108,0,0,1,0,0,1333,356,26,192,167,310,95,87,57,33
,Leiden,GR2018_Leiden,Gemeenteraad Leiden 2018,0546,Leiden,2018-03-21,Stembureau Speeltuin Rondom de Maredijk,0546::SB20,,2047,717,6,3,0,2,0,674,50,0,2,0,0,0,724,152,39,98,77,193,44,54,31,29
,Leiden,GR2018_Leiden,Gemeenteraad Leiden 2018,0546,Leiden,2018-03-21,Stembureau Meet & Greet,0546::SB21,,2647,1268,12,3,0,2,0,1169,116,0,0,2,0,0,1285,291,86,161,142,327,72,102,42,45
,Leiden,GR2018_Leiden,Gemeenteraad Leiden 2018,0546,Leiden,2018-03-21,Stembureau Josephkerk,0546::SB22,,1926,699,8,1,0,0,0,653,55,0,0,0,0,0,708,127,102,74,74,104,53,79,34,52
,Leiden,GR2018_Leiden,Gemeenteraad Leiden 2018,0546,Leiden,2018-03-21,Stembureau Overrhyn,0546::SB23,,2295,675,5,6,0,0,0,606,80,0,0,0,0,0,686,112,97,56,137,110,32,50,24,57
,Leiden,GR2018_Leiden,Gemeenteraad Leiden 2018,0546,Leiden,2018-03-21,Stembureau Huis van de Buurt Het Gebouw,0546::SB24,,1982,1047,13,10,0,0,0,983,87,0,0,0,0,0,1070,194,154,118,161,184,33,89,33,81
