contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Hart voor Hilversum,VVD,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),CDA,GROENLINKS,ChristenUnie,Hilversum1,Leefbaar Hilversum
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Raadhuis,0402::SB1,1217 JE,1393,1441,3,7,6,0,2,1307,148,0,0,6,0,0,1457,370,200,337,51,44,109,217,54,10,49
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Mozarthof School,0402::SB2,1217 CM,1652,1006,2,4,1,0,0,852,159,0,1,0,0,0,1011,182,107,490,14,23,82,58,20,3,27
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Openbare Bibliotheek,0402::SB3,1217 EH,1789,1164,3,1,0,2,0,1031,139,0,0,2,0,0,1170,248,162,334,38,57,104,129,51,9,32
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Chr. Verpleeghuis 'Gooizicht',0402::SB4,1217 SH,1443,735,2,1,0,0,0,663,75,0,0,0,0,0,738,151,114,194,36,39,46,93,32,9,21
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Zorgcentrum 'De Boomberg',0402::SB5,1217 SV,1211,599,3,3,0,2,0,550,57,0,0,2,0,0,607,110,104,83,32,23,64,114,31,12,26
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Anna Gebouw,0402::SB6,1211 NE,2485,1006,5,7,0,0,0,940,78,0,0,0,0,0,1018,200,261,106,65,40,72,155,33,25,49
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau 'Emmaushuis',0402::SB7,1216 RN,1804,1002,2,3,0,0,0,918,89,0,0,0,0,0,1007,179,184,174,60,51,115,139,42,18,40
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Wijkcentrum 'De Koepel',0402::SB8,1216 JC,1535,1291,14,9,0,0,0,1221,93,0,0,0,0,0,1314,146,346,173,91,79,154,123,56,34,89
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Goudenregenschool Kerkelanden,0402::SB9,1216 LD,1670,671,9,3,0,1,0,620,64,0,0,1,0,0,684,78,192,68,49,43,105,45,42,21,28
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Nieuw Kerkelanden,0402::SB10,1216 SB,1630,600,1,8,0,0,0,571,39,0,0,1,0,0,610,76,131,81,38,43,95,46,33,29,28
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Museum Hilversum,0402::SB11,1211 BX,1106,829,5,6,0,2,0,780,58,0,2,0,0,0,838,161,153,106,67,52,59,146,37,14,34
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Elckerlycschool,0402::SB12,1215 EG,1261,976,6,0,0,0,0,892,90,0,0,0,0,0,982,214,126,209,32,37,121,131,70,11,25
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Bavinckschool,0402::SB13,1214 JS,1674,1243,5,5,1,0,0,1128,126,0,0,1,0,0,1254,334,178,231,32,50,105,197,57,24,35
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Violenschool,0402::SB14,1214 CJ,2188,884,6,3,0,0,0,823,70,0,0,0,0,0,893,170,219,85,62,46,67,138,46,15,36
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Intern. school (vh Rembr.sch.),0402::SB15,1213 BH,2497,1107,2,2,0,0,0,1007,105,1,0,1,0,0,1112,237,169,205,62,51,101,151,52,20,59
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Hilversumse School Vereniging,0402::SB16,1213 BM,862,630,0,2,0,0,0,552,80,0,0,0,0,0,632,190,60,176,15,17,74,57,22,5,14
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Wijkcentrum 'De Zoutkeet',0402::SB17,1215 PR,1626,987,6,7,0,0,0,953,46,0,0,0,0,0,999,176,199,165,66,25,118,112,50,30,46
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Verzorgingshuis 'Zuiderheide',0402::SB18,1215 KG,1884,712,2,3,0,0,0,664,54,0,0,1,0,1,718,97,133,110,56,34,95,58,66,23,40
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau ROC (ROCvA) Hilversum,0402::SB19,1213 NW,567,251,1,1,0,0,0,228,25,0,0,0,0,0,253,40,35,64,9,4,36,36,18,3,6
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Paulusschool,0402::SB20,1214 ET,1742,896,2,3,1,0,0,826,76,0,0,1,0,0,902,200,138,132,62,40,84,142,40,18,40
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Goudenregenschool,0402::SB21,1214 NC,2220,1185,3,8,0,0,0,1097,99,0,0,0,0,0,1196,244,199,216,88,56,98,173,54,19,38
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Woond.centr. 'De Egelantier',0402::SB22,1214 EH,2115,1078,5,3,0,0,0,992,94,0,0,0,0,0,1086,225,235,180,80,67,71,114,40,17,49
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Diependaalse Kerk,0402::SB23,1214 KE,2207,1269,4,5,1,0,0,1132,147,0,0,1,0,0,1279,285,108,403,32,57,148,109,82,4,41
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Villa Vrolik,0402::SB24,1223 MP,154,219,0,0,0,0,0,190,29,0,0,0,0,0,219,57,24,22,7,7,36,43,12,2,9
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Woondienstencentrum Lopes Dias,0402::SB25,1222 VE,2999,1269,12,12,2,0,0,1177,114,0,2,0,0,0,1291,135,360,75,162,90,144,170,59,30,44
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Station Hilversum (achterzijde),0402::SB26,,0,748,5,1,0,1,0,703,50,0,1,0,0,0,753,141,164,72,38,47,53,161,30,16,26
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Fresh Forward,0402::SB27,1222 HJ,1568,544,7,2,0,0,0,518,35,0,0,0,0,0,553,73,131,31,63,42,39,72,31,27,35
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Da Costaschool,0402::SB28,1222 LH,1981,1070,14,2,0,2,0,1015,73,0,0,2,0,0,1088,168,234,176,53,46,124,116,67,29,57
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Sterrenschool Hilversum,0402::SB29,1222 TJ,1782,1006,3,7,0,0,0,927,92,1,0,3,0,0,1019,197,215,155,56,48,78,151,60,18,28
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Scouting clubhuis 'De Orion',0402::SB30,1223 AJ,2148,1296,1,1,0,0,0,1149,149,0,0,0,0,0,1298,265,260,179,53,77,115,235,45,22,45
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Wijkcentrum De Geus,0402::SB31,1221 BV,2694,772,1,2,0,0,0,712,68,0,0,5,0,0,780,112,249,53,71,27,61,100,26,11,62
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau College de Opmaat,0402::SB32,1221 CL,2213,907,7,1,0,0,0,820,95,0,0,0,0,0,915,129,263,91,55,54,70,127,49,23,46
