contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GemeenteBelangen (GB),Hart Voor Katwijk,VVD,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),KiesKatwijk,JEZUS LEEFT,De Lokalen (DL),DURF
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau Gemeentehuis,0537::SB1,2224 EW,1529,1284,7,7,0,0,0,1141,157,0,0,0,0,0,1298,182,164,239,112,124,110,100,28,44,10,33,138
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,"Stembureau Duinroos, locatie Otto Baron",0537::SB2,2223 VG,1696,918,3,6,0,0,0,836,91,0,0,0,0,0,927,123,85,43,112,193,69,84,26,54,10,40,79
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau De Wilbert,0537::SB3,2223 ER,1398,884,2,2,0,0,0,765,123,0,0,0,0,0,888,143,88,86,138,99,108,56,26,58,3,15,64
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau De Horizon,0537::SB4,2223 AP,1471,1130,4,0,0,0,0,982,152,0,0,0,0,0,1134,216,92,62,194,128,95,82,27,69,9,48,108
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,"Stembureau Duinroos, locatie Zanderij",0537::SB5,2224 XA,1523,1051,3,4,0,0,0,916,142,0,0,0,0,0,1058,174,129,141,110,138,97,73,20,21,5,25,118
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau Huize Salem,0537::SB6,2225 RT,1582,907,3,2,0,2,0,792,122,0,0,2,0,0,914,162,160,242,67,48,55,44,4,39,11,13,62
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau Bibliotheek Katwijk Zee,0537::SB7,2225 MA,1501,1385,0,5,0,0,0,1196,194,0,0,0,0,0,1390,180,210,421,81,111,90,42,12,62,6,33,137
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau K&O Gebouw,0537::SB8,2225 XM,1579,1152,2,2,0,0,0,1004,152,0,0,0,0,0,1156,195,161,241,94,94,78,64,19,54,8,20,124
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau Wijkgeb 't Zandgat,0537::SB9,2225 AS,1441,608,1,1,0,0,0,516,94,0,0,0,0,0,610,116,84,137,34,53,44,19,8,19,3,19,72
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau Dienstencentr. Zwanenburg,0537::SB10,2225 DZ,1816,1129,1,1,0,0,0,977,154,0,0,0,0,0,1131,178,158,326,76,95,74,46,12,56,0,17,91
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau Gr van Prinstererschool,0537::SB11,2224 SZ,1739,1353,5,2,0,0,0,1184,176,0,0,0,0,0,1360,169,247,359,75,110,69,62,22,62,15,24,139
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau Sporthal Cleijn Duin,0537::SB12,2224 BN,1580,888,2,4,0,0,0,788,106,0,0,0,0,0,894,125,90,111,75,125,56,59,24,47,9,32,135
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau Pr Willem-Alexanderschool,0537::SB13,2221 SM,1424,640,4,5,0,0,0,600,49,0,0,0,0,0,649,75,88,95,62,78,40,41,17,28,5,20,91
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau IJsclub Voorwaarts Katwijk,0537::SB14,2221 CH,1190,614,4,2,0,0,0,520,100,0,0,0,0,0,620,71,99,98,52,63,45,29,12,17,3,31,94
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau Pieter Groen,0537::SB15,2221 VV,1246,934,7,3,0,1,0,839,106,0,0,1,0,0,945,110,142,79,104,109,70,75,25,28,7,26,159
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau Marnixschool,0537::SB16,2221 EP,1228,840,3,2,0,0,0,736,109,0,0,0,0,0,845,106,98,101,104,108,49,43,18,39,6,34,134
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau Hockeyclub Catwyck,0537::SB17,2221 KJ,1630,896,1,1,0,0,0,791,107,0,0,0,0,0,898,186,111,59,93,128,96,40,28,33,3,19,100
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau Vakcollege Rijnmond,0537::SB18,2224 VT,1620,519,0,0,0,0,0,458,61,0,0,0,0,0,519,73,60,59,46,67,41,27,18,16,4,21,87
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau Het Dorpshuis Valkenburg,0537::SB19,2235 BC,1374,934,3,4,0,0,0,842,99,0,0,0,0,0,941,197,131,33,76,106,97,146,39,24,6,26,53
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau Het Dorpshuis Valkenburg 2,0537::SB20,2235 BC,1341,865,3,2,0,0,0,778,92,0,0,0,0,0,870,204,109,35,68,89,83,132,30,30,3,19,63
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau De Vlietstede,0537::SB21,2231 DS,1629,847,5,2,0,0,0,777,77,0,0,0,0,0,854,275,113,46,81,76,89,41,35,8,8,21,54
