contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 Velsen,Velsen Lokaal,VVD,LGV,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),CDA,Forza! IJmond,GROENLINKS,ChristenUnie
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Gemeentehuis,0453::SB1,1971 EN,1547,1125,6,7,0,0,0,1037,101,0,0,0,0,0,1138,129,210,116,125,98,124,63,144,86,30
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Woon en zorgcentrum Huis ter Hagen,0453::SB2,1985 CV,1161,852,5,2,0,0,0,794,65,0,0,0,0,0,859,168,106,199,46,59,16,120,14,88,36
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Basisschool De Toermalijn,0453::SB3,1985 HB,1347,1006,7,2,0,0,0,922,93,0,0,0,0,0,1015,196,162,203,64,81,31,95,29,117,28
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Voormalig Raadhuis,0453::SB4,1981 BC,1552,787,3,3,0,0,0,708,85,0,0,0,0,0,793,125,128,151,56,80,32,91,37,56,31
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Wooncentrum Velserhooft,0453::SB10,2071 BH,1907,1383,10,1,0,0,0,1277,117,0,0,0,0,0,1394,261,183,211,73,111,74,169,52,196,53
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Cafe Zaal De Wildeman,0453::SB11,2071 EL,1908,1358,3,4,3,0,0,1259,109,0,0,3,0,0,1368,226,215,255,104,87,58,188,52,149,24
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,"Stembureau Bosbeekschool, ingang schoolplein",0453::SB13,2071 AW,1917,990,4,4,0,0,0,890,107,0,1,0,0,0,997,241,120,181,54,85,46,87,28,115,33
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau 't Brederode Huys,0453::SB14,2082 GE,1446,1195,7,4,0,1,0,1079,126,0,1,0,0,0,1205,267,102,288,51,90,46,133,17,175,26
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Basisschool Het Anker,0453::SB15,1991 BZ,1878,927,9,2,0,0,0,855,83,0,0,0,0,0,938,111,156,92,65,86,73,112,76,123,33
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Brederode Daltonschool,0453::SB16,2082 BD,1146,609,1,1,1,0,0,559,51,0,1,0,0,0,610,150,66,151,17,27,12,69,12,98,7
