contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Fractie 2014,Lijst Stulp,VVD,ChristenUnie,Seniorenpartij Delfzijl,Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),PVV (Partij voor de Vrijheid),Socialistisch Delfzijl,Partij 5 voor 12,GROENLINKS
,Delfzijl,GR2018_Delfzijl,Gemeenteraad Delfzijl 2018,0010,Delfzijl,2018-03-21,Stembureau Gemeentehuis,0010::SB1,9934 EA,1568,1152,10,4,0,1,0,1032,133,0,1,0,0,0,1165,147,136,226,139,97,109,98,26,75,20,20,59
,Delfzijl,GR2018_Delfzijl,Gemeenteraad Delfzijl 2018,0010,Delfzijl,2018-03-21,Stembureau Burg.van Julsinghatehuis,0010::SB2,9934 EH,1538,732,3,4,0,0,0,688,51,0,0,0,0,0,739,145,73,67,125,50,94,70,22,41,11,5,29
,Delfzijl,GR2018_Delfzijl,Gemeenteraad Delfzijl 2018,0010,Delfzijl,2018-03-21,Stembureau Gebouw Werkorganisatie DEAL,0010::SB3,9934 LN,1189,623,4,2,0,0,0,571,58,0,0,0,0,0,629,82,60,146,100,20,49,38,45,43,3,2,35
,Delfzijl,GR2018_Delfzijl,Gemeenteraad Delfzijl 2018,0010,Delfzijl,2018-03-21,Stembureau Dorpshuis Aeolus,0010::SB4,9936 CS,1368,576,5,4,0,2,0,538,49,0,0,2,0,0,587,77,77,87,67,37,48,28,15,80,11,11,38
,Delfzijl,GR2018_Delfzijl,Gemeenteraad Delfzijl 2018,0010,Delfzijl,2018-03-21,Stembureau Kerk Meedhuizen,0010::SB5,9937 PD,481,267,3,0,0,0,0,244,26,0,0,0,0,0,270,23,79,32,18,10,21,16,13,14,6,2,33
,Delfzijl,GR2018_Delfzijl,Gemeenteraad Delfzijl 2018,0010,Delfzijl,2018-03-21,Stembureau Gebouw Chr. Geref. Kerk,0010::SB6,9931 CE,1522,644,11,3,0,0,0,581,77,0,0,0,0,0,658,80,71,55,109,103,60,51,14,56,9,11,25
,Delfzijl,GR2018_Delfzijl,Gemeenteraad Delfzijl 2018,0010,Delfzijl,2018-03-21,Stembureau Brede School Tuikwerd,0010::SB7,9932 BR,2134,793,11,3,0,2,0,737,72,0,0,2,0,0,809,97,109,100,141,56,65,49,40,48,23,25,40
,Delfzijl,GR2018_Delfzijl,Gemeenteraad Delfzijl 2018,0010,Delfzijl,2018-03-21,Stembureau Eemsdeltacollege,0010::SB8,9932 BD,1248,555,3,1,0,0,0,507,52,0,0,0,0,0,559,87,51,101,93,22,64,51,23,21,10,5,27
,Delfzijl,GR2018_Delfzijl,Gemeenteraad Delfzijl 2018,0010,Delfzijl,2018-03-21,Stembureau Brede School Noord,0010::SB9,9933 KH,1558,893,7,3,0,0,0,803,100,0,0,0,0,0,903,128,83,82,133,150,76,61,24,70,20,12,54
,Delfzijl,GR2018_Delfzijl,Gemeenteraad Delfzijl 2018,0010,Delfzijl,2018-03-21,Stembureau Dollard College,0010::SB10,9946 PM,780,388,4,8,0,0,0,347,53,0,0,0,0,0,400,158,34,31,20,11,36,9,6,40,18,12,13
,Delfzijl,GR2018_Delfzijl,Gemeenteraad Delfzijl 2018,0010,Delfzijl,2018-03-21,Stembureau o.b.s. De Munte,0010::SB11,9948 PA,735,355,1,2,0,0,0,317,41,0,0,0,0,0,358,99,42,37,19,18,48,6,10,28,11,4,33
,Delfzijl,GR2018_Delfzijl,Gemeenteraad Delfzijl 2018,0010,Delfzijl,2018-03-21,Stembureau Ons Centrum,0010::SB12,9945 SG,1446,779,3,2,0,0,0,707,77,0,0,0,0,0,784,307,67,40,108,23,44,77,30,29,5,4,45
,Delfzijl,GR2018_Delfzijl,Gemeenteraad Delfzijl 2018,0010,Delfzijl,2018-03-21,Stembureau Voormalige CBS Bierum,0010::SB13,9906 PE,532,296,4,1,0,0,0,276,25,0,0,0,0,0,301,30,78,9,57,15,4,44,12,12,4,1,30
,Delfzijl,GR2018_Delfzijl,Gemeenteraad Delfzijl 2018,0010,Delfzijl,2018-03-21,Stembureau Verenigingsgebouw Pro Rege,0010::SB14,9909 AV,1070,584,0,0,0,0,0,534,50,0,0,0,0,0,584,34,177,36,126,20,30,58,14,30,13,8,38
,Delfzijl,GR2018_Delfzijl,Gemeenteraad Delfzijl 2018,0010,Delfzijl,2018-03-21,"Stembureau Dorpshuis De Heekt,",0010::SB15,9905 PD,981,565,14,1,0,0,0,529,51,0,0,0,0,0,580,83,136,44,81,15,24,42,21,29,8,7,75
,Delfzijl,GR2018_Delfzijl,Gemeenteraad Delfzijl 2018,0010,Delfzijl,2018-03-21,Stembureau Dorpshuis Vinkenhorst,0010::SB16,9908 PD,396,233,0,0,0,0,0,212,21,0,0,0,0,0,233,27,63,11,47,10,6,20,5,7,7,3,27
,Delfzijl,GR2018_Delfzijl,Gemeenteraad Delfzijl 2018,0010,Delfzijl,2018-03-21,Stembureau Voormalige huisartsenpraktijk,0010::SB17,9933 GX,1644,335,0,1,0,0,0,309,27,0,0,0,0,0,336,37,45,56,65,19,21,26,11,18,8,17,12
