contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Progressief Westerveld/D66/GROENLINKS,VVD,Partij van de Arbeid (P.v.d.A.),CDA,Gemeentebelangen,DSSW/SW
,Westerveld,GR2018_Westerveld,Gemeenteraad Westerveld 2018,1701,Westerveld,2018-03-21,Stembureau Zalencentrum Dingspilhuus.,1701::SB1,7981 AV,1369,895,3,5,0,0,0,823,80,0,0,0,0,0,903,179,158,119,137,102,200
,Westerveld,GR2018_Westerveld,Gemeenteraad Westerveld 2018,1701,Westerveld,2018-03-21,Stembureau Villa Nova Zorgvlied,1701::SB2,8437 PB,347,214,0,1,0,0,0,192,23,0,0,0,0,0,215,43,37,11,15,94,14
,Westerveld,GR2018_Westerveld,Gemeenteraad Westerveld 2018,1701,Westerveld,2018-03-21,Stembureau Dorpshuis  Oens Huus,1701::SB3,7983 KL,501,338,1,0,0,0,0,310,29,0,0,0,0,0,339,69,130,38,43,20,38
,Westerveld,GR2018_Westerveld,Gemeenteraad Westerveld 2018,1701,Westerveld,2018-03-21,Stembureau Ons Dorpshuis,1701::SB4,8384 EE,1377,772,8,5,0,0,0,726,59,0,0,0,0,0,785,144,166,183,90,102,87
,Westerveld,GR2018_Westerveld,Gemeenteraad Westerveld 2018,1701,Westerveld,2018-03-21,Stembureau Woonzorgcentrum De Weyert,1701::SB5,7991 BN,1342,841,5,2,0,0,0,790,58,0,0,0,0,0,848,188,137,105,153,129,129
,Westerveld,GR2018_Westerveld,Gemeenteraad Westerveld 2018,1701,Westerveld,2018-03-21,Stembureau Buurthuis De Gowe,1701::SB6,7991 TD,763,471,4,0,0,0,0,443,32,0,0,0,0,0,475,154,101,27,113,41,35
,Westerveld,GR2018_Westerveld,Gemeenteraad Westerveld 2018,1701,Westerveld,2018-03-21,Stembureau Hotel  De Börken,1701::SB7,7991 PJ,398,300,4,0,0,0,0,272,32,0,0,0,0,0,304,99,62,14,59,48,18
,Westerveld,GR2018_Westerveld,Gemeenteraad Westerveld 2018,1701,Westerveld,2018-03-21,Stembureau Dorpshuis  De Veldkei,1701::SB8,7971 BX,1771,1198,9,2,0,2,0,1136,75,0,0,2,0,0,1211,270,244,101,106,291,186
,Westerveld,GR2018_Westerveld,Gemeenteraad Westerveld 2018,1701,Westerveld,2018-03-21,Stembureau Dorpshuis  De Wiekslag,1701::SB9,8351 HR,651,405,0,2,0,0,0,378,29,0,0,0,0,0,407,99,64,29,24,37,152
,Westerveld,GR2018_Westerveld,Gemeenteraad Westerveld 2018,1701,Westerveld,2018-03-21,Stembureau Dorpshuis  De Vlasbarg'n,1701::SB10,7975 BX,1154,700,1,2,0,0,0,649,54,0,0,0,0,0,703,164,97,50,52,70,267
,Westerveld,GR2018_Westerveld,Gemeenteraad Westerveld 2018,1701,Westerveld,2018-03-21,Stembureau Dorpshuis  De Stobbe,1701::SB11,7973 KG,762,376,1,2,0,0,0,335,44,0,0,0,0,0,379,86,35,39,46,51,119
,Westerveld,GR2018_Westerveld,Gemeenteraad Westerveld 2018,1701,Westerveld,2018-03-21,Stembureau De Rand van Havelte,1701::SB12,7971 AK,1198,693,9,1,0,0,0,637,67,1,0,1,0,0,704,147,95,56,44,225,126
,Westerveld,GR2018_Westerveld,Gemeenteraad Westerveld 2018,1701,Westerveld,2018-03-21,Stembureau De Tippe,1701::SB13,8381 BX,1339,824,14,1,0,1,0,750,90,0,0,1,0,0,840,199,131,115,92,101,186
,Westerveld,GR2018_Westerveld,Gemeenteraad Westerveld 2018,1701,Westerveld,2018-03-21,Stembureau Gemeentehuis Diever,1701::SB14,7981 EL,1076,746,0,1,0,0,0,676,71,0,0,0,0,0,747,160,107,79,125,74,201
,Westerveld,GR2018_Westerveld,Gemeenteraad Westerveld 2018,1701,Westerveld,2018-03-21,Stembureau 't Hof van Dwingeloo,1701::SB15,7991 AA,840,567,0,4,0,4,0,519,48,0,4,0,0,0,567,120,148,55,64,92,88
,Westerveld,GR2018_Westerveld,Gemeenteraad Westerveld 2018,1701,Westerveld,2018-03-21,Stembureau Brandweerkazerne Vledder,1701::SB16,8381 BB,922,511,0,1,0,1,0,481,32,0,0,1,0,0,513,96,90,67,72,71,115
