contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,ChristenUnie,Partij van de Arbeid (P.v.d.A.),OpKoers.nu,VVD,Democraten 66 (D66),GROENLINKS,50PLUS,Staatkundig Gereformeerde Partij (SGP)
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Voormalig gemeentehuis Gramsbergen,0160::SB14,7783 CG,1725,1022,3,2,0,0,0,936,91,0,0,0,0,0,1027,417,126,74,171,104,49,29,42,10
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau MFC de Binder,0160::SB15,7783 HA,1206,822,1,3,0,0,0,744,82,0,0,0,0,0,826,340,67,67,137,93,28,46,44,0
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Dorpshuis De Krim,0160::SB16,7782 RN,1536,794,4,1,0,0,0,739,60,0,0,0,0,0,799,417,72,45,77,39,29,24,80,11
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Oude basisschool  Ane,0160::SB17,7784 CG,662,465,1,0,0,0,0,431,35,0,0,0,0,0,466,230,45,22,49,55,12,31,19,2
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau 't Haarschut  Kloosterhaar,0160::SB18,7694 AA,1164,544,3,0,0,0,0,487,60,0,0,0,0,0,547,156,15,89,173,31,7,21,50,2
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau 't Uilenest,0160::SB19,7771 AC,1107,694,4,2,0,1,0,657,44,0,0,1,0,0,701,202,145,51,118,57,22,48,35,16
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Ver. gebouw  de Esch,0160::SB20,7771 RD,1347,934,1,1,0,0,0,869,67,0,0,0,0,0,936,264,298,62,101,82,24,39,36,28
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Zorgcentrum Clara Feyoena Heem,0160::SB21,7771 TD,1561,1039,2,3,0,0,0,934,110,0,0,0,0,0,1044,203,432,73,98,65,16,59,51,42
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,"Stembureau ""De Schoutenhof """,0160::SB22,7773 CC,1508,913,4,0,0,1,0,800,118,0,0,1,0,0,918,238,203,44,107,156,44,51,52,18
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,"Stembureau Dorpshuis ""De Heugte""  Radewijk",0160::SB23,7791 RK,512,347,1,0,0,0,0,310,38,0,0,0,0,0,348,146,30,30,62,42,11,18,7,1
