contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),VVD,Beter De Bilt,CDA,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Bilts Belang,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),ChristenUnie,Forza De Bilt
,De Bilt,GR2018_DeBilt,Gemeenteraad De Bilt 2018,0310,De Bilt,2018-03-21,Stembureau Gemeentehuis Jagtlust,0310::SB1,,1199,1030,6,2,0,0,0,939,99,0,0,0,0,0,1038,182,158,133,77,100,47,51,156,12,24,90
,De Bilt,GR2018_DeBilt,Gemeenteraad De Bilt 2018,0310,De Bilt,2018-03-21,Stembureau Brandweer,0310::SB2,,1318,805,7,1,0,0,0,745,68,0,0,0,0,0,813,120,91,114,57,81,32,44,154,11,27,74
,De Bilt,GR2018_DeBilt,Gemeenteraad De Bilt 2018,0310,De Bilt,2018-03-21,Stembureau Woonzorgcentrum d'Amandelboom,0310::SB3,,851,554,6,0,0,0,0,503,57,0,0,0,0,0,560,99,95,48,39,41,3,9,81,32,74,33
,De Bilt,GR2018_DeBilt,Gemeenteraad De Bilt 2018,0310,De Bilt,2018-03-21,Stembureau Woon- en zorgcentrum De Koperwiek,0310::SB4,,2869,1939,4,5,0,2,0,1794,156,0,0,2,0,0,1950,257,404,226,208,146,81,118,236,18,51,194
,De Bilt,GR2018_DeBilt,Gemeenteraad De Bilt 2018,0310,De Bilt,2018-03-21,Stembureau VvSo WVT,0310::SB6,,1334,657,4,0,0,0,0,606,55,0,0,0,0,0,661,66,50,94,38,91,77,38,110,5,23,65
,De Bilt,GR2018_DeBilt,Gemeenteraad De Bilt 2018,0310,De Bilt,2018-03-21,Stembureau Kunstenhuis (locatie Lichtruim),0310::SB7,,1370,903,2,2,0,0,0,847,60,0,0,0,0,0,907,126,97,112,72,97,89,59,148,11,19,73
,De Bilt,GR2018_DeBilt,Gemeenteraad De Bilt 2018,0310,De Bilt,2018-03-21,Stembureau Opstandingskerk,0310::SB8,,1378,822,3,1,0,2,0,754,74,0,0,2,0,0,828,143,108,104,51,66,32,53,172,7,32,54
,De Bilt,GR2018_DeBilt,Gemeenteraad De Bilt 2018,0310,De Bilt,2018-03-21,Stembureau HF Witte Centrum,0310::SB9,,2757,1914,11,4,0,0,0,1759,170,0,0,0,0,0,1929,328,239,270,141,159,96,132,342,28,55,124
,De Bilt,GR2018_DeBilt,Gemeenteraad De Bilt 2018,0310,De Bilt,2018-03-21,Stembureau MENS Servicecentrum De Bilt/Weltevreden,0310::SB10,,1492,853,3,4,0,1,0,795,66,0,0,1,0,0,861,141,86,114,77,96,45,55,144,12,22,61
,De Bilt,GR2018_DeBilt,Gemeenteraad De Bilt 2018,0310,De Bilt,2018-03-21,Stembureau Gebouw van het Rode Kruis,0310::SB11,,1900,1108,6,4,0,3,1,1031,89,0,0,3,0,0,1121,163,118,129,100,69,65,81,204,16,51,112
,De Bilt,GR2018_DeBilt,Gemeenteraad De Bilt 2018,0310,De Bilt,2018-03-21,Stembureau De Voorhof,0310::SB14,,2168,1483,8,3,0,0,0,1357,137,0,0,0,0,0,1494,239,183,169,119,108,90,72,333,23,58,89
,De Bilt,GR2018_DeBilt,Gemeenteraad De Bilt 2018,0310,De Bilt,2018-03-21,Stembureau De Woudkapel,0310::SB15,,893,728,3,0,0,0,0,630,102,1,0,1,0,0,732,144,240,100,84,19,3,14,40,8,7,69
,De Bilt,GR2018_DeBilt,Gemeenteraad De Bilt 2018,0310,De Bilt,2018-03-21,Stembureau Wooncentrum Schutsmantel,0310::SB16,,1148,919,0,2,0,0,0,796,125,0,0,0,0,0,921,144,320,115,103,38,11,26,68,3,10,81
,De Bilt,GR2018_DeBilt,Gemeenteraad De Bilt 2018,0310,De Bilt,2018-03-21,Stembureau Serviceflat Hobbemaflat,0310::SB17,,1302,859,0,0,0,0,0,745,114,0,0,0,0,0,859,152,266,85,115,35,7,21,50,8,28,92
,De Bilt,GR2018_DeBilt,Gemeenteraad De Bilt 2018,0310,De Bilt,2018-03-21,Stembureau Huize het Oosten,0310::SB18,,1837,1068,8,4,0,1,0,980,99,0,1,0,0,0,1079,184,239,162,102,71,31,51,104,9,30,85
,De Bilt,GR2018_DeBilt,Gemeenteraad De Bilt 2018,0310,De Bilt,2018-03-21,Stembureau Woon- en zorgcentrum De Bremhorst,0310::SB19,,1127,952,1,1,0,0,0,882,72,0,0,0,0,0,954,124,75,152,65,125,67,58,156,13,19,98
,De Bilt,GR2018_DeBilt,Gemeenteraad De Bilt 2018,0310,De Bilt,2018-03-21,Stembureau Woonstichting SSW,0310::SB20,,1071,431,5,3,0,0,0,399,40,0,0,0,0,0,439,42,17,47,31,73,53,34,89,5,11,29
,De Bilt,GR2018_DeBilt,Gemeenteraad De Bilt 2018,0310,De Bilt,2018-03-21,Stembureau Dorpshuis De Vierstee,0310::SB21,,1311,760,3,2,0,0,0,706,59,0,0,0,0,0,765,32,67,74,124,24,29,25,47,236,35,67
