contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Dorpsbelang Langedijk,VVD,Kleurrijk Langedijk,CDA,Hart voor Langedijk-D66,GROENLINKS,Partij van de Arbeid (P.v.d.A.),ChristenUnie,Senioren Langedijk
,Langedijk,GR2018_Langedijk,Gemeenteraad Langedijk 2018,0416,Langedijk,2018-03-21,Stembureau De Meander,0416::SB1,,1431,596,3,1,0,0,0,544,57,0,0,1,0,0,601,123,79,63,73,42,63,27,38,88
,Langedijk,GR2018_Langedijk,Gemeenteraad Langedijk 2018,0416,Langedijk,2018-03-21,Stembureau Voetbalvereniging DTS,0416::SB2,,913,490,3,1,0,0,0,443,51,0,0,0,0,0,494,103,125,46,49,34,50,44,7,32
,Langedijk,GR2018_Langedijk,Gemeenteraad Langedijk 2018,0416,Langedijk,2018-03-21,Stembureau Obs De Wijde Veert,0416::SB3,,1228,944,2,0,0,0,0,880,68,0,0,2,0,0,948,205,145,100,91,100,114,60,36,93
,Langedijk,GR2018_Langedijk,Gemeenteraad Langedijk 2018,0416,Langedijk,2018-03-21,Stembureau Gebouw naast De Duizend Eilanden,0416::SB4,,1126,504,2,3,0,0,0,481,28,0,0,0,0,0,509,112,67,69,53,49,45,27,19,63
,Langedijk,GR2018_Langedijk,Gemeenteraad Langedijk 2018,0416,Langedijk,2018-03-21,Stembureau Buiten Zorg,0416::SB5,,1219,591,2,2,0,0,0,555,41,0,0,1,0,0,596,85,99,63,58,49,64,34,43,96
,Langedijk,GR2018_Langedijk,Gemeenteraad Langedijk 2018,0416,Langedijk,2018-03-21,Stembureau Horizon,0416::SB6,,1143,637,5,5,0,0,0,598,49,0,0,0,0,0,647,96,99,48,73,56,51,34,92,88
,Langedijk,GR2018_Langedijk,Gemeenteraad Langedijk 2018,0416,Langedijk,2018-03-21,Stembureau Chr. ger. kerk,0416::SB7,,1241,905,0,1,0,0,0,820,87,0,0,1,0,0,907,109,248,90,82,80,72,29,106,89
,Langedijk,GR2018_Langedijk,Gemeenteraad Langedijk 2018,0416,Langedijk,2018-03-21,Stembureau De Witte kerk,0416::SB8,,1407,859,4,3,0,0,0,812,54,0,0,0,0,0,866,163,176,165,49,53,121,47,53,32
,Langedijk,GR2018_Langedijk,Gemeenteraad Langedijk 2018,0416,Langedijk,2018-03-21,Stembureau De Regenboog,0416::SB9,,1054,491,1,0,0,0,0,461,30,0,1,0,0,0,491,66,67,145,39,29,73,19,29,24
,Langedijk,GR2018_Langedijk,Gemeenteraad Langedijk 2018,0416,Langedijk,2018-03-21,Stembureau Rkbs Paus Johannes,0416::SB10,,1124,656,3,2,0,0,0,621,41,0,0,1,0,0,662,111,123,135,43,37,90,50,27,40
,Langedijk,GR2018_Langedijk,Gemeenteraad Langedijk 2018,0416,Langedijk,2018-03-21,Stembureau De Bonte Koe,0416::SB11,,189,121,2,0,0,0,0,113,10,0,0,0,0,0,123,10,13,12,5,15,35,11,5,15
,Langedijk,GR2018_Langedijk,Gemeenteraad Langedijk 2018,0416,Langedijk,2018-03-21,Stembureau Het Behouden Huis,0416::SB12,,1127,816,1,5,0,0,0,754,68,0,0,0,0,0,822,151,148,104,76,82,76,62,26,91
,Langedijk,GR2018_Langedijk,Gemeenteraad Langedijk 2018,0416,Langedijk,2018-03-21,Stembureau Gemeentehuis,0416::SB13,,1001,862,5,1,0,0,0,800,68,0,0,0,0,0,868,157,135,87,85,117,105,36,67,73
,Langedijk,GR2018_Langedijk,Gemeenteraad Langedijk 2018,0416,Langedijk,2018-03-21,Stembureau R.K. Mariaschool,0416::SB14,,1501,625,1,2,0,0,0,556,72,0,0,0,0,0,628,140,84,91,66,60,84,25,21,54
,Langedijk,GR2018_Langedijk,Gemeenteraad Langedijk 2018,0416,Langedijk,2018-03-21,Stembureau Het Allemanshuis,0416::SB15,,916,353,3,0,0,0,0,328,29,0,0,1,0,0,357,83,65,31,48,36,35,12,14,29
,Langedijk,GR2018_Langedijk,Gemeenteraad Langedijk 2018,0416,Langedijk,2018-03-21,Stembureau De Kloosterhof,0416::SB16,,1199,769,3,0,0,0,0,707,65,0,0,0,0,0,772,151,115,98,103,68,64,49,35,86
,Langedijk,GR2018_Langedijk,Gemeenteraad Langedijk 2018,0416,Langedijk,2018-03-21,Stembureau Trefpunt,0416::SB17,,1407,743,4,1,0,0,0,683,65,0,0,0,0,0,748,83,93,64,65,74,113,41,156,54
,Langedijk,GR2018_Langedijk,Gemeenteraad Langedijk 2018,0416,Langedijk,2018-03-21,Stembureau De Geist,0416::SB18,,1112,739,6,4,0,0,0,698,51,0,0,0,0,0,749,133,117,192,46,25,104,44,32,46
,Langedijk,GR2018_Langedijk,Gemeenteraad Langedijk 2018,0416,Langedijk,2018-03-21,Stembureau De Koolvlet,0416::SB19,,1458,793,8,1,0,0,0,744,58,0,0,0,0,0,802,158,149,106,52,94,82,38,45,69
