contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Wij Putten,ChristenUnie,CDA,Staatkundig Gereformeerde Partij (SGP),GEMEENTEBELANGEN
,Putten,GR2018_Putten,Gemeenteraad Putten 2018,0273,Putten,2018-03-21,Stembureau Cultureel Centrum Stroud,0273::SB1,3881 BP,1369,1465,6,15,0,4,0,1327,155,0,4,0,0,0,1482,481,266,299,192,227
,Putten,GR2018_Putten,Gemeenteraad Putten 2018,0273,Putten,2018-03-21,Stembureau Andreaskerk,0273::SB2,3881 SH,1556,906,5,5,0,0,0,842,74,0,0,0,0,0,916,274,160,180,133,159
,Putten,GR2018_Putten,Gemeenteraad Putten 2018,0273,Putten,2018-03-21,Stembureau Woonzorgcentrum Elim,0273::SB3,3882 AL,1456,690,6,0,0,0,0,643,53,0,0,0,0,0,696,193,155,139,90,113
,Putten,GR2018_Putten,Gemeenteraad Putten 2018,0273,Putten,2018-03-21,Stembureau Gemeentehuis,0273::SB4,3881 BZ,1373,1117,9,2,0,0,0,1013,115,0,0,0,0,0,1128,304,268,229,159,157
,Putten,GR2018_Putten,Gemeenteraad Putten 2018,0273,Putten,2018-03-21,Stembureau Zuiderkerk,0273::SB5,3882 LJ,1571,966,8,2,0,0,0,858,118,0,0,0,0,0,976,161,154,248,254,149
,Putten,GR2018_Putten,Gemeenteraad Putten 2018,0273,Putten,2018-03-21,Stembureau Verenigingsgebouw Stenenkamer,0273::SB6,3882 RC,1425,900,5,1,0,1,0,782,127,2,0,3,0,0,909,107,159,273,261,100
,Putten,GR2018_Putten,Gemeenteraad Putten 2018,0273,Putten,2018-03-21,Stembureau School Schovenhorst,0273::SB7,3881 NC,746,383,0,2,0,0,0,338,47,0,0,0,0,0,385,99,64,55,34,131
,Putten,GR2018_Putten,Gemeenteraad Putten 2018,0273,Putten,2018-03-21,"Stembureau School Klein Schovenhorst, t.o. Aldi",0273::SB8,,1550,1113,8,1,0,1,0,1033,88,0,1,0,0,0,1121,344,232,214,154,169
,Putten,GR2018_Putten,Gemeenteraad Putten 2018,0273,Putten,2018-03-21,Stembureau Verzorgingshuis De Schauw,0273::SB9,3882 AL,1573,1186,5,5,0,0,0,1086,110,0,0,0,0,0,1196,347,288,222,159,170
,Putten,GR2018_Putten,Gemeenteraad Putten 2018,0273,Putten,2018-03-21,Stembureau School De Wegwijzer,0273::SB10,3882 XE,1547,842,0,5,0,0,0,759,88,0,0,0,0,0,847,224,206,139,118,155
,Putten,GR2018_Putten,Gemeenteraad Putten 2018,0273,Putten,2018-03-21,Stembureau School De Pelikaan,0273::SB11,3882 GN,1509,791,3,0,0,1,0,740,53,0,1,0,0,0,793,309,120,146,50,166
,Putten,GR2018_Putten,Gemeenteraad Putten 2018,0273,Putten,2018-03-21,Stembureau School De Schuilplaats,0273::SB12,3882 HH,1493,1115,6,3,0,0,0,1011,113,0,0,0,0,0,1124,297,276,210,131,201
,Putten,GR2018_Putten,Gemeenteraad Putten 2018,0273,Putten,2018-03-21,Stembureau De Samaritaan,0273::SB13,3882 HS,1809,855,3,2,0,0,0,760,100,0,0,0,0,0,860,225,162,131,153,184
