contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SGP-ChristenUnie,CDA,Partij van de Arbeid (P.v.d.A.)/GROENLINKS,VVD,Dorpsbelangen en Toerisme Veere (DTV),Democraten 66 (D66)
,Veere,GR2018_Veere,Gemeenteraad Veere 2018,0717,Veere,2018-03-21,Stembureau Verenigingsgebouw Het Akkoord; Veere,0717::SB1,,1342,817,7,6,0,0,0,733,97,0,0,0,0,0,830,124,137,240,155,106,55
,Veere,GR2018_Veere,Gemeenteraad Veere 2018,0717,Veere,2018-03-21,Stembureau Verenigingsgebouw De Spil; Gapinge,0717::SB2,,410,300,0,2,0,0,0,276,26,0,0,0,0,0,302,52,79,84,35,37,13
,Veere,GR2018_Veere,Gemeenteraad Veere 2018,0717,Veere,2018-03-21,Stembureau Verenigingsgebouw Vrouwenpolder; Vrouwenpolder,0717::SB3,,852,573,1,0,0,0,0,525,49,0,0,0,0,0,574,137,102,107,121,66,40
,Veere,GR2018_Veere,Gemeenteraad Veere 2018,0717,Veere,2018-03-21,Stembureau Verenigingsgebouw De Zandput; Serooskerke,0717::SB4,,1426,998,4,0,0,0,0,922,80,0,0,0,0,0,1002,236,295,209,120,85,53
,Veere,GR2018_Veere,Gemeenteraad Veere 2018,0717,Veere,2018-03-21,Stembureau Verenigingsgebouw Amicitia; Aagtekerke,0717::SB5,,1113,899,0,1,0,0,0,790,110,0,0,0,0,0,900,577,86,86,71,69,10
,Veere,GR2018_Veere,Gemeenteraad Veere 2018,0717,Veere,2018-03-21,Stembureau Dorpshuis Nimmerdor; Grijpskerke,0717::SB6,,1145,823,0,0,0,1,0,751,73,0,0,1,0,0,824,150,179,153,152,154,35
,Veere,GR2018_Veere,Gemeenteraad Veere 2018,0717,Veere,2018-03-21,Stembureau Verenigingsgebouw Ons Huis; Meliskerke,0717::SB7,,1037,858,2,0,0,0,0,749,111,0,0,0,0,0,860,622,95,45,41,46,9
,Veere,GR2018_Veere,Gemeenteraad Veere 2018,0717,Veere,2018-03-21,Stembureau Sportcentrum De Couburg; Koudekerke,0717::SB8,,1376,980,5,2,0,0,0,896,91,0,0,0,0,0,987,63,133,366,186,168,64
,Veere,GR2018_Veere,Gemeenteraad Veere 2018,0717,Veere,2018-03-21,Stembureau WoZoCo De Brouwerij; Koudekerke,0717::SB9,,1390,789,5,2,0,0,0,725,71,0,0,0,0,0,796,78,139,235,171,123,43
,Veere,GR2018_Veere,Gemeenteraad Veere 2018,0717,Veere,2018-03-21,Stembureau 't Klokuus; Biggekerke,0717::SB10,,719,509,2,0,0,0,0,468,43,0,0,0,0,0,511,63,138,115,81,93,19
,Veere,GR2018_Veere,Gemeenteraad Veere 2018,0717,Veere,2018-03-21,Stembureau MFA De Soute Schakel; Zoutelande,0717::SB11,,1345,876,2,0,0,0,0,758,120,0,0,0,0,0,878,108,187,144,176,231,30
,Veere,GR2018_Veere,Gemeenteraad Veere 2018,0717,Veere,2018-03-21,Stembureau Gemeentehuis Domburg; Domburg,0717::SB12,,1242,918,1,5,0,0,0,808,116,0,0,0,0,0,924,82,47,388,198,171,32
,Veere,GR2018_Veere,Gemeenteraad Veere 2018,0717,Veere,2018-03-21,Stembureau Protestants Kerkcentrum; Oostkapelle,0717::SB13,,1056,731,1,1,0,0,0,660,73,0,0,0,0,0,733,226,113,167,104,93,28
,Veere,GR2018_Veere,Gemeenteraad Veere 2018,0717,Veere,2018-03-21,Stembureau Sporthal De Halve Maan; Oostkapelle,0717::SB14,,997,730,1,1,0,0,0,638,94,0,0,0,0,0,732,183,95,195,146,74,37
,Veere,GR2018_Veere,Gemeenteraad Veere 2018,0717,Veere,2018-03-21,Stembureau Sportzaal De Bellink; Westkapelle,0717::SB15,,968,724,3,0,0,0,0,651,76,0,0,0,0,0,727,114,67,213,89,221,20
,Veere,GR2018_Veere,Gemeenteraad Veere 2018,0717,Veere,2018-03-21,Stembureau Verenigingsgebouw Westkapelle Herrijst; Westkapelle,0717::SB16,,1191,809,1,2,0,0,0,708,104,0,0,0,0,0,812,149,77,182,85,294,22
,Veere,GR2018_Veere,Gemeenteraad Veere 2018,0717,Veere,2018-03-21,Stembureau Mobiel Stembureau 1,0717::SB17,,0,122,5,3,0,0,0,120,10,0,0,0,0,0,130,10,45,27,13,23,4
,Veere,GR2018_Veere,Gemeenteraad Veere 2018,0717,Veere,2018-03-21,Stembureau Mobiel Stembureau 2,0717::SB18,,0,58,0,0,0,0,0,55,3,0,0,0,0,0,58,12,24,9,7,3,3
