contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,SP (Socialistische Partij),ChristenUnie,Partij van de Arbeid (P.v.d.A.),Gemeentebelangen Stadskanaal,VVD,Democraten 66 (D66),Lokaal Betrokken,GROENLINKS
,Stadskanaal,GR2018_Stadskanaal,Gemeenteraad Stadskanaal 2018,0037,Stadskanaal,2018-03-21,Stembureau Gemeentehuis,0037::SB1,9501 SZ,1271,974,6,2,0,0,0,891,91,0,0,0,0,0,982,183,161,100,177,113,92,51,63,34
,Stadskanaal,GR2018_Stadskanaal,Gemeenteraad Stadskanaal 2018,0037,Stadskanaal,2018-03-21,Stembureau Drouwenerhof,0037::SB2,9503 AV,1379,726,6,2,0,0,0,674,60,0,0,0,0,0,734,106,133,120,87,82,56,35,77,30
,Stadskanaal,GR2018_Stadskanaal,Gemeenteraad Stadskanaal 2018,0037,Stadskanaal,2018-03-21,Stembureau De Rank Oosterkade 5,0037::SB3,9503 HN,1389,511,5,2,0,0,0,470,48,0,0,0,0,0,518,83,98,98,42,65,29,17,56,23
,Stadskanaal,GR2018_Stadskanaal,Gemeenteraad Stadskanaal 2018,0037,Stadskanaal,2018-03-21,Stembureau Oude Brandweerkazerne,0037::SB4,9502 ET,1121,486,1,1,0,0,0,451,37,0,0,0,0,0,488,58,79,80,85,79,29,21,45,10
,Stadskanaal,GR2018_Stadskanaal,Gemeenteraad Stadskanaal 2018,0037,Stadskanaal,2018-03-21,Stembureau Maarsheerd,0037::SB5,9501 AM,1266,774,4,3,0,0,0,711,70,0,0,0,0,0,781,174,103,126,98,93,74,39,43,24
,Stadskanaal,GR2018_Stadskanaal,Gemeenteraad Stadskanaal 2018,0037,Stadskanaal,2018-03-21,Stembureau Chr Gereformeerde Kerk,0037::SB6,9501 BZ,1486,875,2,0,0,5,0,814,68,0,0,5,0,0,882,124,108,245,100,81,79,45,57,36
,Stadskanaal,GR2018_Stadskanaal,Gemeenteraad Stadskanaal 2018,0037,Stadskanaal,2018-03-21,Stembureau Buurtcentrum Maarsstee,0037::SB7,9501 CA,1840,478,0,0,0,0,0,439,39,0,0,0,0,0,478,33,141,61,75,70,19,10,54,15
,Stadskanaal,GR2018_Stadskanaal,Gemeenteraad Stadskanaal 2018,0037,Stadskanaal,2018-03-21,Stembureau Meester Neuteboomschool,0037::SB8,9502 CR,1365,885,1,3,0,0,0,829,61,0,0,1,0,1,890,101,222,174,140,68,43,45,54,38
,Stadskanaal,GR2018_Stadskanaal,Gemeenteraad Stadskanaal 2018,0037,Stadskanaal,2018-03-21,Stembureau Pagedal,0037::SB9,9502 BW,1350,505,5,4,0,0,0,467,47,0,0,0,0,0,514,89,48,69,77,51,78,35,31,27
,Stadskanaal,GR2018_Stadskanaal,Gemeenteraad Stadskanaal 2018,0037,Stadskanaal,2018-03-21,Stembureau OBS De Oleander,0037::SB10,9501 VX,1388,834,3,5,0,0,0,763,79,0,0,0,0,0,842,88,103,119,110,107,104,77,72,54
