contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,DorpsBelangen,Democraten 66 (D66),VVD,PvdA-GroenLinks,O-Lib Onafhankelijk Liberaal,De Lokale Partij,ChristenUnie
,Wijdemeren,GR2018_Wijdemeren,Gemeenteraad Wijdemeren 2018,1696,Wijdemeren,2018-03-21,Stembureau Hervormde Kerk,1696::SB1,1243JG,1706,852,2,3,0,0,0,766,91,0,0,0,0,0,857,143,107,129,119,124,38,162,30
,Wijdemeren,GR2018_Wijdemeren,Gemeenteraad Wijdemeren 2018,1696,Wijdemeren,2018-03-21,Stembureau De Dobber,1696::SB2,1241CZ,1505,1489,14,8,0,1,0,1378,134,0,0,1,0,0,1512,366,280,137,152,199,79,212,64
,Wijdemeren,GR2018_Wijdemeren,Gemeenteraad Wijdemeren 2018,1696,Wijdemeren,2018-03-21,Stembureau Veenstaete,1696::SB4,1241AX,1829,796,5,1,0,0,0,740,62,0,0,0,0,0,802,203,144,59,78,138,28,98,48
,Wijdemeren,GR2018_Wijdemeren,Gemeenteraad Wijdemeren 2018,1696,Wijdemeren,2018-03-21,Stembureau Wapen van Ankeveen,1696::SB5,1244PK,1480,833,2,4,0,1,0,760,80,0,0,1,0,0,840,275,66,73,106,98,31,172,12
,Wijdemeren,GR2018_Wijdemeren,Gemeenteraad Wijdemeren 2018,1696,Wijdemeren,2018-03-21,Stembureau Dirk's Sportcafé,1696::SB6,1241HD,1698,1157,10,2,0,1,0,1051,117,0,1,0,0,0,1168,336,181,117,152,115,41,153,62
,Wijdemeren,GR2018_Wijdemeren,Gemeenteraad Wijdemeren 2018,1696,Wijdemeren,2018-03-21,Stembureau Gemeentehuis,1696::SB7,1231KB,2059,1169,2,2,0,1,0,1057,117,0,0,1,0,0,1174,104,193,127,199,156,32,304,54
,Wijdemeren,GR2018_Wijdemeren,Gemeenteraad Wijdemeren 2018,1696,Wijdemeren,2018-03-21,Stembureau De Emtinckhof,1696::SB8,1231BG,1770,1343,11,3,0,1,0,1233,123,0,1,0,0,0,1356,193,241,126,168,162,19,371,63
,Wijdemeren,GR2018_Wijdemeren,Gemeenteraad Wijdemeren 2018,1696,Wijdemeren,2018-03-21,Stembureau Oude Pastorie,1696::SB10,1231KS,1738,902,2,0,0,2,0,802,100,0,2,0,0,0,902,107,131,70,241,46,12,265,30
,Wijdemeren,GR2018_Wijdemeren,Gemeenteraad Wijdemeren 2018,1696,Wijdemeren,2018-03-21,Stembureau Catamaran,1696::SB11,1231PR,1619,781,5,2,0,2,0,692,94,0,2,0,0,0,786,66,164,82,191,51,22,176,29
,Wijdemeren,GR2018_Wijdemeren,Gemeenteraad Wijdemeren 2018,1696,Wijdemeren,2018-03-21,Stembureau De Kuijer,1696::SB13,1394EK,1664,1244,4,4,0,8,0,1137,107,0,8,0,0,0,1244,189,218,168,187,137,49,262,34
,Wijdemeren,GR2018_Wijdemeren,Gemeenteraad Wijdemeren 2018,1696,Wijdemeren,2018-03-21,Stembureau Kantine VV Nederhorst,1696::SB14,1394JR,1936,995,4,7,0,1,0,899,108,0,0,1,0,0,1007,138,199,151,169,117,53,156,12
