contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Progressief Ermelo,BurgerBelangen Ermelo,ChristenUnie,VVD,Staatkundig Gereformeerde Partij (SGP),Groep Hop,Ermelo-Liberaal
,Ermelo,GR2018_Ermelo,Gemeenteraad Ermelo 2018,0233,Ermelo,2018-03-21,Stembureau Bejaardentehuis De Dillenburg,0233::SB1,3851 PW,1456,902,1,1,0,0,0,817,87,0,0,0,0,0,904,252,131,123,133,147,74,8,34
,Ermelo,GR2018_Ermelo,Gemeenteraad Ermelo 2018,0233,Ermelo,2018-03-21,Stembureau Chr.Ger.Kerk De Voorhof,0233::SB2,3851 XA,1771,1070,2,0,0,0,0,935,138,1,0,1,0,0,1073,197,173,172,139,229,99,11,50
,Ermelo,GR2018_Ermelo,Gemeenteraad Ermelo 2018,0233,Ermelo,2018-03-21,Stembureau Gemeentehuis,0233::SB3,3851 NT,1574,1372,6,4,0,0,0,1265,117,0,0,0,0,0,1382,334,287,185,184,166,133,12,71
,Ermelo,GR2018_Ermelo,Gemeenteraad Ermelo 2018,0233,Ermelo,2018-03-21,Stembureau Rehobothkerk,0233::SB4,3851 LH,1218,981,2,2,0,0,0,908,77,0,0,0,0,0,985,231,163,151,163,85,140,15,33
,Ermelo,GR2018_Ermelo,Gemeenteraad Ermelo 2018,0233,Ermelo,2018-03-21,Stembureau Sporthal Dindoa,0233::SB5,3850 AD,1238,564,2,0,0,0,0,526,39,0,1,0,1,0,565,163,85,81,86,37,79,11,22
,Ermelo,GR2018_Ermelo,Gemeenteraad Ermelo 2018,0233,Ermelo,2018-03-21,Stembureau De Baanveger,0233::SB6,3851 CP,1299,829,1,1,0,1,0,757,73,0,1,0,0,0,830,210,109,144,145,64,106,18,33
,Ermelo,GR2018_Ermelo,Gemeenteraad Ermelo 2018,0233,Ermelo,2018-03-21,Stembureau PCB Koningin Juliana,0233::SB7,3853 VA,1369,861,2,2,0,1,0,787,79,0,0,1,0,0,866,231,192,136,160,49,54,12,27
,Ermelo,GR2018_Ermelo,Gemeenteraad Ermelo 2018,0233,Ermelo,2018-03-21,Stembureau PCB De Klokbeker,0233::SB8,3851 BL,1419,833,3,2,0,0,0,762,76,0,0,0,0,0,838,130,157,135,178,60,131,4,38
,Ermelo,GR2018_Ermelo,Gemeenteraad Ermelo 2018,0233,Ermelo,2018-03-21,Stembureau Het Theehuis 's Heeren Loo,0233::SB9,3853 HM,1362,554,2,3,0,0,0,509,50,0,0,0,0,0,559,134,104,75,84,55,79,4,19
,Ermelo,GR2018_Ermelo,Gemeenteraad Ermelo 2018,0233,Ermelo,2018-03-21,Stembureau Verenigingsgebouw Ons Huis,0233::SB10,3853 LN,1289,820,0,2,0,1,0,719,102,0,1,0,0,0,821,271,69,76,100,76,200,14,14
,Ermelo,GR2018_Ermelo,Gemeenteraad Ermelo 2018,0233,Ermelo,2018-03-21,Stembureau RK Kerk,0233::SB11,3852 XB,1736,991,10,4,0,0,0,927,81,3,0,3,0,0,1008,211,170,179,152,159,78,5,37
,Ermelo,GR2018_Ermelo,Gemeenteraad Ermelo 2018,0233,Ermelo,2018-03-21,Stembureau OBS De Arendshorst,0233::SB12,3853 CA,928,736,0,1,0,0,0,669,68,0,0,0,0,0,737,156,174,104,162,56,43,5,36
,Ermelo,GR2018_Ermelo,Gemeenteraad Ermelo 2018,0233,Ermelo,2018-03-21,Stembureau Sporthal Triade,0233::SB13,3852 ZX,1513,1189,3,0,0,3,0,1050,139,0,3,0,0,0,1189,291,214,200,178,160,85,12,49
,Ermelo,GR2018_Ermelo,Gemeenteraad Ermelo 2018,0233,Ermelo,2018-03-21,Stembureau SmdB Speulderbrink,0233::SB14,3852 NH,564,382,1,0,0,0,0,338,45,0,0,0,0,0,383,65,29,21,53,33,169,2,10
,Ermelo,GR2018_Ermelo,Gemeenteraad Ermelo 2018,0233,Ermelo,2018-03-21,Stembureau Westerkerk,0233::SB15,3853 JS,1560,999,3,2,0,0,0,909,95,0,0,0,0,0,1004,258,225,130,188,80,72,12,34
,Ermelo,GR2018_Ermelo,Gemeenteraad Ermelo 2018,0233,Ermelo,2018-03-21,Stembureau Henriëtte van Heemstrahuis,0233::SB16,3851 WB,1107,564,4,0,0,0,0,532,36,0,0,0,0,0,568,128,113,94,94,48,62,6,19
