contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Gemeentebelangen Drechterland,Progressief Drechterland,Senioren Partij Drechterland
,Drechterland,GR2018_Drechterland,Gemeenteraad Drechterland 2018,0498,Drechterland,2018-03-21,Stembureau Gemeentehuis Hoogkarspel,0498::SB1,1616 AV,1570,1251,13,4,0,0,0,1183,85,0,0,0,0,0,1268,457,191,178,267,158
,Drechterland,GR2018_Drechterland,Gemeenteraad Drechterland 2018,0498,Drechterland,2018-03-21,Stembureau Het Reigersnest,0498::SB2,1616 HB,2013,911,6,3,0,0,0,845,75,0,0,0,0,0,920,320,203,140,168,80
,Drechterland,GR2018_Drechterland,Gemeenteraad Drechterland 2018,0498,Drechterland,2018-03-21,Stembureau Water en Vuurhuis,0498::SB3,1616 CB,1286,692,0,1,0,0,0,647,46,0,0,0,0,0,693,255,73,117,142,105
,Drechterland,GR2018_Drechterland,Gemeenteraad Drechterland 2018,0498,Drechterland,2018-03-21,Stembureau Dorpshuis De Schalm,0498::SB4,1617 KC,1532,820,7,2,0,0,0,765,64,0,0,0,0,0,829,343,138,129,92,118
,Drechterland,GR2018_Drechterland,Gemeenteraad Drechterland 2018,0498,Drechterland,2018-03-21,Stembureau Cultureel Centrum Pancratius,0498::SB5,1696 BK,1220,598,3,5,0,0,0,524,82,0,0,0,0,0,606,173,157,86,70,112
,Drechterland,GR2018_Drechterland,Gemeenteraad Drechterland 2018,0498,Drechterland,2018-03-21,Stembureau Woonzorgcentrum Bosmanstaete,0498::SB6,1606 BP,1645,587,4,2,0,0,0,549,44,0,0,0,0,0,593,222,114,117,52,82
,Drechterland,GR2018_Drechterland,Gemeenteraad Drechterland 2018,0498,Drechterland,2018-03-21,Stembureau Ned. Hervormde Kerk (de Triangel),0498::SB7,1606 AP,1692,959,4,3,0,0,0,900,66,0,0,0,0,0,966,190,260,229,138,142
,Drechterland,GR2018_Drechterland,Gemeenteraad Drechterland 2018,0498,Drechterland,2018-03-21,Stembureau Dorpshuis Het Centrum,0498::SB8,1606 BW,1262,889,7,1,0,0,0,819,78,0,0,0,0,0,897,248,274,161,110,96
,Drechterland,GR2018_Drechterland,Gemeenteraad Drechterland 2018,0498,Drechterland,2018-03-21,Stembureau Dorpshuis De Wiekslag,0498::SB9,1608 EC,1167,677,4,4,0,0,0,618,67,0,0,0,0,0,685,173,165,110,128,101
,Drechterland,GR2018_Drechterland,Gemeenteraad Drechterland 2018,0498,Drechterland,2018-03-21,Stembureau Dorpshuis De Dregt,0498::SB10,1697 KG,710,396,6,2,0,0,0,368,36,0,0,0,0,0,404,118,68,52,91,67
,Drechterland,GR2018_Drechterland,Gemeenteraad Drechterland 2018,0498,Drechterland,2018-03-21,Stembureau Loods 2,0498::SB11,1616 RT,1263,656,1,0,0,0,0,589,68,0,0,0,0,0,657,265,113,71,117,90
,Drechterland,GR2018_Drechterland,Gemeenteraad Drechterland 2018,0498,Drechterland,2018-03-21,Stembureau Mobiele stembus,0498::SB12,1606 CZ,0,247,1,2,0,0,0,227,23,0,0,0,0,0,250,71,40,44,56,36
