contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Staatkundig Gereformeerde Partij (SGP),Leefbaar Krimpen,Stem van Krimpen,CDA,VVD,Partij van de Arbeid (P.v.d.A.),ChristenUnie,Democraten 66 (D66),GROENLINKS
,Krimpen aan den IJssel,GR2018_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2018,0542,Krimpen aan den IJssel,2018-03-21,Stembureau Raadhuis Krimpen aan den IJssel,0542::SB1,2922 AD,1415,1352,2,0,0,0,0,1183,175,4,0,0,0,0,1358,398,263,222,95,90,91,90,63,40
,Krimpen aan den IJssel,GR2018_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2018,0542,Krimpen aan den IJssel,2018-03-21,Stembureau Basisschool Het Kompas,0542::SB2,2921 XH,1436,811,4,1,0,0,0,718,98,0,0,0,0,0,816,260,175,145,40,46,22,57,25,41
,Krimpen aan den IJssel,GR2018_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2018,0542,Krimpen aan den IJssel,2018-03-21,Stembureau Obs Kortland,0542::SB3,2926 PT,1254,251,0,5,0,0,0,223,33,0,0,0,0,0,256,32,47,81,15,23,15,12,17,9
,Krimpen aan den IJssel,GR2018_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2018,0542,Krimpen aan den IJssel,2018-03-21,Stembureau Dorpsplein Het Facet,0542::SB4,2922 GN,1107,825,1,1,0,0,0,712,115,0,0,0,0,0,827,258,135,180,63,53,28,55,32,21
,Krimpen aan den IJssel,GR2018_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2018,0542,Krimpen aan den IJssel,2018-03-21,Stembureau Immanuelkerk,0542::SB5,2924 VB,1144,393,2,0,0,0,0,352,43,0,0,0,0,0,395,48,83,81,42,30,18,54,22,15
,Krimpen aan den IJssel,GR2018_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2018,0542,Krimpen aan den IJssel,2018-03-21,Stembureau Sociëteit Gouden Regen,0542::SB6,2923 EK,1257,724,2,4,0,0,0,660,70,0,0,0,0,0,730,168,154,148,49,49,35,65,25,31
,Krimpen aan den IJssel,GR2018_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2018,0542,Krimpen aan den IJssel,2018-03-21,Stembureau Wijkcentrum De Sperwer,0542::SB7,2926 TA,1385,1233,0,3,0,0,0,1085,151,0,0,0,0,0,1236,186,252,374,99,130,50,83,24,35
,Krimpen aan den IJssel,GR2018_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2018,0542,Krimpen aan den IJssel,2018-03-21,Stembureau Basisschool Het Mozaïek,0542::SB8,2925 BX,1098,936,1,2,0,0,0,857,82,0,0,0,0,0,939,152,175,188,69,84,73,139,34,22
,Krimpen aan den IJssel,GR2018_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2018,0542,Krimpen aan den IJssel,2018-03-21,Stembureau BS De Groeiplaneet/loc. Wielerbaan,0542::SB9,2924 XP,1376,676,4,1,0,0,0,620,61,0,0,0,0,0,681,97,150,140,49,77,43,50,42,28
,Krimpen aan den IJssel,GR2018_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2018,0542,Krimpen aan den IJssel,2018-03-21,Stembureau Zorgcentrum Crimpenersteyn,0542::SB10,2924 BC,1230,872,4,4,0,0,0,782,98,0,0,0,0,0,880,124,212,232,69,70,47,43,26,49
,Krimpen aan den IJssel,GR2018_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2018,0542,Krimpen aan den IJssel,2018-03-21,Stembureau BS De Groeiplaneet/locatie De Berk,0542::SB11,2925 CB,1248,862,4,2,0,0,0,763,105,0,0,0,0,0,868,96,216,218,56,100,43,53,46,34
,Krimpen aan den IJssel,GR2018_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2018,0542,Krimpen aan den IJssel,2018-03-21,Stembureau Sportzaal De Populier,0542::SB12,2925 CP,1475,794,1,7,0,0,0,743,59,0,0,0,0,0,802,96,213,173,69,77,51,39,50,26
,Krimpen aan den IJssel,GR2018_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2018,0542,Krimpen aan den IJssel,2018-03-21,Stembureau Comenius College,0542::SB13,2922 BA,1340,799,0,2,0,0,0,699,102,0,0,0,0,0,801,368,96,106,55,47,29,42,28,28
,Krimpen aan den IJssel,GR2018_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2018,0542,Krimpen aan den IJssel,2018-03-21,Stembureau Basisschool De Wegwijzer,0542::SB14,2925 EZ,1387,857,2,1,0,0,0,791,69,0,0,0,0,0,860,70,262,206,74,66,50,69,21,39
,Krimpen aan den IJssel,GR2018_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2018,0542,Krimpen aan den IJssel,2018-03-21,Stembureau Gezondheidscentrum Krimpen,0542::SB15,2922 CJ,1293,1382,3,1,0,0,0,1223,163,0,0,0,0,0,1386,332,229,279,122,126,69,106,62,57
