contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),VVD,CDA,GROENLINKS,Partij van de Arbeid (P.v.d.A.),De Lokale Partij Leiderdorp (LPL),ChristenUnie-SGP
,Leiderdorp,GR2018_Leiderdorp,Gemeenteraad Leiderdorp 2018,0547,Leiderdorp,2018-03-21,Stembureau Gemeentehuis,0547::SB1,2351 DZ,2107,1201,5,8,0,1,0,1075,141,1,0,2,0,0,1216,217,333,148,139,148,187,29
,Leiderdorp,GR2018_Leiderdorp,Gemeenteraad Leiderdorp 2018,0547,Leiderdorp,2018-03-21,Stembureau Gebouw Irene,0547::SB2,2351 AM,2329,1597,8,5,0,6,0,1457,159,0,0,6,0,0,1616,265,357,208,185,231,268,83
,Leiderdorp,GR2018_Leiderdorp,Gemeenteraad Leiderdorp 2018,0547,Leiderdorp,2018-03-21,Stembureau Winkelcentrum Winkelhof,0547::SB3,2353 TV,2107,1306,8,5,0,1,0,1205,113,0,1,0,0,0,1318,182,234,162,151,165,344,68
,Leiderdorp,GR2018_Leiderdorp,Gemeenteraad Leiderdorp 2018,0547,Leiderdorp,2018-03-21,Stembureau Bibliotheek BC+,0547::SB4,2352 KA,2234,1794,12,14,0,0,0,1645,176,1,0,1,0,0,1821,275,322,215,290,235,341,116
,Leiderdorp,GR2018_Leiderdorp,Gemeenteraad Leiderdorp 2018,0547,Leiderdorp,2018-03-21,Stembureau Zijlkwartier,0547::SB5,2352 RA,2460,1086,6,9,0,1,0,1007,93,0,1,0,0,0,1100,209,167,129,186,125,191,79
,Leiderdorp,GR2018_Leiderdorp,Gemeenteraad Leiderdorp 2018,0547,Leiderdorp,2018-03-21,Stembureau Basisschool De Hobbit,0547::SB6,2353 WB,2463,1331,6,6,0,2,0,1207,134,0,2,0,0,0,1341,205,238,137,164,210,315,62
,Leiderdorp,GR2018_Leiderdorp,Gemeenteraad Leiderdorp 2018,0547,Leiderdorp,2018-03-21,Stembureau De Ommedijk,0547::SB7,2353 GP,2248,1304,13,12,0,0,0,1214,117,2,0,2,0,0,1331,197,220,195,144,194,294,60
,Leiderdorp,GR2018_Leiderdorp,Gemeenteraad Leiderdorp 2018,0547,Leiderdorp,2018-03-21,Stembureau Basisschool De Schakel,0547::SB8,2353 BX,1766,1037,4,3,0,4,0,943,97,0,4,0,0,0,1040,174,178,183,137,128,163,74
,Leiderdorp,GR2018_Leiderdorp,Gemeenteraad Leiderdorp 2018,0547,Leiderdorp,2018-03-21,Stembureau Montessorischool Elckerlyc,0547::SB9,2353 PA,1735,976,3,7,0,0,0,905,81,0,0,0,0,0,986,130,139,143,148,174,196,46
,Leiderdorp,GR2018_Leiderdorp,Gemeenteraad Leiderdorp 2018,0547,Leiderdorp,2018-03-21,Stembureau Korfbalvereniging Velocitas,0547::SB10,2353 BZ,2044,995,3,1,0,2,0,889,112,0,0,2,0,0,1001,144,221,102,103,120,268,37
