contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,GemeenteBelangen Veendam (GB),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VUK,CDA,VVD,Democraten 66 (D66),ChristenUnie,GROENLINKS
,Veendam,GR2018_Veendam,Gemeenteraad Veendam 2018,0047,Veendam,2018-03-21,Stembureau Gemeentehuis,0047::SB1,9641 AW,1242,867,4,1,0,2,0,794,80,0,0,2,0,0,874,302,184,86,71,59,64,40,38,23
,Veendam,GR2018_Veendam,Gemeenteraad Veendam 2018,0047,Veendam,2018-03-21,Stembureau Cultuurcentrum van Beresteyn,0047::SB2,9641 AD,1459,938,8,2,0,1,0,868,79,0,1,0,0,0,947,249,190,138,81,65,62,55,49,49
,Veendam,GR2018_Veendam,Gemeenteraad Veendam 2018,0047,Veendam,2018-03-21,Stembureau Waterschap Hunze en Aa's,0047::SB3,9641 PJ,1177,405,4,2,0,0,0,383,28,0,0,0,0,0,411,128,61,58,21,35,40,25,21,16
,Veendam,GR2018_Veendam,Gemeenteraad Veendam 2018,0047,Veendam,2018-03-21,Stembureau Huize St Franciscus,0047::SB4,9641 LW,1222,620,2,0,0,0,0,571,51,0,0,0,0,0,622,171,123,90,49,37,63,25,33,29
,Veendam,GR2018_Veendam,Gemeenteraad Veendam 2018,0047,Veendam,2018-03-21,Stembureau Woonzorgcentrum A.G. Wildervanck,0047::SB5,9642 LN,1352,593,5,2,0,0,0,541,59,0,0,0,0,0,600,166,131,72,58,43,62,19,12,30
,Veendam,GR2018_Veendam,Gemeenteraad Veendam 2018,0047,Veendam,2018-03-21,Stembureau Woonzorgcentrum Veenkade,0047::SB6,9642 AP,859,455,0,0,0,1,0,425,29,0,1,0,0,0,454,138,82,65,37,49,27,26,17,14
,Veendam,GR2018_Veendam,Gemeenteraad Veendam 2018,0047,Veendam,2018-03-21,Stembureau Zorglokatie Meander: De Breehorn,0047::SB7,9641 LK,1164,507,2,3,0,0,0,470,42,0,0,0,0,0,512,114,107,90,47,38,19,26,43,23
,Veendam,GR2018_Veendam,Gemeenteraad Veendam 2018,0047,Veendam,2018-03-21,Stembureau Wijkcentrum Dukdalf,0047::SB8,9642 MA,1736,1025,3,1,0,0,0,971,58,0,0,0,0,0,1029,286,242,153,68,71,53,53,51,48
,Veendam,GR2018_Veendam,Gemeenteraad Veendam 2018,0047,Veendam,2018-03-21,Stembureau O.B.S. de Viermaster,0047::SB9,9642 KX,1196,633,0,1,0,0,0,579,50,0,5,0,5,0,629,196,121,101,42,47,45,29,33,19
,Veendam,GR2018_Veendam,Gemeenteraad Veendam 2018,0047,Veendam,2018-03-21,Stembureau Woon en zorgcentrum Westerhave,0047::SB10,9648 BE,1553,795,4,2,0,0,0,734,66,0,1,0,1,0,800,266,86,113,78,64,95,46,22,25
,Veendam,GR2018_Veendam,Gemeenteraad Veendam 2018,0047,Veendam,2018-03-21,Stembureau Bijleveldcentrum,0047::SB11,9648 CM,1256,673,5,0,0,0,0,617,61,0,0,0,0,0,678,196,80,90,113,63,31,28,37,35
,Veendam,GR2018_Veendam,Gemeenteraad Veendam 2018,0047,Veendam,2018-03-21,Stembureau O.B.S. de Sleutel,0047::SB12,9648 KK,1361,552,1,1,0,0,0,493,60,0,1,0,1,0,553,154,57,92,99,42,27,19,30,32
,Veendam,GR2018_Veendam,Gemeenteraad Veendam 2018,0047,Veendam,2018-03-21,Stembureau Dorpshuis de Molenwiek,0047::SB13,9644 VL,1341,646,4,1,0,0,0,595,56,0,0,0,0,0,651,158,105,113,103,51,55,17,17,27
,Veendam,GR2018_Veendam,Gemeenteraad Veendam 2018,0047,Veendam,2018-03-21,Stembureau Woonzorgcomplex De Meridiaan,0047::SB14,9645 HC,2287,1039,2,1,0,0,0,938,104,0,0,0,0,0,1042,254,259,186,121,59,52,34,43,31
,Veendam,GR2018_Veendam,Gemeenteraad Veendam 2018,0047,Veendam,2018-03-21,Stembureau Buurthuis Noord-West,0047::SB15,9645 BC,1003,348,0,0,0,0,0,314,33,0,1,0,1,0,347,73,81,74,43,22,18,5,17,15
,Veendam,GR2018_Veendam,Gemeenteraad Veendam 2018,0047,Veendam,2018-03-21,Stembureau O.S.G. Winkler Prins,0047::SB16,9646 AA,1558,967,0,3,0,0,0,897,73,0,0,0,0,0,970,383,168,83,40,81,84,72,27,29
,Veendam,GR2018_Veendam,Gemeenteraad Veendam 2018,0047,Veendam,2018-03-21,Stembureau Kantine VV Borgercompagnie,0047::SB17,9631 TN,368,244,1,1,0,0,0,229,17,0,0,0,0,0,246,47,26,55,35,19,30,11,12,9
