contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,PRO Kaag en Braassem,Samen voor Kaag & Braassem,CDA,Democraten 66 (D66),VVD
,Kaag en Braassem,GR2018_KaagenBraassem,Gemeenteraad Kaag en Braassem 2018,1884,Kaag en Braassem,2018-03-21,Stembureau Arendshorst,1884::SB1,,1767,1113,8,5,0,0,0,1033,93,0,0,0,0,0,1126,243,378,155,165,172
,Kaag en Braassem,GR2018_KaagenBraassem,Gemeenteraad Kaag en Braassem 2018,1884,Kaag en Braassem,2018-03-21,Stembureau Bonaventuracollege,1884::SB2,,1728,905,6,3,0,0,0,850,64,0,0,0,0,0,914,201,308,102,172,122
,Kaag en Braassem,GR2018_KaagenBraassem,Gemeenteraad Kaag en Braassem 2018,1884,Kaag en Braassem,2018-03-21,Stembureau Gogherweide,1884::SB3,,1893,1022,4,4,0,0,2,959,70,1,0,1,0,0,1031,226,388,111,224,73
,Kaag en Braassem,GR2018_KaagenBraassem,Gemeenteraad Kaag en Braassem 2018,1884,Kaag en Braassem,2018-03-21,"Stembureau Clubgebouw""Door Gunst Verkregen""",1884::SB4,,555,243,0,5,0,0,0,230,18,0,0,0,0,0,248,38,89,47,41,28
,Kaag en Braassem,GR2018_KaagenBraassem,Gemeenteraad Kaag en Braassem 2018,1884,Kaag en Braassem,2018-03-21,Stembureau Brandweerkazerne Hertogspark,1884::SB5,,1854,1074,10,3,0,0,0,1034,53,0,0,0,0,0,1087,507,151,203,109,104
,Kaag en Braassem,GR2018_KaagenBraassem,Gemeenteraad Kaag en Braassem 2018,1884,Kaag en Braassem,2018-03-21,Stembureau Prot. Gemeente Kaag,1884::SB7,,395,233,0,2,0,0,0,202,33,0,0,0,0,0,235,35,22,34,47,95
,Kaag en Braassem,GR2018_KaagenBraassem,Gemeenteraad Kaag en Braassem 2018,1884,Kaag en Braassem,2018-03-21,Stembureau De Roelevaer,1884::SB8,,1436,877,4,3,0,1,0,810,73,0,1,0,0,0,883,236,294,128,138,81
,Kaag en Braassem,GR2018_KaagenBraassem,Gemeenteraad Kaag en Braassem 2018,1884,Kaag en Braassem,2018-03-21,Stembureau Huize Jacobus,1884::SB9,,1454,543,4,3,0,0,0,515,35,0,0,0,0,0,550,135,168,106,89,45
,Kaag en Braassem,GR2018_KaagenBraassem,Gemeenteraad Kaag en Braassem 2018,1884,Kaag en Braassem,2018-03-21,Stembureau Schoolhuis,1884::SB10,,998,579,6,2,0,0,0,533,54,0,0,0,0,0,587,175,82,143,96,83
,Kaag en Braassem,GR2018_KaagenBraassem,Gemeenteraad Kaag en Braassem 2018,1884,Kaag en Braassem,2018-03-21,Stembureau Het Spant,1884::SB11,,1859,1036,14,6,0,0,0,967,89,0,0,0,0,0,1056,399,201,245,96,95
,Kaag en Braassem,GR2018_KaagenBraassem,Gemeenteraad Kaag en Braassem 2018,1884,Kaag en Braassem,2018-03-21,Stembureau De Ontmoeting,1884::SB12,,1876,1026,16,7,0,5,0,930,124,0,0,5,0,0,1054,276,188,330,97,135
,Kaag en Braassem,GR2018_KaagenBraassem,Gemeenteraad Kaag en Braassem 2018,1884,Kaag en Braassem,2018-03-21,Stembureau Gebouw Die Twee,1884::SB13,,1488,786,9,4,0,0,0,744,55,0,0,0,0,0,799,163,241,166,135,81
,Kaag en Braassem,GR2018_KaagenBraassem,Gemeenteraad Kaag en Braassem 2018,1884,Kaag en Braassem,2018-03-21,Stembureau Gebouw Immanuel,1884::SB14,,1372,809,13,9,0,0,0,735,96,0,0,0,0,0,831,92,238,248,115,116
,Kaag en Braassem,GR2018_KaagenBraassem,Gemeenteraad Kaag en Braassem 2018,1884,Kaag en Braassem,2018-03-21,Stembureau Gebouw De Drieluik,1884::SB15,,1384,830,4,0,0,0,0,757,77,0,0,0,0,0,834,295,148,252,75,60
,Kaag en Braassem,GR2018_KaagenBraassem,Gemeenteraad Kaag en Braassem 2018,1884,Kaag en Braassem,2018-03-21,Stembureau Gemeentehuis,1884::SB16,,1199,947,3,5,0,0,0,860,95,0,0,0,0,0,955,213,280,113,205,136
