contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,GEMEENTE BELANGEN KOGGENLAND,Welzijn Koggenland,Partij van de Arbeid - GROENLINKS,OK(é) Partij,Progressief Koggenland (PK)
,Koggenland,GR2018_Koggenland,Gemeenteraad Koggenland 2018,1598,Koggenland,2018-03-21,Stembureau Gemeentehuis De Goorn,1598::SB1,1648 JG,1918,1197,6,3,0,0,0,1128,78,0,0,0,0,0,1206,343,389,124,135,119,49,38
,Koggenland,GR2018_Koggenland,Gemeenteraad Koggenland 2018,1598,Koggenland,2018-03-21,Stembureau Oeverland Spierdijk,1598::SB2,1641 LA,1357,769,3,4,0,0,0,699,77,0,0,0,0,0,776,274,187,76,68,102,37,25
,Koggenland,GR2018_Koggenland,Gemeenteraad Koggenland 2018,1598,Koggenland,2018-03-21,Stembureau Café De Ridder,1598::SB3,1647 ME,1805,1108,7,4,0,0,0,1016,104,1,0,1,0,0,1120,186,394,104,41,270,70,43
,Koggenland,GR2018_Koggenland,Gemeenteraad Koggenland 2018,1598,Koggenland,2018-03-21,Stembureau Batter,1598::SB4,1645 PN,1186,665,1,1,0,1,0,609,57,0,1,0,0,0,666,225,162,62,99,97,6,14
,Koggenland,GR2018_Koggenland,Gemeenteraad Koggenland 2018,1598,Koggenland,2018-03-21,"Stembureau Dorpshuis, Zuidermeer",1598::SB5,1652 CV,499,320,0,2,0,0,0,289,33,0,0,0,0,0,322,112,102,33,11,38,9,15
,Koggenland,GR2018_Koggenland,Gemeenteraad Koggenland 2018,1598,Koggenland,2018-03-21,Stembureau obs De Ieveling Avenhorn,1598::SB6,1633 HE,1864,918,4,2,0,1,0,838,87,0,0,1,0,0,925,205,277,125,90,141,52,28
,Koggenland,GR2018_Koggenland,Gemeenteraad Koggenland 2018,1598,Koggenland,2018-03-21,Stembureau Meerzicht Scharwoude,1598::SB7,1634 EE,581,353,0,12,0,1,0,331,33,0,1,0,0,0,364,46,69,43,38,69,23,65
,Koggenland,GR2018_Koggenland,Gemeenteraad Koggenland 2018,1598,Koggenland,2018-03-21,Stembureau NH.Kerk Oudendijk,1598::SB8,1631 DE,371,243,0,2,0,0,0,229,16,0,0,0,0,0,245,15,74,45,16,58,29,6
,Koggenland,GR2018_Koggenland,Gemeenteraad Koggenland 2018,1598,Koggenland,2018-03-21,Stembureau Raadhuis,1598::SB9,1648 JG,1312,770,2,2,0,1,0,701,72,0,1,0,0,0,773,225,255,80,90,77,18,25
,Koggenland,GR2018_Koggenland,Gemeenteraad Koggenland 2018,1598,Koggenland,2018-03-21,Stembureau de Caegh,1598::SB11,1713 BM,1987,710,2,1,0,0,0,646,67,0,0,0,0,0,713,163,242,162,44,72,10,17
,Koggenland,GR2018_Koggenland,Gemeenteraad Koggenland 2018,1598,Koggenland,2018-03-21,Stembureau obs De Kelderswerf,1598::SB12,1713 VC,1235,813,6,1,0,0,0,818,2,0,0,0,0,0,820,133,153,258,78,112,37,42
,Koggenland,GR2018_Koggenland,Gemeenteraad Koggenland 2018,1598,Koggenland,2018-03-21,Stembureau Dorpshuis de Oude School,1598::SB13,1711 RK,1310,674,0,1,0,0,0,633,42,0,0,0,0,0,675,174,162,167,54,69,33,15
,Koggenland,GR2018_Koggenland,Gemeenteraad Koggenland 2018,1598,Koggenland,2018-03-21,Stembureau Batter/School,1598::SB16,1645 PN,1031,616,1,6,0,0,0,569,54,0,0,0,0,0,623,215,138,58,86,92,17,10
,Koggenland,GR2018_Koggenland,Gemeenteraad Koggenland 2018,1598,Koggenland,2018-03-21,Stembureau Dorpshuis De Brink,1598::SB18,1713 HE,1319,1076,5,5,0,0,0,1006,80,0,0,0,0,0,1086,356,215,239,73,129,42,22
,Koggenland,GR2018_Koggenland,Gemeenteraad Koggenland 2018,1598,Koggenland,2018-03-21,Stembureau Mobiel Stembureau,1598::SB19,1633 ZG,0,149,2,1,1,0,0,146,5,0,1,0,0,0,151,79,13,14,17,16,6,4
