contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,EVB (Echt voor Barendrecht),CDA,VVD,SGP-ChristenUnie,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS
,Barendrecht,GR2018_Barendrecht,Gemeenteraad Barendrecht 2018,0489,Barendrecht,2018-03-21,Stembureau 01 Gemeentehuis,0489::SB1,2991 AA,1190,742,3,3,0,0,0,670,79,1,0,1,0,0,749,317,94,84,88,37,54,68
,Barendrecht,GR2018_Barendrecht,Gemeenteraad Barendrecht 2018,0489,Barendrecht,2018-03-21,Stembureau 02 Triomfatorkerk,0489::SB2,2991 CH,1839,1335,0,2,0,2,0,1209,130,0,0,2,0,0,1339,473,220,156,199,75,75,137
,Barendrecht,GR2018_Barendrecht,Gemeenteraad Barendrecht 2018,0489,Barendrecht,2018-03-21,Stembureau 03 trouwzaal De Watertoren,0489::SB3,2992 BE,1083,806,1,1,0,0,0,736,72,0,0,0,0,0,808,293,155,63,163,36,38,58
,Barendrecht,GR2018_Barendrecht,Gemeenteraad Barendrecht 2018,0489,Barendrecht,2018-03-21,Stembureau 04 Café 't Schaapje,0489::SB4,2993 BG,1370,653,7,3,0,0,0,586,77,0,0,0,0,0,663,307,87,80,36,42,58,43
,Barendrecht,GR2018_Barendrecht,Gemeenteraad Barendrecht 2018,0489,Barendrecht,2018-03-21,Stembureau 05 basisschool De Draaimolen,0489::SB5,2992 DN,2188,1231,5,2,0,0,0,1116,122,0,0,0,0,0,1238,573,163,98,172,63,72,90
,Barendrecht,GR2018_Barendrecht,Gemeenteraad Barendrecht 2018,0489,Barendrecht,2018-03-21,Stembureau 07 Immanuelkerk,0489::SB7,2992 GG,1479,1025,5,1,0,1,0,902,130,0,0,1,0,0,1032,431,136,99,205,57,52,45
,Barendrecht,GR2018_Barendrecht,Gemeenteraad Barendrecht 2018,0489,Barendrecht,2018-03-21,Stembureau 08 Woonzorgcentrum Borgstede,0489::SB8,2991 HP,1421,776,8,5,0,0,0,727,62,0,0,0,0,0,789,341,114,56,113,29,75,48
,Barendrecht,GR2018_Barendrecht,Gemeenteraad Barendrecht 2018,0489,Barendrecht,2018-03-21,Stembureau 09 Theater het Kruispunt,0489::SB9,2991 CS,1539,687,1,1,0,0,0,612,77,0,0,0,0,0,689,298,76,48,145,34,48,38
,Barendrecht,GR2018_Barendrecht,Gemeenteraad Barendrecht 2018,0489,Barendrecht,2018-03-21,Stembureau 10 gebouw De Baerne,0489::SB10,2991 GA,1322,932,4,6,0,0,0,836,106,0,0,0,0,0,942,384,137,88,157,35,60,71
,Barendrecht,GR2018_Barendrecht,Gemeenteraad Barendrecht 2018,0489,Barendrecht,2018-03-21,Stembureau 11 Basisschool De Tweemaster,0489::SB11,2991 JN,1201,849,1,3,0,0,0,778,75,0,0,0,0,0,853,372,118,77,89,58,62,73
,Barendrecht,GR2018_Barendrecht,Gemeenteraad Barendrecht 2018,0489,Barendrecht,2018-03-21,Stembureau 12 Recreatieruimte De Boeg,0489::SB12,2991 DL,1320,727,4,3,0,0,0,661,73,0,0,0,0,0,734,332,139,44,70,29,46,67
,Barendrecht,GR2018_Barendrecht,Gemeenteraad Barendrecht 2018,0489,Barendrecht,2018-03-21,Stembureau 13 Dependance De Draaimolen,0489::SB13,2992 GK,1892,830,4,2,0,2,0,754,84,0,0,2,0,0,838,377,84,117,60,51,102,39
,Barendrecht,GR2018_Barendrecht,Gemeenteraad Barendrecht 2018,0489,Barendrecht,2018-03-21,Stembureau 14 Eben Haezerkerk (bibliotheek),0489::SB14,2992 AM,1719,1190,4,2,0,3,0,1068,125,0,3,0,0,0,1193,510,136,132,243,57,67,45
,Barendrecht,GR2018_Barendrecht,Gemeenteraad Barendrecht 2018,0489,Barendrecht,2018-03-21,Stembureau 15 R.K. basisschool De Trinoom,0489::SB15,2993 GG,2028,975,4,6,0,0,0,856,129,0,0,0,0,0,985,449,82,169,48,62,112,53
,Barendrecht,GR2018_Barendrecht,Gemeenteraad Barendrecht 2018,0489,Barendrecht,2018-03-21,Stembureau 16 VoorzieningenclusterWaterpoort,0489::SB16,2993 DL,1604,812,7,2,0,0,0,719,102,0,0,0,0,0,821,441,70,86,56,29,87,43
,Barendrecht,GR2018_Barendrecht,Gemeenteraad Barendrecht 2018,0489,Barendrecht,2018-03-21,Stembureau 17 Voorzieningencluster Waterpoort 2,0489::SB17,2993 DL,1648,828,3,1,0,4,0,715,121,0,0,4,0,0,836,426,75,98,36,56,84,53
,Barendrecht,GR2018_Barendrecht,Gemeenteraad Barendrecht 2018,0489,Barendrecht,2018-03-21,Stembureau 18 P.C. Basisschool Smitshoek,0489::SB18,2993 XJ,1130,717,2,1,0,0,0,633,87,0,0,0,0,0,720,289,70,135,44,72,65,42
