contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SP (Socialistische Partij),VVD,Democraten 66 (D66),Protestant-Christelijke Groepering (PCG),GROENLINKS,CDA,WijkNU,Partij van de Arbeid (P.v.d.A.)
,Wijk bij Duurstede,GR2018_WijkbijDuurstede,Gemeenteraad Wijk bij Duurstede 2018,0352,Wijk bij Duurstede,2018-03-21,Stembureau Het Gemeentehuis,0352::SB1,,1919,1833,9,4,0,0,0,1648,198,0,0,0,0,0,1846,260,344,144,118,492,142,256,77
,Wijk bij Duurstede,GR2018_WijkbijDuurstede,Gemeenteraad Wijk bij Duurstede 2018,0352,Wijk bij Duurstede,2018-03-21,Stembureau E en E Gasthuis,0352::SB2,,1568,712,3,2,0,0,0,642,75,0,0,0,0,0,717,161,87,44,66,140,95,93,26
,Wijk bij Duurstede,GR2018_WijkbijDuurstede,Gemeenteraad Wijk bij Duurstede 2018,0352,Wijk bij Duurstede,2018-03-21,Stembureau Basisschool De Werkschuit,0352::SB3,,1795,1142,4,2,0,1,0,1044,105,0,0,1,0,0,1149,182,196,92,86,234,93,192,67
,Wijk bij Duurstede,GR2018_WijkbijDuurstede,Gemeenteraad Wijk bij Duurstede 2018,0352,Wijk bij Duurstede,2018-03-21,Stembureau Revius Lyceum,0352::SB4,,2574,1360,1,1,0,0,0,1212,150,0,0,0,0,0,1362,156,360,159,97,173,137,231,47
,Wijk bij Duurstede,GR2018_WijkbijDuurstede,Gemeenteraad Wijk bij Duurstede 2018,0352,Wijk bij Duurstede,2018-03-21,Stembureau Basisschool De Wegwijzer,0352::SB5,,2073,1112,3,0,0,1,0,1020,94,0,1,0,0,0,1114,176,199,93,97,190,108,198,51
,Wijk bij Duurstede,GR2018_WijkbijDuurstede,Gemeenteraad Wijk bij Duurstede 2018,0352,Wijk bij Duurstede,2018-03-21,Stembureau Basisschool De Horn,0352::SB6,,1517,648,4,5,0,0,0,592,65,0,0,0,0,0,657,113,133,64,31,112,37,133,25
,Wijk bij Duurstede,GR2018_WijkbijDuurstede,Gemeenteraad Wijk bij Duurstede 2018,0352,Wijk bij Duurstede,2018-03-21,Stembureau Brede school Het Anker,0352::SB7,,1447,847,1,3,0,2,0,770,79,0,2,0,0,0,849,146,167,84,66,122,61,161,40
,Wijk bij Duurstede,GR2018_WijkbijDuurstede,Gemeenteraad Wijk bij Duurstede 2018,0352,Wijk bij Duurstede,2018-03-21,Stembureau Basisschool De Regenboog,0352::SB8,,1481,1090,2,1,0,0,0,983,110,0,0,0,0,0,1093,197,221,90,111,119,100,212,40
,Wijk bij Duurstede,GR2018_WijkbijDuurstede,Gemeenteraad Wijk bij Duurstede 2018,0352,Wijk bij Duurstede,2018-03-21,Stembureau 't Dorpshuys van Cothen,0352::SB11,,2522,1520,4,2,0,0,0,1360,166,0,0,0,0,0,1526,185,319,95,257,164,251,206,43
,Wijk bij Duurstede,GR2018_WijkbijDuurstede,Gemeenteraad Wijk bij Duurstede 2018,0352,Wijk bij Duurstede,2018-03-21,Stembureau Dorpshuis Langbroek,0352::SB12,,1758,1162,5,2,0,0,0,1028,141,0,0,0,0,0,1169,59,135,47,657,83,68,95,18
