contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),VVD,ChristenUnie,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),CDA,GROENLINKS,Burger Partij Amersfoort (BPA),Amersfoort 2014,10,Vrede en Recht,Actief,DENK,Staatkundig Gereformeerde Partij (SGP)
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Oude Stadhuis,0307::SB1,,804,1097,2,2,0,0,0,1101,1,1,0,1,0,0,1102,263,128,74,60,65,93,240,57,60,7,5,13,18,14
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Ichthuskerk,0307::SB2,,1431,821,5,0,0,0,0,736,90,0,0,0,0,0,826,141,125,61,38,41,99,177,56,55,5,5,5,3,10
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau De Gerfkamer,0307::SB3,,1112,856,3,0,0,0,0,798,62,1,0,1,0,0,860,165,107,58,57,54,61,202,47,57,7,8,23,4,6
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Armen de Poth,0307::SB4,,1506,823,7,1,0,0,0,760,71,0,0,0,0,0,831,141,107,60,66,52,60,194,53,57,4,6,13,9,1
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Het Eemhuis,0307::SB5,,1459,920,1,0,0,0,0,837,85,1,0,1,0,0,922,168,136,66,53,61,77,220,47,49,6,2,13,15,7
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Schoolgebouw de Vlindervallei,0307::SB6,,1535,1004,5,4,0,0,0,892,121,0,0,0,0,0,1013,163,78,68,63,74,68,165,42,60,3,6,16,182,16
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Adventkerk,0307::SB7,,1641,695,3,3,0,0,0,613,88,0,0,0,0,0,701,96,63,66,48,58,67,83,36,46,0,8,4,104,16
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau De Schaapskooi,0307::SB8,,1728,651,3,5,0,0,0,593,66,0,0,0,0,0,659,100,41,74,65,45,48,61,23,38,5,2,8,134,7
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Schoolgebouw De Baander,0307::SB9,,1128,570,2,3,0,0,0,504,71,0,0,0,0,0,575,98,37,63,32,29,60,53,30,30,1,2,3,119,13
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau De Bron 1,0307::SB10,,1312,815,4,3,0,0,0,752,70,0,0,0,0,0,822,107,65,101,71,54,66,73,59,57,3,4,9,125,21
