contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),Leefbaar Tynaarlo/EVZ-2000,GROENLINKS,Gemeentebelangen Tynaarlo,CDA,ChristenUnie
,Tynaarlo,GR2018_Tynaarlo,Gemeenteraad Tynaarlo 2018,1730,Tynaarlo,2018-03-21,"Stembureau Ons Dorpshuis, Paterswolde",1730::SB1,9765 AP,1215,826,3,2,0,1,0,766,66,0,0,1,0,0,832,73,118,72,96,163,180,98,26
,Tynaarlo,GR2018_Tynaarlo,Gemeenteraad Tynaarlo 2018,1730,Tynaarlo,2018-03-21,"Stembureau De Notenkraker, Eelde",1730::SB2,9765 AC,1284,629,2,3,0,0,0,586,48,0,0,0,0,0,634,91,103,51,77,98,139,55,15
,Tynaarlo,GR2018_Tynaarlo,Gemeenteraad Tynaarlo 2018,1730,Tynaarlo,2018-03-21,"Stembureau Verzorgingshuis Symphonie, Eelde",1730::SB3,9761 GR,1412,1132,6,4,0,0,0,1035,107,0,0,0,0,0,1142,135,136,110,104,206,247,138,56
,Tynaarlo,GR2018_Tynaarlo,Gemeenteraad Tynaarlo 2018,1730,Tynaarlo,2018-03-21,"Stembureau Sportcentrum De Marsch, Paterswolde",1730::SB4,9765 EM,1325,1174,2,1,0,0,0,1086,91,0,0,0,0,0,1177,164,175,121,112,211,216,126,49
,Tynaarlo,GR2018_Tynaarlo,Gemeenteraad Tynaarlo 2018,1730,Tynaarlo,2018-03-21,"Stembureau Restaurant 't Huys van Bunne, Bunne",1730::SB5,9496 PA,632,338,1,0,0,0,0,302,37,0,0,0,0,0,339,99,36,24,68,39,28,37,7
,Tynaarlo,GR2018_Tynaarlo,Gemeenteraad Tynaarlo 2018,1730,Tynaarlo,2018-03-21,"Stembureau MFA Borchkwartier, Eelderwolde",1730::SB6,9766 PP,1971,1264,3,1,0,0,0,1108,160,0,0,0,0,0,1268,246,270,67,200,230,88,107,56
,Tynaarlo,GR2018_Tynaarlo,Gemeenteraad Tynaarlo 2018,1730,Tynaarlo,2018-03-21,"Stembureau Verzorgingscentrum Kornoeljehof, Vries",1730::SB7,9481 AD,1041,641,4,1,0,0,0,598,48,0,0,0,0,0,646,125,67,69,190,65,29,66,30
,Tynaarlo,GR2018_Tynaarlo,Gemeenteraad Tynaarlo 2018,1730,Tynaarlo,2018-03-21,"Stembureau Icare JGZ (consultatiebureau), Vries",1730::SB8,9481 CM,1200,971,2,2,0,0,0,893,83,1,0,1,0,0,976,136,85,96,306,152,36,121,39
,Tynaarlo,GR2018_Tynaarlo,Gemeenteraad Tynaarlo 2018,1730,Tynaarlo,2018-03-21,"Stembureau MFA Yders Hoes, Yde",1730::SB9,9494 RB,865,532,0,1,0,0,0,471,62,0,0,0,0,0,533,91,56,38,154,80,60,43,10
,Tynaarlo,GR2018_Tynaarlo,Gemeenteraad Tynaarlo 2018,1730,Tynaarlo,2018-03-21,"Stembureau OBS het Oelebred, Tynaarlo",1730::SB10,9482 PP,1435,866,4,5,0,0,0,790,85,0,0,0,0,0,875,189,79,102,212,100,65,61,58
,Tynaarlo,GR2018_Tynaarlo,Gemeenteraad Tynaarlo 2018,1730,Tynaarlo,2018-03-21,"Stembureau Dorpshuis Oudemolen, Oudemolen",1730::SB11,9484 TA,466,317,1,0,0,0,0,291,27,0,0,0,0,0,318,85,34,35,53,57,9,26,18
,Tynaarlo,GR2018_Tynaarlo,Gemeenteraad Tynaarlo 2018,1730,Tynaarlo,2018-03-21,"Stembureau MFA De Zeijer Hoogte, Zeijen",1730::SB12,9491 AA,592,378,3,2,0,0,0,360,23,0,0,0,0,0,383,123,36,43,56,63,17,23,17
,Tynaarlo,GR2018_Tynaarlo,Gemeenteraad Tynaarlo 2018,1730,Tynaarlo,2018-03-21,"Stembureau Dorpshuis Klein Kruierij, De Groeve",1730::SB13,9473 TL,364,203,2,0,0,0,0,183,22,0,0,0,0,0,205,37,18,10,54,38,10,21,15
,Tynaarlo,GR2018_Tynaarlo,Gemeenteraad Tynaarlo 2018,1730,Tynaarlo,2018-03-21,"Stembureau CBS De Tol, Zuidlaren",1730::SB14,9472 WH,1453,888,1,1,0,0,0,827,63,0,0,0,0,0,890,134,104,96,147,152,59,132,64
,Tynaarlo,GR2018_Tynaarlo,Gemeenteraad Tynaarlo 2018,1730,Tynaarlo,2018-03-21,"Stembureau Brasserie 't Hof van Zuidlaren, Zuidlaren",1730::SB15,9471 AR,1243,665,7,3,0,0,0,621,56,2,0,2,0,0,677,128,64,53,157,51,40,119,53
,Tynaarlo,GR2018_Tynaarlo,Gemeenteraad Tynaarlo 2018,1730,Tynaarlo,2018-03-21,"Stembureau Sporthal De Zwet, Zuidlaren",1730::SB16,9472 RN,1293,892,1,0,0,0,0,836,58,1,0,1,0,0,894,117,112,84,154,154,78,124,69
,Tynaarlo,GR2018_Tynaarlo,Gemeenteraad Tynaarlo 2018,1730,Tynaarlo,2018-03-21,"Stembureau GKv Kandelaarskerk, Zuidlaren",1730::SB17,9471 PR,1311,812,6,0,0,0,0,753,65,0,0,0,0,0,818,80,66,77,118,137,31,160,143
,Tynaarlo,GR2018_Tynaarlo,Gemeenteraad Tynaarlo 2018,1730,Tynaarlo,2018-03-21,"Stembureau Mozaiek Woonzorgcentrum, Zuidlaren",1730::SB18,9471 JD,1457,871,2,3,0,0,0,807,69,0,0,0,0,0,876,174,89,89,134,117,40,155,73
,Tynaarlo,GR2018_Tynaarlo,Gemeenteraad Tynaarlo 2018,1730,Tynaarlo,2018-03-21,"Stembureau Restaurant De Gasterie, Midlaren",1730::SB19,9475 PA,296,192,1,0,0,0,0,178,15,0,0,0,0,0,193,36,30,21,23,38,9,19,16
