contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Lokale Realisten & D66,Dorpspartij,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD
,Gemert-Bakel,GR2018_GemertBakel,Gemeenteraad Gemert-Bakel 2018,1652,Gemert-Bakel,2018-03-21,Stembureau Gemeentehuis Gemert,1652::SB1,,1961,1318,7,8,0,1,0,1195,139,0,0,1,0,0,1334,505,279,234,37,194,69
,Gemert-Bakel,GR2018_GemertBakel,Gemeenteraad Gemert-Bakel 2018,1652,Gemert-Bakel,2018-03-21,Stembureau Het Kunstlokaal,1652::SB3,,1869,1143,2,3,0,0,0,1025,123,0,0,0,0,0,1148,277,234,314,54,202,62
,Gemert-Bakel,GR2018_GemertBakel,Gemeenteraad Gemert-Bakel 2018,1652,Gemert-Bakel,2018-03-21,"Stembureau Kindcentrum ""De Samenstroom""",1652::SB5,,2138,895,5,0,0,0,0,811,89,0,0,0,0,0,900,278,196,164,27,133,97
,Gemert-Bakel,GR2018_GemertBakel,Gemeenteraad Gemert-Bakel 2018,1652,Gemert-Bakel,2018-03-21,Stembureau Basisschool 't Einder,1652::SB7,,1824,1000,4,0,0,0,0,885,119,0,0,0,0,0,1004,299,243,226,19,146,67
,Gemert-Bakel,GR2018_GemertBakel,Gemeenteraad Gemert-Bakel 2018,1652,Gemert-Bakel,2018-03-21,"Stembureau Kindcentrum ""Berglaren""",1652::SB9,,1692,783,4,4,0,0,0,713,78,0,0,0,0,0,791,203,156,195,32,141,56
,Gemert-Bakel,GR2018_GemertBakel,Gemeenteraad Gemert-Bakel 2018,1652,Gemert-Bakel,2018-03-21,"Stembureau Zorgboogcentrum ""Ruijschenbergh""",1652::SB11,,1752,935,3,5,0,0,0,863,80,0,0,0,0,0,943,265,185,193,49,191,52
,Gemert-Bakel,GR2018_GemertBakel,Gemeenteraad Gemert-Bakel 2018,1652,Gemert-Bakel,2018-03-21,Stembureau Cultuurhuis De Eendracht,1652::SB13,,1764,798,6,2,0,0,0,718,87,0,1,0,1,0,805,226,178,171,38,123,62
,Gemert-Bakel,GR2018_GemertBakel,Gemeenteraad Gemert-Bakel 2018,1652,Gemert-Bakel,2018-03-21,"Stembureau Dorpshuis ""De Bron""",1652::SB101,,1468,934,5,4,0,0,0,855,88,0,0,0,0,0,943,532,99,86,13,159,45
,Gemert-Bakel,GR2018_GemertBakel,Gemeenteraad Gemert-Bakel 2018,1652,Gemert-Bakel,2018-03-21,"Stembureau MFA ""de Sprank""",1652::SB201,,1247,841,5,1,0,0,0,731,116,0,0,0,0,0,847,441,133,153,8,60,46
,Gemert-Bakel,GR2018_GemertBakel,Gemeenteraad Gemert-Bakel 2018,1652,Gemert-Bakel,2018-03-21,"Stembureau Kindcentrum ""De Dompelaar""",1652::SB301,,886,484,2,0,0,0,0,423,63,0,0,0,0,0,486,304,42,38,3,74,23
,Gemert-Bakel,GR2018_GemertBakel,Gemeenteraad Gemert-Bakel 2018,1652,Gemert-Bakel,2018-03-21,Stembureau Het Parochiehuis,1652::SB401,,1751,726,4,1,0,0,0,621,110,0,0,0,0,0,731,328,143,99,31,71,54
,Gemert-Bakel,GR2018_GemertBakel,Gemeenteraad Gemert-Bakel 2018,1652,Gemert-Bakel,2018-03-21,"Stembureau Kindcentrum ""De Bakelaar""",1652::SB403,,1922,1001,7,1,1,0,0,901,109,0,0,1,0,0,1010,558,133,115,47,89,59
,Gemert-Bakel,GR2018_GemertBakel,Gemeenteraad Gemert-Bakel 2018,1652,Gemert-Bakel,2018-03-21,"Stembureau Zorgboogcentrum ""De Wilbertsdries""",1652::SB405,,1192,686,3,3,0,1,0,610,83,0,0,1,0,0,693,371,90,95,16,82,32
,Gemert-Bakel,GR2018_GemertBakel,Gemeenteraad Gemert-Bakel 2018,1652,Gemert-Bakel,2018-03-21,"Stembureau Zorgboogcentrum ""De Berken""",1652::SB501,,1749,1011,9,3,0,0,0,903,120,0,0,0,0,0,1023,638,88,140,26,57,62
,Gemert-Bakel,GR2018_GemertBakel,Gemeenteraad Gemert-Bakel 2018,1652,Gemert-Bakel,2018-03-21,"Stembureau Partycentrum ""D'n Eik""",1652::SB601,,926,552,1,0,0,0,0,498,55,0,0,0,0,0,553,314,93,53,6,60,26
