contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,LokaalBelang,VVD,CDA,GroenLinksaf,Democraten 66 (D66),Partij van de Arbeid,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Lijst IJpelaar
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau Stadhuis Waalwijk,0867::SB1,,1495,707,1,2,0,0,0,641,69,0,0,0,0,0,710,217,161,74,88,64,25,18,20,40
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau Basischool Besoyen,0867::SB3,,2410,1082,6,1,0,0,0,974,116,0,0,1,0,0,1090,355,216,78,165,124,33,44,30,37
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau Balade,0867::SB8,,1864,955,6,8,0,0,0,881,88,0,0,0,0,0,969,339,106,56,207,98,38,12,22,77
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau Buurthuis Zanddonk,0867::SB11,,2471,1092,1,6,0,0,0,998,104,0,0,3,0,0,1102,356,190,64,183,142,40,27,22,68
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau 't Bourgondisch Hof,0867::SB12,,1869,608,6,4,0,0,0,569,49,0,0,0,0,0,618,208,88,33,129,65,20,11,14,40
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau Basisschool Juliana v Stolberg,0867::SB13,,1150,870,2,2,0,0,0,798,77,1,0,1,0,0,875,211,257,115,84,110,28,21,25,19
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau Buurthuis Bloemenoord,0867::SB15,,1320,695,1,4,0,0,0,644,56,0,0,0,0,0,700,284,86,38,127,56,28,11,7,58
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau Basisschool Meerdijk,0867::SB16,,1294,850,1,1,0,0,0,770,82,0,0,0,0,0,852,199,301,92,68,104,19,19,21,27
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau Zorgcentrum Antoniushof,0867::SB17,,2020,858,7,8,0,0,0,815,58,0,0,0,0,0,873,335,116,56,139,76,38,22,10,66
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau Buurthuis Vrijhoeve,0867::SB18,,1615,758,2,3,0,0,0,700,63,0,0,0,0,0,763,221,65,63,39,34,21,57,227,31
