contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Leefbaar 3B,CDA,VVD,Democraten 66 (D66),ChristenUnie,Partij van de Arbeid (P.v.d.A.),WIJ Lansingerland,GROENLINKS,Partij Neeleman
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau Hervormde Kerk,1621::SB1,2661 CB,1485,919,2,3,0,0,0,836,88,0,0,0,0,0,924,217,123,153,56,132,33,133,44,28
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau Gemeentehuis Lansingerland,1621::SB2,2662 SB,1850,1147,3,5,0,0,0,1012,143,0,0,0,0,0,1155,280,115,222,111,97,62,144,79,37
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau De Rozenhoek,1621::SB3,2661 HK,1924,1058,7,10,0,0,0,979,96,0,0,0,0,0,1075,245,130,134,69,144,56,160,67,53
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau Postduivenvereniging,1621::SB4,2661 GV,757,501,0,0,0,0,0,441,60,0,0,0,0,0,501,86,77,89,36,50,16,64,44,39
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau RK Basisschool Pius X,1621::SB5,2661 KZ,2044,1260,5,5,0,5,0,1164,111,0,0,5,0,0,1275,347,167,203,81,101,71,175,80,35
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau GKV Het Baken,1621::SB6,2661 TP,1663,993,2,1,0,0,0,892,106,0,0,2,0,0,998,213,91,264,83,106,50,110,56,20
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau Jongeren Centrum Spectrum I,1621::SB7,2661 AL,924,678,0,3,0,0,0,610,76,0,0,5,0,0,686,171,83,133,64,58,37,89,36,7
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau CBS De Acker,1621::SB8,2661 SX,1984,1163,4,5,0,0,0,1038,134,0,0,0,0,0,1172,255,122,279,118,108,49,155,56,21
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau Basisschool De Poolster,1621::SB9,2651 RC,2058,1537,2,2,0,0,0,1349,192,0,0,0,0,0,1541,415,317,238,114,62,67,175,123,26
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,"Stembureau Basisschool De Klipper I, Oudelandselaan",1621::SB10,2652 ER,838,467,4,0,0,0,0,411,60,0,0,0,0,0,471,113,100,96,50,26,20,42,19,1
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau CBS Prins Johan Friso,1621::SB11,2651 GS,2267,1032,10,7,0,0,0,960,90,1,0,0,0,0,1050,305,163,139,64,104,61,86,78,32
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau Laurens Huize St. Petrus,1621::SB12,2651 CX,1640,1060,5,4,0,0,0,967,104,0,0,2,0,0,1071,289,226,162,80,67,58,93,64,21
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau Wel-kom!,1621::SB13,2651 CZ,1727,844,3,5,0,0,0,773,79,0,0,0,0,0,852,241,207,81,55,105,45,57,38,15
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau Gebouw de Bron,1621::SB14,2651 BN,2016,1378,5,5,0,1,0,1232,155,0,1,0,0,0,1387,268,237,289,167,188,48,77,80,24
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau Wijkgebouw Rodenrijs,1621::SB15,2651 PG,1655,1016,6,5,0,0,0,947,80,0,0,0,0,0,1027,263,156,121,116,99,62,78,101,20
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau Wijnstokgemeente,1621::SB16,2651 BS,1717,881,2,4,0,0,0,780,107,0,0,0,0,0,887,153,147,179,95,95,49,65,84,14
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,"Stembureau Stichting Sprank ""De Handpalm""",1621::SB17,2651 XP,1173,768,3,1,0,0,0,678,94,0,0,0,0,0,772,160,116,127,82,88,59,43,82,11
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau Woonzorgcentrum De Leeuwerik,1621::SB18,2665 VH,1841,1181,2,2,0,0,0,1053,131,0,1,0,0,0,1184,370,241,174,69,107,66,68,60,26
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau Gereformeerde Kerk Bleiswijk Open Hof,1621::SB19,2665 BJ,1967,1056,2,2,0,0,0,927,131,0,2,0,0,0,1058,286,243,152,40,135,53,58,67,22
