contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Opsterlands Belang,CDA,Partij van de Arbeid (P.v.d.A.),ChristenUnie,VVD,Democraten 66 (D66),GROENLINKS-OpsterLanders,BAS,FNP
,Opsterland,GR2018_Opsterland,Gemeenteraad Opsterland 2018,0086,Opsterland,2018-03-21,"Stembureau Beetsterzwaag, Gemeentehuis",0086::SB1,9244 CR,1607,855,3,0,0,0,0,782,76,0,0,0,0,0,858,139,112,165,36,109,78,134,47,35
,Opsterland,GR2018_Opsterland,Gemeenteraad Opsterland 2018,0086,Opsterland,2018-03-21,"Stembureau Beetsterzwaag, Dorpshuis",0086::SB2,9244 CH,1412,1009,3,3,0,0,0,932,84,1,0,1,0,0,1016,196,124,206,47,95,95,170,44,32
,Opsterland,GR2018_Opsterland,Gemeenteraad Opsterland 2018,0086,Opsterland,2018-03-21,"Stembureau Bakkeveen, Dúndelle",0086::SB3,9243 SK,1513,949,1,2,0,0,0,852,100,0,0,0,0,0,952,420,136,100,59,84,40,78,16,16
,Opsterland,GR2018_Opsterland,Gemeenteraad Opsterland 2018,0086,Opsterland,2018-03-21,"Stembureau Frieschepalen, De Dobber",0086::SB4,9249 MC,744,490,2,1,0,0,0,452,41,0,0,0,0,0,493,82,88,54,204,28,6,14,7,7
,Opsterland,GR2018_Opsterland,Gemeenteraad Opsterland 2018,0086,Opsterland,2018-03-21,"Stembureau Gorredijk, De Miente",0086::SB5,8401 AC,1370,681,6,4,0,0,0,634,57,0,0,0,0,0,691,130,99,94,14,108,15,84,108,29
,Opsterland,GR2018_Opsterland,Gemeenteraad Opsterland 2018,0086,Opsterland,2018-03-21,"Stembureau Gorredijk, De Skâns",0086::SB6,8401 DV,1638,855,8,2,0,0,0,797,68,0,0,0,0,0,865,194,99,88,39,101,38,126,136,34
,Opsterland,GR2018_Opsterland,Gemeenteraad Opsterland 2018,0086,Opsterland,2018-03-21,"Stembureau Gorredijk, R.K.-kerk",0086::SB7,8401 RV,1322,454,1,2,0,0,0,431,26,0,0,0,0,0,457,107,48,72,15,36,18,59,79,20
,Opsterland,GR2018_Opsterland,Gemeenteraad Opsterland 2018,0086,Opsterland,2018-03-21,"Stembureau Hemrik, Dorpshuis",0086::SB8,8409 JW,605,387,3,1,0,0,0,351,40,0,0,0,0,0,391,100,47,40,13,51,23,73,19,21
,Opsterland,GR2018_Opsterland,Gemeenteraad Opsterland 2018,0086,Opsterland,2018-03-21,"Stembureau Langezwaag, Dorpshuis",0086::SB9,8404 BV,1220,681,1,3,0,1,0,612,72,0,1,0,0,0,684,196,97,81,11,116,43,76,32,29
,Opsterland,GR2018_Opsterland,Gemeenteraad Opsterland 2018,0086,Opsterland,2018-03-21,"Stembureau Lippenhuizen, Dorpshuis",0086::SB10,8408 HH,1045,586,5,1,0,0,0,553,41,2,0,2,0,0,594,95,60,94,17,96,57,92,43,32
,Opsterland,GR2018_Opsterland,Gemeenteraad Opsterland 2018,0086,Opsterland,2018-03-21,"Stembureau Nij Beets, Dorpshuis",0086::SB11,9245 HP,1320,834,3,3,0,1,0,761,80,0,0,1,0,0,841,284,123,66,107,37,21,108,51,37
,Opsterland,GR2018_Opsterland,Gemeenteraad Opsterland 2018,0086,Opsterland,2018-03-21,"Stembureau Siegerswoude, Dorpshuis",0086::SB12,9248 KS,648,370,2,0,0,0,0,342,30,0,0,0,0,0,372,74,86,14,92,31,17,39,8,9
,Opsterland,GR2018_Opsterland,Gemeenteraad Opsterland 2018,0086,Opsterland,2018-03-21,"Stembureau Terwispel, Dorpshuis",0086::SB13,8407 ES,792,448,1,2,0,0,0,419,32,0,0,0,0,0,451,72,43,104,12,48,23,81,30,35
,Opsterland,GR2018_Opsterland,Gemeenteraad Opsterland 2018,0086,Opsterland,2018-03-21,"Stembureau Tijnje, Dorpshuis",0086::SB14,8406 ES,1374,734,2,1,0,0,0,672,65,0,0,0,0,0,737,216,96,76,15,78,23,106,33,91
,Opsterland,GR2018_Opsterland,Gemeenteraad Opsterland 2018,0086,Opsterland,2018-03-21,"Stembureau Ureterp, Geref. kerk Mounestrjitte",0086::SB15,9247 AM,1918,1201,1,2,0,0,0,1090,114,0,0,0,0,0,1204,263,206,99,436,53,40,40,19,45
,Opsterland,GR2018_Opsterland,Gemeenteraad Opsterland 2018,0086,Opsterland,2018-03-21,"Stembureau Ureterp, De Lijte",0086::SB16,9247 ES,1777,1109,6,0,0,0,0,1050,65,0,0,0,0,0,1115,259,191,128,318,56,43,49,19,46
,Opsterland,GR2018_Opsterland,Gemeenteraad Opsterland 2018,0086,Opsterland,2018-03-21,"Stembureau Wijnjewoude, MFC de Swingel",0086::SB17,9241 GL,1565,865,2,0,0,0,0,787,80,0,0,0,0,0,867,185,225,113,102,54,36,86,35,29
,Opsterland,GR2018_Opsterland,Gemeenteraad Opsterland 2018,0086,Opsterland,2018-03-21,"Stembureau Gorredijk, Ontmoetingskerk",0086::SB18,8401 BP,1571,988,4,0,0,1,0,932,61,0,0,1,0,0,993,215,126,103,31,149,72,123,134,35
