contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),SP (Socialistische Partij),CDA,VVD,Partij van de Arbeid (P.v.d.A.),GROENLINKS,GPR Burgerbelangen,ChristenUnie
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.01:Trouwzl. gemeentehuis Rheden,0275::SB1,6994 AB,998,752,4,1,0,0,0,699,58,0,0,0,0,0,757,93,90,129,157,74,103,63,43
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.02:Woonzorgcompl. Nw-Schoonoord,0275::SB2,6881 TV,999,826,5,2,0,0,0,768,65,0,0,0,0,0,833,151,54,115,286,79,72,53,16
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.03:Verzorgingshuis De Biesdel,0275::SB3,6881 CD,1024,786,3,2,0,0,0,726,65,0,0,0,0,0,791,152,31,119,276,60,88,33,27
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.04:Parkstaete Zalencentrum Vof,0275::SB4,6881 JA,1180,853,10,2,0,0,0,782,83,0,0,0,0,0,865,141,64,122,259,71,134,34,28
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.05:PC Basisschool De Arnhorst,0275::SB5,6881 NV,1469,937,1,1,0,1,0,867,73,0,0,1,0,0,940,191,65,116,209,103,141,62,50
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.06:RK Basisschool Fredericus,0275::SB6,6881 SV,1326,876,5,4,0,0,0,820,65,0,0,0,0,0,885,137,81,118,187,93,156,72,32
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.07: Woonzorgcentrum Oosterwolde,0275::SB7,6883 JK,1123,667,12,2,0,0,0,636,47,2,0,2,0,0,683,111,74,101,154,79,83,41,24
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.08:Wooncomplex Broeckerhave,0275::SB8,6883 BD,1600,793,5,1,0,0,0,742,57,0,0,0,0,0,799,138,77,115,155,117,87,75,29
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.09:Voorm.Van Voorthuijsenschool,0275::SB9,6882 NS,1777,724,5,0,0,0,0,676,53,0,0,0,0,0,729,105,128,74,95,99,132,68,23
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.10:Verzorgingshuis H.A. Lorentz,0275::SB10,6882 LR,1319,507,3,2,0,0,0,475,37,0,0,0,0,0,512,53,116,55,71,65,61,70,16
