contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Eersel Samen Anders,Democraten 66 (D66),PvdA-GROENLINKS,VVD,Kernbeleid
,Eersel,GR2018_Eersel,Gemeenteraad Eersel 2018,0770,Eersel,2018-03-21,Stembureau Muzenval 1_1,0770::SB1,5521AW,1287,706,2,3,0,0,0,654,57,0,0,0,0,0,711,160,182,90,132,116,26
,Eersel,GR2018_Eersel,Gemeenteraad Eersel 2018,0770,Eersel,2018-03-21,Stembureau Sporthal de Kraanvogel_2,0770::SB2,5521JN,1324,629,2,3,0,2,0,575,57,0,2,0,0,0,632,103,227,55,116,96,32
,Eersel,GR2018_Eersel,Gemeenteraad Eersel 2018,0770,Eersel,2018-03-21,Stembureau Dorpshuis de Smis_3,0770::SB3,5525AN,1564,753,5,1,0,0,0,697,62,0,0,0,0,0,759,96,416,56,70,75,40
,Eersel,GR2018_Eersel,Gemeenteraad Eersel 2018,0770,Eersel,2018-03-21,Stembureau Gemeenschapshuis de Höllekes_4,0770::SB4,5524AX,1258,657,3,1,0,0,0,601,60,0,0,0,0,0,661,130,248,37,140,72,30
,Eersel,GR2018_Eersel,Gemeenteraad Eersel 2018,0770,Eersel,2018-03-21,Stembureau Tenniscentrum Eersel_5,0770::SB5,5521TP,1259,836,6,3,0,0,0,757,88,0,0,0,0,0,845,184,180,128,122,197,25
,Eersel,GR2018_Eersel,Gemeenteraad Eersel 2018,0770,Eersel,2018-03-21,Stembureau Muzenval 2_6,0770::SB6,5521AW,1335,657,4,3,0,0,0,577,87,0,0,0,0,0,664,133,212,91,108,89,24
,Eersel,GR2018_Eersel,Gemeenteraad Eersel 2018,0770,Eersel,2018-03-21,Stembureau Muzenval 3_7,0770::SB7,5521AW,1431,817,7,6,0,1,0,748,83,0,0,1,0,0,831,169,247,91,129,144,37
,Eersel,GR2018_Eersel,Gemeenteraad Eersel 2018,0770,Eersel,2018-03-21,Stembureau Gemeenschapshuis d'n Boogerd_8,0770::SB8,5512AJ,1739,1005,5,2,0,0,0,905,107,0,0,0,0,0,1012,182,473,94,108,83,65
,Eersel,GR2018_Eersel,Gemeenteraad Eersel 2018,0770,Eersel,2018-03-21,Stembureau Gemeenschapshuis de Rosdoek_9,0770::SB9,5513AP,1558,935,2,3,0,1,0,853,88,0,0,1,0,0,941,172,581,25,56,48,53
,Eersel,GR2018_Eersel,Gemeenteraad Eersel 2018,0770,Eersel,2018-03-21,Stembureau Gemeenschapshuis de Leenhoef_10,0770::SB10,5511AG,1132,673,2,2,0,0,0,610,67,0,0,0,0,0,677,93,317,66,70,50,77
,Eersel,GR2018_Eersel,Gemeenteraad Eersel 2018,0770,Eersel,2018-03-21,Stembureau Kerkebogten gebouw Forum_11,0770::SB11,5521WG,1344,616,6,2,0,0,0,580,44,0,0,0,0,0,624,136,187,50,91,118,34
