contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Seniorenpartij Schagen,JESS,Democraten 66 (D66),SP (Socialistische Partij),Wens4U (wij en Schagen voor u),Duurzaam Schagen,GROENLINKS
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,"Stembureau Basisschool De Ark, Schagen",0441::SB2,1741 JP,1872,1249,1,5,0,0,0,1152,96,0,7,0,0,0,1248,263,191,147,214,87,68,57,73,72,77
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,"Stembureau WZG Samen, locatie Magnushof",0441::SB3,1741 KW,2409,844,1,2,0,0,0,797,51,0,0,1,0,0,848,177,96,103,183,48,43,38,43,65,48
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,"Stembureau Basisschool De Rank, Schagen",0441::SB4,1741 TG,1752,871,5,4,0,0,0,828,52,0,0,0,0,0,880,153,100,100,157,66,68,57,60,50,60
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,"Stembureau Niko Tinbergenschool, Schagen",0441::SB5,1742 AC,1771,989,3,4,0,0,0,995,1,0,0,0,0,0,996,166,144,88,160,62,58,61,85,86,79
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,"Stembureau PCB De Wegwijzer, Schagen",0441::SB6,1742 JM,1814,943,4,2,0,0,0,870,77,0,2,0,0,0,947,160,144,86,157,73,53,49,84,55,82
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,"Stembureau Spartahal,Schagen",0441::SB7,1741 NA,2354,1352,4,2,0,0,0,1244,114,0,0,0,0,0,1358,250,274,119,188,123,82,71,65,87,93
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,"Stembureau WZG Samen, locatie De Bron, Schagen",0441::SB8,1741 DA,2428,1301,6,6,0,0,0,1199,115,0,0,1,0,0,1314,278,279,124,190,100,100,38,40,69,83
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,"Stembureau Clusius College, Schagen",0441::SB9,1741 MD,980,450,3,0,0,0,0,415,38,0,0,0,0,0,453,100,77,45,58,35,26,28,25,20,36
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,Stembureau Sporthal Molentocht Schagerbrug,0441::SB12,1751 CW,1683,881,5,0,0,0,0,824,62,0,0,0,0,0,886,312,118,51,96,115,35,24,18,41,71
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,Stembureau Dorpsh. De Uijtkijk Sint Maartensbrug,0441::SB13,1752 AG,1098,592,1,1,0,0,0,543,52,0,0,1,0,0,595,158,79,22,83,108,19,33,14,47,29
