contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Gemeentebelangen,DUS! GroenLinks en D66,CDA,Ons Uithoorn,Partij van de Arbeid (P.v.d.A.),Groen Uithoorn
,Uithoorn,GR2018_Uithoorn,Gemeenteraad Uithoorn 2018,0451,Uithoorn,2018-03-21,Stembureau Gemeentehuis,0451::SB1,1423 AJ,1892,1335,12,6,0,0,0,1232,123,2,0,2,0,0,1355,337,277,262,111,183,109,56
,Uithoorn,GR2018_Uithoorn,Gemeenteraad Uithoorn 2018,0451,Uithoorn,2018-03-21,Stembureau De Springschans,0451::SB2,1423 ET,2998,1580,9,8,0,1,0,1428,170,0,0,1,0,0,1598,424,314,362,120,218,88,54
,Uithoorn,GR2018_Uithoorn,Gemeenteraad Uithoorn 2018,0451,Uithoorn,2018-03-21,Stembureau KnA-gebouw (muziek ver),0451::SB3,1422 RG,1638,1022,5,10,0,0,0,952,85,0,0,0,0,0,1037,202,204,175,101,164,115,61
,Uithoorn,GR2018_Uithoorn,Gemeenteraad Uithoorn 2018,0451,Uithoorn,2018-03-21,Stembureau Dorpshuis de Quakel,0451::SB4,1424 BK,3480,1705,7,8,0,1,0,1543,176,0,1,0,0,0,1719,334,689,225,193,169,59,36
,Uithoorn,GR2018_Uithoorn,Gemeenteraad Uithoorn 2018,0451,Uithoorn,2018-03-21,Stembureau Alkwin Kollege,0451::SB5,1422 MT,1582,699,9,2,0,1,0,639,70,0,1,0,0,0,709,200,136,133,62,63,64,41
,Uithoorn,GR2018_Uithoorn,Gemeenteraad Uithoorn 2018,0451,Uithoorn,2018-03-21,Stembureau Buurthuis Ponderosa,0451::SB6,1421 XM,1834,664,4,4,0,0,0,612,60,0,0,0,0,0,672,96,140,145,73,116,51,43
,Uithoorn,GR2018_Uithoorn,Gemeenteraad Uithoorn 2018,0451,Uithoorn,2018-03-21,Stembureau Het Duet,0451::SB7,1421 BN,1581,810,8,3,0,0,0,747,74,0,0,0,0,0,821,137,170,170,90,126,58,59
,Uithoorn,GR2018_Uithoorn,Gemeenteraad Uithoorn 2018,0451,Uithoorn,2018-03-21,Stembureau Wijksteunpunt,0451::SB8,1422 DT,1494,807,5,4,0,1,0,758,59,0,0,1,0,0,817,128,181,178,110,101,76,33
,Uithoorn,GR2018_Uithoorn,Gemeenteraad Uithoorn 2018,0451,Uithoorn,2018-03-21,Stembureau Het Hoge Heem,0451::SB9,1422 CB,2240,1173,5,11,0,0,0,1114,75,0,0,0,0,0,1189,216,219,296,130,164,107,41
,Uithoorn,GR2018_Uithoorn,Gemeenteraad Uithoorn 2018,0451,Uithoorn,2018-03-21,Stembureau De Brede School,0451::SB10,1422 WX,2418,919,8,1,0,0,0,816,112,0,0,0,0,0,928,305,195,192,71,84,49,23
,Uithoorn,GR2018_Uithoorn,Gemeenteraad Uithoorn 2018,0451,Uithoorn,2018-03-21,Stembureau Evang. Chr. Gem.,0451::SB11,1422 JP,1808,766,4,4,0,0,0,691,84,1,0,1,0,0,775,149,156,163,80,110,78,30
