contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Dorpsbelangen,VVD,OPZ Onafhankelijke Partij Zundert,Ondernemend Platteland,Democraten 66 (D66),Lokaal Perspectief
,Zundert,GR2018_Zundert,Gemeenteraad Zundert 2018,0879,Zundert,2018-03-21,Stembureau Gemeentehuis Zundert,0879::SB1,4881 CN,1409,1060,7,3,0,0,0,963,107,0,0,0,0,0,1070,215,152,236,136,94,164,63
,Zundert,GR2018_Zundert,Gemeenteraad Zundert 2018,0879,Zundert,2018-03-21,Stembureau Anna-School,0879::SB2,4881 AK,1298,501,2,1,0,0,0,445,59,0,0,0,0,0,504,86,40,72,108,38,98,59
,Zundert,GR2018_Zundert,Gemeenteraad Zundert 2018,0879,Zundert,2018-03-21,Stembureau Thebe Gebouw,0879::SB3,4881 AK,1288,668,1,1,0,0,0,602,68,0,0,0,0,0,670,132,89,134,109,77,88,39
,Zundert,GR2018_Zundert,Gemeenteraad Zundert 2018,0879,Zundert,2018-03-21,Stembureau De Willaert,0879::SB4,4881 EH,1487,809,2,1,0,0,0,716,96,0,0,0,0,0,812,195,110,183,79,116,81,45
,Zundert,GR2018_Zundert,Gemeenteraad Zundert 2018,0879,Zundert,2018-03-21,"Stembureau Tenniscentrum ""de Leeuwerik""",0879::SB5,4881 WZ,1386,614,3,0,0,0,0,549,68,0,0,0,0,0,617,110,78,132,109,75,67,43
,Zundert,GR2018_Zundert,Gemeenteraad Zundert 2018,0879,Zundert,2018-03-21,Stembureau Gemeenschapshuis Wierenbos,0879::SB6,4884 BH,2256,936,2,5,0,0,0,860,83,0,0,0,0,0,943,141,166,190,142,186,51,60
,Zundert,GR2018_Zundert,Gemeenteraad Zundert 2018,0879,Zundert,2018-03-21,Stembureau Gemeenschapshuis 't Gouwe Hart,0879::SB7,4885 AH,1582,819,7,5,0,0,0,704,128,0,0,1,0,0,832,120,146,106,51,340,33,23
,Zundert,GR2018_Zundert,Gemeenteraad Zundert 2018,0879,Zundert,2018-03-21,Stembureau Ouderencentrum Levenslust,0879::SB8,4882 BH,1703,994,6,1,0,0,0,906,96,0,0,1,1,0,1002,177,147,224,82,167,141,56
,Zundert,GR2018_Zundert,Gemeenteraad Zundert 2018,0879,Zundert,2018-03-21,Stembureau Dorpshuis Amarant,0879::SB9,4891 NS,1668,643,2,0,0,0,0,573,72,0,0,0,0,0,645,158,158,98,35,74,48,72
,Zundert,GR2018_Zundert,Gemeenteraad Zundert 2018,0879,Zundert,2018-03-21,Stembureau Koutershof (bibliotheek),0879::SB10,4891 CJ,1890,1009,2,2,0,0,0,861,152,0,0,0,0,0,1013,196,223,160,50,181,98,101
,Zundert,GR2018_Zundert,Gemeenteraad Zundert 2018,0879,Zundert,2018-03-21,Stembureau Dienstencentrum de Rijserf,0879::SB11,4891 XL,1906,1044,4,5,0,0,0,947,106,0,0,0,0,0,1053,227,309,160,83,73,76,116
