contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Lijst Riel-Goirle,Pro Actief Goirle,CDA,SP (Socialistische Partij),VVD,Partij van de Arbeid (P.v.d.A.),Arbeiderspartij Goirle-Riel,Democraten 66 (D66)
,Goirle,GR2018_Goirle,Gemeenteraad Goirle 2018,0785,Goirle,2018-03-21,Stembureau Gemeentehuis Goirle,0785::SB1,,1390,1009,15,2,0,0,0,923,103,0,0,0,0,0,1026,143,166,152,163,161,60,71,93
,Goirle,GR2018_Goirle,Gemeenteraad Goirle 2018,0785,Goirle,2018-03-21,Stembureau Woonzorgcentrum Thebe Elisabeth,0785::SB2,,1496,552,3,1,0,0,0,516,41,0,0,1,0,0,557,63,91,115,90,69,33,48,43
,Goirle,GR2018_Goirle,Gemeenteraad Goirle 2018,0785,Goirle,2018-03-21,Stembureau Zorgcentrum 'Guldenakker',0785::SB3,,1473,789,3,5,0,0,0,744,53,0,0,0,0,0,797,125,118,140,121,89,48,78,70
,Goirle,GR2018_Goirle,Gemeenteraad Goirle 2018,0785,Goirle,2018-03-21,Stembureau Basisschool 'Den Bongerd',0785::SB4,,1363,742,4,0,0,0,0,687,59,0,0,0,0,0,746,121,141,83,93,90,81,24,109
,Goirle,GR2018_Goirle,Gemeenteraad Goirle 2018,0785,Goirle,2018-03-21,Stembureau Café 'Bij Ons' voorzijde Frankenhal,0785::SB5,,1492,758,3,1,0,0,0,695,67,0,0,0,0,0,762,150,127,76,137,99,38,42,89
,Goirle,GR2018_Goirle,Gemeenteraad Goirle 2018,0785,Goirle,2018-03-21,Stembureau Basisschool 'De Kleine Akkers',0785::SB6,,1282,729,4,3,0,0,0,660,76,0,0,0,0,0,736,140,135,114,65,121,44,29,81
,Goirle,GR2018_Goirle,Gemeenteraad Goirle 2018,0785,Goirle,2018-03-21,Stembureau Basisschool 'De Regenboog',0785::SB7,,1576,841,0,1,0,0,0,765,77,0,0,0,0,0,842,129,119,148,103,139,64,39,100
,Goirle,GR2018_Goirle,Gemeenteraad Goirle 2018,0785,Goirle,2018-03-21,Stembureau Basisschool 'de Bron',0785::SB8,,1692,699,2,2,0,0,0,640,63,0,0,0,0,0,703,134,110,102,57,148,42,27,79
,Goirle,GR2018_Goirle,Gemeenteraad Goirle 2018,0785,Goirle,2018-03-21,Stembureau Cultureel Centrum Jan van Besouw,0785::SB9,,1398,734,4,0,0,0,0,670,67,0,1,0,0,0,737,122,129,105,91,82,66,54,85
,Goirle,GR2018_Goirle,Gemeenteraad Goirle 2018,0785,Goirle,2018-03-21,Stembureau Mill-Hillcollege,0785::SB10,,469,288,2,1,0,0,0,260,31,0,0,0,0,0,291,65,37,34,22,71,12,8,39
,Goirle,GR2018_Goirle,Gemeenteraad Goirle 2018,0785,Goirle,2018-03-21,Stembureau Sporthal De Wissel,0785::SB11,,1255,635,2,1,0,0,0,563,75,0,0,0,0,0,638,111,112,94,54,131,32,19,82
,Goirle,GR2018_Goirle,Gemeenteraad Goirle 2018,0785,Goirle,2018-03-21,Stembureau Basisschool 't Schrijverke',0785::SB12,,1542,1009,5,2,0,0,0,930,86,0,0,0,0,0,1016,180,150,135,110,187,78,37,132
,Goirle,GR2018_Goirle,Gemeenteraad Goirle 2018,0785,Goirle,2018-03-21,Stembureau Ontmoetingscentrum 'De Leybron',0785::SB13,,1177,676,0,5,0,0,0,610,71,0,0,0,0,0,681,366,24,181,15,32,20,11,27
,Goirle,GR2018_Goirle,Gemeenteraad Goirle 2018,0785,Goirle,2018-03-21,Stembureau B.S. De Vonder,0785::SB14,,1082,728,2,0,0,0,0,663,67,0,0,0,0,0,730,392,21,160,23,55,23,23,31
