contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),SP (Socialistische Partij),CDA,Partij van de Arbeid (P.v.d.A.),GROENLINKS,BREDA'97,TROTS/OPA,BOB,Volkspartij Breda,Volmondig JA,50PLUS,Bredase Stadspartij
,Breda,GR2018_Breda,Gemeenteraad Breda 2018,0758,Breda,2018-03-21,Stembureau Stadhuis,0758::SB1,,2364,1140,14,1,0,0,0,1080,69,0,6,0,6,0,1149,325,203,79,95,64,212,15,7,30,33,20,30,27
,Breda,GR2018_Breda,Gemeenteraad Breda 2018,0758,Breda,2018-03-21,Stembureau St. Josephschool,0758::SB2,,2341,945,2,5,0,0,0,876,75,0,1,0,0,0,951,256,184,55,63,81,199,21,11,6,15,16,22,16
,Breda,GR2018_Breda,Gemeenteraad Breda 2018,0758,Breda,2018-03-21,Stembureau De Avenue,0758::SB3,,1305,710,4,1,0,0,0,676,36,0,3,0,3,0,712,224,115,51,63,60,95,15,5,6,23,10,32,11
,Breda,GR2018_Breda,Gemeenteraad Breda 2018,0758,Breda,2018-03-21,Stembureau Zorg- en Behandelcentrum Elisabeth,0758::SB4,,2064,669,5,2,0,0,0,636,36,0,4,0,0,0,672,135,91,78,64,57,122,25,8,9,14,5,39,22
,Breda,GR2018_Breda,Gemeenteraad Breda 2018,0758,Breda,2018-03-21,Stembureau BS De Singel,0758::SB5,,2161,748,7,8,0,0,0,731,32,0,0,0,0,0,763,167,122,93,50,51,117,19,14,22,27,3,39,24
,Breda,GR2018_Breda,Gemeenteraad Breda 2018,0758,Breda,2018-03-21,Stembureau Stadskantoor,0758::SB6,,1894,1604,12,3,1,0,0,1477,141,0,1,0,0,0,1618,434,262,139,148,166,225,28,9,20,26,40,89,18
,Breda,GR2018_Breda,Gemeenteraad Breda 2018,0758,Breda,2018-03-21,Stembureau Lighthouse Fotostudio,0758::SB7,,1510,533,1,4,0,7,0,491,40,0,7,0,0,0,531,143,87,32,60,43,86,12,6,5,7,25,16,11
,Breda,GR2018_Breda,Gemeenteraad Breda 2018,0758,Breda,2018-03-21,Stembureau NHTV,0758::SB10,,1495,534,5,2,0,0,0,497,45,1,0,1,0,0,542,106,80,64,48,54,99,9,4,9,15,11,22,13
,Breda,GR2018_Breda,Gemeenteraad Breda 2018,0758,Breda,2018-03-21,Stembureau Vrije School Breda,0758::SB11,,1388,373,0,1,0,0,0,344,30,0,0,0,0,0,374,46,58,40,26,29,99,18,4,3,10,10,26,4
,Breda,GR2018_Breda,Gemeenteraad Breda 2018,0758,Breda,2018-03-21,Stembureau BS De Liniedoorn,0758::SB12,,2148,710,11,5,0,0,0,675,51,0,0,0,0,0,726,100,63,114,78,97,101,19,7,12,24,25,57,13
