contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Leefbaar Capelle,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),Staatkundig Gereformeerde Partij (SGP),ChristenUnie,CDA,GROENLINKS,JEZUS LEEFT
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau De Werkkamer,0502::SB1,2903 AS,1148,812,2,4,0,1,0,720,97,0,1,0,0,0,817,275,94,69,93,62,69,34,56,53,7
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Stembureau 2(naast De Werkkamer),0502::SB2,2903 AS,1483,676,1,2,0,1,0,601,79,0,0,1,0,0,680,202,70,43,67,34,130,54,41,31,4
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Vergaderzaal,0502::SB3,2902 TA,1920,671,3,6,0,0,0,605,75,0,0,0,0,0,680,294,42,47,100,39,37,40,38,27,7
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Zorgcentrum De Rozenburcht,0502::SB4,2902 BW,1871,1603,3,7,0,1,0,1456,158,0,0,1,0,0,1614,605,141,110,192,61,198,98,115,72,11
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Nieuwe Westerkerk,0502::SB5,2902 CT,1499,553,5,5,0,0,0,514,49,0,0,0,0,0,563,199,40,38,55,44,87,36,27,25,2
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau PCB De Horizon,0502::SB6,2903 TJ,1496,564,3,2,0,0,0,533,36,0,0,0,0,0,569,211,41,32,42,60,55,37,46,35,5
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Verzorgingshuis De Vijverhof,0502::SB7,2903 LJ,2234,1298,7,4,0,1,0,1175,133,0,1,0,0,0,1308,436,99,119,116,83,143,103,131,55,13
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Woonzorgcentrum d'Amandelhof,0502::SB8,2903 RL,1660,956,2,2,0,2,0,880,78,0,2,0,0,0,958,272,69,61,77,91,213,77,57,35,4
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau OBS de Tweemaster,0502::SB9,2904 VA,1170,565,1,1,0,0,0,507,60,0,0,0,0,0,567,245,67,49,54,38,23,27,34,24,4
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Senioren Residentie IJsselzicht,0502::SB10,2904 AE,1723,1088,3,2,0,0,0,986,107,0,0,0,0,0,1093,440,115,72,198,36,41,37,77,70,2
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Kerkelijk Centrum De Oosterkerk,0502::SB11,2905 NP,1614,338,0,1,0,0,0,314,25,0,0,0,0,0,339,154,40,21,20,22,10,11,25,27,8
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau PCB De Horizon,0502::SB12,2904 SC,1674,951,4,1,0,0,0,861,97,0,0,2,2,0,958,427,133,59,127,40,21,27,64,48,5
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Kerkelijk Centrum De Oosterkerk,0502::SB13,2905 NP,1625,764,3,0,0,0,0,697,70,0,0,0,0,0,767,372,67,51,58,58,18,35,57,39,9
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Buurtcentrum De Trefhoek,0502::SB14,2905 TW,1674,666,5,0,0,0,0,614,57,0,0,0,0,0,671,290,51,54,50,96,14,27,26,45,13
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau De Serre,0502::SB15,2905 XT,1904,703,3,2,0,0,0,647,61,0,0,0,0,0,708,336,49,59,31,104,18,23,41,38,4
