contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),LDIJ (Lokale Democraten IJsselstein),VVD,CDA,GROENLINKS,Partij van de Arbeid (P.v.d.A.),ChristenUnie
,IJsselstein,GR2018_IJsselstein,Gemeenteraad IJsselstein 2018,0353,IJsselstein,2018-03-21,Stembureau Stadhuis,0353::SB1,3401 BK,1276,1047,3,4,0,0,0,959,95,0,0,0,0,0,1054,144,279,268,138,118,44,56
,IJsselstein,GR2018_IJsselstein,Gemeenteraad IJsselstein 2018,0353,IJsselstein,2018-03-21,Stembureau OBS De Tandem,0353::SB2,3402 HP,1555,954,5,1,0,0,0,886,74,0,0,0,0,0,960,96,321,179,85,163,56,54
,IJsselstein,GR2018_IJsselstein,Gemeenteraad IJsselstein 2018,0353,IJsselstein,2018-03-21,"Stembureau Studio 10, Pulse",0353::SB3,3402 VD,1886,636,5,4,0,0,0,589,56,0,0,0,0,0,645,66,189,96,55,122,67,41
,IJsselstein,GR2018_IJsselstein,Gemeenteraad IJsselstein 2018,0353,IJsselstein,2018-03-21,Stembureau De Kanovereniging,0353::SB4,3402 MJ,1626,690,8,1,0,0,0,622,77,0,0,0,0,0,699,73,195,157,93,80,46,46
,IJsselstein,GR2018_IJsselstein,Gemeenteraad IJsselstein 2018,0353,IJsselstein,2018-03-21,"Stembureau Ewoud, Vecht en IJssel",0353::SB5,3401 RH,1961,1057,3,0,0,1,0,945,114,0,1,0,0,0,1059,115,268,243,194,74,52,111
,IJsselstein,GR2018_IJsselstein,Gemeenteraad IJsselstein 2018,0353,IJsselstein,2018-03-21,Stembureau Ontmoetingskerk,0353::SB6,3402 BG,1081,735,3,3,0,0,0,676,64,0,1,0,1,0,740,64,209,150,151,71,41,49
,IJsselstein,GR2018_IJsselstein,Gemeenteraad IJsselstein 2018,0353,IJsselstein,2018-03-21,"Stembureau 't Kruispunt, Verenigingsgebouw",0353::SB7,3401 CB,2002,1282,5,4,0,0,0,1167,125,1,0,1,0,0,1292,158,361,283,175,167,64,74
,IJsselstein,GR2018_IJsselstein,Gemeenteraad IJsselstein 2018,0353,IJsselstein,2018-03-21,"Stembureau De Oase, Pulse",0353::SB8,3401 BZ,745,346,3,1,0,0,0,320,30,0,0,0,0,0,350,37,86,92,87,18,14,12
,IJsselstein,GR2018_IJsselstein,Gemeenteraad IJsselstein 2018,0353,IJsselstein,2018-03-21,"Stembureau De Groene Olijftak, Verenigingsgebouw",0353::SB9,3401 GL,1535,815,6,1,0,0,0,769,53,0,0,0,0,0,822,70,284,201,95,91,37,37
,IJsselstein,GR2018_IJsselstein,Gemeenteraad IJsselstein 2018,0353,IJsselstein,2018-03-21,Stembureau CBS De Brug locatie Polderheem,0353::SB10,3401 GX,1395,730,2,5,0,0,0,632,105,0,0,0,0,0,737,80,217,155,91,71,34,82
,IJsselstein,GR2018_IJsselstein,Gemeenteraad IJsselstein 2018,0353,IJsselstein,2018-03-21,"Stembureau RKBS De Opstap, schoollocatie",0353::SB11,3401 GX,1529,1145,10,3,0,0,0,1019,141,2,0,2,0,0,1160,111,372,286,157,100,49,70
,IJsselstein,GR2018_IJsselstein,Gemeenteraad IJsselstein 2018,0353,IJsselstein,2018-03-21,Stembureau WOC gebouw,0353::SB12,3404 EX,1797,769,6,3,0,0,0,692,86,0,0,0,0,0,778,133,195,200,78,80,50,33
,IJsselstein,GR2018_IJsselstein,Gemeenteraad IJsselstein 2018,0353,IJsselstein,2018-03-21,Stembureau OBS De Torenuil,0353::SB13,3404 CJ,1717,823,6,1,0,0,0,743,87,0,0,0,0,0,830,122,249,239,57,83,39,34
,IJsselstein,GR2018_IJsselstein,Gemeenteraad IJsselstein 2018,0353,IJsselstein,2018-03-21,Stembureau Tramzicht,0353::SB14,3404 CS,2029,1106,1,3,0,0,0,1003,107,0,0,0,0,0,1110,153,318,346,95,86,56,52
,IJsselstein,GR2018_IJsselstein,Gemeenteraad IJsselstein 2018,0353,IJsselstein,2018-03-21,Stembureau OBS De Trekvogel,0353::SB15,3401 GX,1241,564,2,0,0,0,0,483,83,0,0,0,0,0,566,63,138,173,56,60,35,39
,IJsselstein,GR2018_IJsselstein,Gemeenteraad IJsselstein 2018,0353,IJsselstein,2018-03-21,Stembureau IJVO gebouw,0353::SB16,3402 TJ,1151,455,7,7,0,0,0,433,36,0,0,0,0,0,469,61,141,72,57,60,24,40
,IJsselstein,GR2018_IJsselstein,Gemeenteraad IJsselstein 2018,0353,IJsselstein,2018-03-21,Stembureau KBS School de Ark van Noach,0353::SB17,3404 JS,1841,608,2,0,0,0,0,545,65,0,0,0,0,0,610,105,202,152,49,55,24,21
