contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SP (Socialistische Partij),VV2000/Leefbaar Vlaardingen,Partij van de Arbeid (P.v.d.A.),ONS Vlaardingen,Democraten 66 (D66),CDA,Algemeen Ouderen Verbond (AOV),VVD,ChristenUnie-SGP,GROENLINKS,Stads Belangen Vlaardingen,Beter voor Vlaardingen (BVV),13,De Republikeinen
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Stadskantoor,0622::SB1,,1550,973,7,11,0,0,0,908,83,0,0,0,0,0,991,108,64,73,153,67,49,34,71,43,114,64,105,22,6
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Heilige Lucaskerk,0622::SB2,,1257,730,3,2,0,0,0,680,55,0,0,0,0,0,735,76,44,42,96,69,45,14,72,37,48,55,112,19,1
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Kerkgebouw de Fontein,0622::SB3,,1533,621,2,2,0,1,0,558,68,0,0,1,0,0,626,65,67,34,104,37,44,37,45,36,26,38,66,19,3
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Rehobothkerk,0622::SB4,,1593,881,2,2,0,0,0,796,89,0,0,0,0,0,885,66,73,50,182,38,95,37,82,71,46,49,65,17,10
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Zorgcentrum Soenda,0622::SB5,,1543,1023,3,1,0,2,0,943,86,0,0,2,0,0,1029,102,95,47,158,54,80,54,55,141,71,39,98,29,0
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Bibliotheek Centrum,0622::SB6,,1392,728,3,2,0,1,0,667,65,0,1,0,0,0,732,80,55,54,130,47,31,32,66,31,73,47,63,15,4
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau VOP Buurtkamer,0622::SB7,,1818,652,0,0,0,0,0,589,63,0,0,0,0,0,652,72,59,32,131,16,45,25,35,39,55,53,70,16,4
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Basisschool Het Visnet,0622::SB8,,1707,646,5,8,0,1,0,594,63,0,1,0,0,0,657,64,45,52,147,27,29,18,27,14,69,58,80,15,1
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Wooncentrum De Bolder,0622::SB9,,745,410,0,2,0,0,0,392,20,0,0,0,0,0,412,50,29,24,107,11,22,67,20,20,15,8,26,9,2
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Calvijnschool,0622::SB10,,1031,414,1,1,0,1,0,364,53,0,0,1,0,0,417,43,25,35,45,27,25,26,35,68,22,16,25,13,9
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau CBS de Schakel,0622::SB11,,1899,779,2,3,0,0,0,698,85,0,1,0,1,0,783,84,93,33,155,47,37,36,44,50,46,45,74,18,17
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Sporthal Westwijk,0622::SB12,,1897,564,2,1,0,3,0,523,47,0,0,3,0,0,570,72,62,22,122,21,32,31,42,40,36,23,36,20,5
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau O.B.S. de Wereldwijzer,0622::SB13,,1675,833,3,3,0,1,0,760,80,0,0,1,0,0,840,104,73,49,158,46,53,33,51,50,67,42,87,16,4
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Wijkcentrum West,0622::SB14,,1691,845,6,2,0,2,0,768,83,0,2,0,0,0,851,120,67,55,133,33,32,47,31,21,70,44,162,24,6
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Marnix Revalidatiecentrum,0622::SB15,,1302,418,0,0,0,1,0,386,33,0,0,1,0,0,419,54,35,30,86,19,33,22,16,34,22,20,33,12,2
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Het Spectrum,0622::SB16,,1422,621,1,4,0,0,0,566,60,0,0,0,0,0,626,78,36,46,88,36,41,16,59,34,76,33,67,9,2
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Daltonschool De Klinker,0622::SB17,,1397,708,4,4,0,1,0,660,57,0,0,1,0,0,717,102,53,55,110,46,37,14,41,28,93,38,62,26,3
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Pannekoekenhuis 't Hof,0622::SB18,,1013,645,0,3,0,2,0,573,73,0,2,0,0,0,646,50,30,48,67,75,59,8,95,47,95,23,44,3,1
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Basisschool Het Christal,0622::SB19,,1454,638,2,4,0,0,0,577,69,2,0,2,0,0,646,88,53,48,84,35,40,28,28,56,63,37,57,17,4
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau (Brasserie) De Ontmoeting,0622::SB20,,1749,691,1,9,0,0,0,634,67,0,0,0,0,0,701,70,62,58,103,39,54,51,52,21,60,49,57,15,0
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Bethelkerk,0622::SB21,,1443,1570,4,1,0,1,0,1426,150,0,0,1,0,0,1576,130,92,74,163,198,250,39,199,102,174,36,94,17,2
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Kerkgenootschap Leger des Heils,0622::SB22,,1710,879,7,7,0,0,0,805,88,0,0,0,0,0,893,108,83,55,116,71,82,25,63,38,74,64,85,11,4
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Begraafplaats Emaus,0622::SB23,,1539,743,4,3,0,0,0,683,67,0,0,0,0,0,750,58,43,52,95,91,57,35,95,49,85,27,51,4,1
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Hotel Restaurant Campanile,0622::SB24,,1563,455,2,3,0,3,0,415,48,0,0,3,0,0,463,42,44,37,70,34,32,15,48,11,53,9,44,16,0
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Zorgcentrum De Meerpaal,0622::SB25,,1030,626,1,1,0,1,0,574,53,0,1,0,0,0,627,35,36,38,76,45,103,47,120,20,52,10,38,6,0
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Vaartland,0622::SB26,,925,497,0,3,0,0,0,459,41,0,0,0,0,0,500,37,39,34,54,33,68,62,69,22,40,11,25,2,1
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Het Zonnehuis,0622::SB27,,839,464,1,8,1,0,0,431,43,0,0,1,0,0,474,67,41,33,58,17,40,52,39,23,47,14,23,10,0
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Voetbalvereniging Zwaluwen,0622::SB28,,1282,495,2,4,0,0,0,459,42,0,0,0,0,0,501,75,53,32,65,34,45,61,29,21,27,11,28,12,2
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Drieënhuysen,0622::SB29,,1489,738,4,2,0,2,0,666,80,0,0,2,0,0,746,82,54,60,100,39,90,90,93,43,36,16,26,9,0
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Kerkcentrum Holy,0622::SB30,,1636,1050,5,5,0,8,0,955,113,0,0,8,0,0,1068,127,82,64,148,50,106,106,81,72,96,31,55,28,4
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Kerk van de Nazarener,0622::SB31,,1362,494,2,3,0,1,0,454,46,0,0,1,0,0,500,76,48,37,90,21,40,41,16,32,49,11,20,12,1
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Woonzorgcentrum Uitzicht,0622::SB32,,1218,693,2,0,0,2,0,635,58,0,2,0,0,0,693,54,74,49,70,53,55,23,70,126,43,15,42,16,3
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Gymzaal Lissabonweg,0622::SB33,,1711,883,8,7,0,0,0,825,73,0,0,0,0,0,898,108,71,73,108,48,93,106,90,26,60,31,48,19,2
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Gymzaal Baarnhoeve,0622::SB34,,1557,547,2,2,0,5,0,494,52,0,5,0,0,0,546,79,45,29,101,30,30,43,34,39,37,19,48,11,2
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Hoylede,0622::SB35,,1552,716,0,1,0,0,0,642,75,0,0,0,0,0,717,67,56,59,97,63,69,51,105,33,57,17,37,5,0
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Begraafplaats Holy,0622::SB36,,1543,899,2,2,0,0,0,821,82,0,0,0,0,0,903,51,69,49,142,90,101,36,184,40,57,11,55,12,2
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau De Wouthof,0622::SB37,,1606,766,0,1,0,2,0,705,64,0,0,2,0,0,769,105,55,74,155,38,55,56,53,37,37,21,55,24,1
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau De Hoeksteen RK Basisschool,0622::SB38,,1473,1313,2,2,0,4,0,1208,113,0,0,4,0,0,1321,104,131,77,183,150,183,35,165,36,113,26,81,28,1
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Mobiel stembureau,0622::SB39,,0,112,1,2,0,0,0,98,17,0,0,0,0,0,115,10,14,6,18,6,5,4,13,4,14,8,4,3,3
,Vlaardingen,GR2018_Vlaardingen,Gemeenteraad Vlaardingen 2018,0622,Vlaardingen,2018-03-21,Stembureau Stadsgehoorzaal,0622::SB40,,1371,675,1,5,0,7,0,610,64,0,7,0,0,0,674,66,47,34,133,66,24,20,70,25,96,37,45,11,1
