contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CKenG,VVD,Democraten 66 (D66),CDA,Gemeente-en Dorpsbelang,GROENLINKS,Socialistische Partij,Partij van de Arbeid (P.v.d.A.),De VrijeLijst,Forza! Castricum
,Castricum,GR2018_Castricum,Gemeenteraad Castricum 2018,0383,Castricum,2018-03-21,Stembureau Gemeentehuis,0383::SB1,1902 CA,1926,1341,3,3,0,0,0,1239,108,0,0,0,0,0,1347,238,131,147,167,40,231,64,94,143,86
,Castricum,GR2018_Castricum,Gemeenteraad Castricum 2018,0383,Castricum,2018-03-21,Stembureau Maranathakerk,0383::SB3,1901 CA,1930,1361,3,6,0,0,0,1251,120,1,0,1,0,0,1371,197,159,156,150,50,240,73,89,175,72
,Castricum,GR2018_Castricum,Gemeenteraad Castricum 2018,0383,Castricum,2018-03-21,Stembureau De Kern,0383::SB4,1901 EW,1954,1044,6,1,0,0,0,976,75,0,0,0,0,0,1051,186,114,99,138,50,144,59,66,125,63
,Castricum,GR2018_Castricum,Gemeenteraad Castricum 2018,0383,Castricum,2018-03-21,Stembureau Dependance Clusius College,0383::SB5,1901 GD,1505,587,3,2,0,0,0,550,42,0,0,0,0,0,592,111,75,52,95,26,85,28,27,56,32
,Castricum,GR2018_Castricum,Gemeenteraad Castricum 2018,0383,Castricum,2018-03-21,Stembureau Helmgras,0383::SB6,1902 BA,1290,986,5,1,0,0,0,907,85,0,0,0,0,0,992,201,125,102,111,25,151,49,71,98,53
,Castricum,GR2018_Castricum,Gemeenteraad Castricum 2018,0383,Castricum,2018-03-21,Stembureau De Klimop,0383::SB7,1902 DH,1924,1161,3,4,0,0,0,1061,107,0,0,0,0,0,1168,232,168,97,136,41,159,75,59,108,86
,Castricum,GR2018_Castricum,Gemeenteraad Castricum 2018,0383,Castricum,2018-03-21,Stembureau Visser 't Hooftschool,0383::SB9,1902 KA,1913,1163,5,6,0,0,0,1069,105,0,0,0,0,0,1174,206,167,116,145,43,159,77,71,83,96
,Castricum,GR2018_Castricum,Gemeenteraad Castricum 2018,0383,Castricum,2018-03-21,Stembureau Clusius College,0383::SB10,1901 TX,1767,1132,3,4,0,0,0,1047,91,0,1,0,1,0,1138,185,116,108,134,48,165,74,95,134,73
,Castricum,GR2018_Castricum,Gemeenteraad Castricum 2018,0383,Castricum,2018-03-21,Stembureau De Santmark,0383::SB11,1901 WZ,1733,897,6,3,0,0,0,842,64,0,0,0,0,0,906,162,102,66,127,37,129,61,57,84,72
,Castricum,GR2018_Castricum,Gemeenteraad Castricum 2018,0383,Castricum,2018-03-21,Stembureau De Oude Keuken,0383::SB12,1901 ZZ,1228,546,1,1,0,0,0,501,48,1,0,1,0,0,549,61,95,70,66,19,86,33,34,67,15
,Castricum,GR2018_Castricum,Gemeenteraad Castricum 2018,0383,Castricum,2018-03-21,Stembureau FASE FIER,0383::SB13,1901 KA,1522,1214,13,3,0,0,0,1133,97,0,0,0,0,0,1230,146,186,115,124,49,213,86,81,134,80
,Castricum,GR2018_Castricum,Gemeenteraad Castricum 2018,0383,Castricum,2018-03-21,Stembureau 't Kruispunt,0383::SB14,1921 XC,2159,1335,4,4,0,0,0,1232,111,0,0,0,0,0,1343,159,523,49,237,159,43,23,55,34,53
,Castricum,GR2018_Castricum,Gemeenteraad Castricum 2018,0383,Castricum,2018-03-21,Stembureau Bibliotheek,0383::SB15,1921 EK,1985,1093,0,1,0,1,0,1002,91,0,1,0,0,0,1093,140,435,30,201,108,34,29,43,45,28
,Castricum,GR2018_Castricum,Gemeenteraad Castricum 2018,0383,Castricum,2018-03-21,Stembureau het Kleurenorkest,0383::SB17,1906 CC,2160,1268,4,6,0,0,0,1172,106,0,0,0,0,0,1278,171,211,103,186,221,93,48,54,104,77
,Castricum,GR2018_Castricum,Gemeenteraad Castricum 2018,0383,Castricum,2018-03-21,Stembureau Vredeburg,0383::SB18,1906 AL,1790,1279,3,5,0,0,0,1175,112,0,0,0,0,0,1287,110,251,101,195,326,56,33,49,79,79
,Castricum,GR2018_Castricum,Gemeenteraad Castricum 2018,0383,Castricum,2018-03-21,Stembureau De Cameren,0383::SB19,1906 XA,1946,993,5,3,0,0,0,924,77,0,0,0,0,0,1001,104,203,74,173,216,64,47,38,28,46
,Castricum,GR2018_Castricum,Gemeenteraad Castricum 2018,0383,Castricum,2018-03-21,Stembureau mobiel stembureau,0383::SB20,,0,247,0,0,0,0,0,219,28,0,0,0,0,0,247,30,37,12,28,6,21,16,21,68,8
,Castricum,GR2018_Castricum,Gemeenteraad Castricum 2018,0383,Castricum,2018-03-21,Stembureau Aangepast stembureau NS station,0383::SB21,1901 AA,0,988,9,3,0,0,0,930,71,1,0,1,0,0,1001,154,102,103,78,35,216,51,61,128,60
