contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,W70 Nuenen Gerwen Nederwetten Eeneind,Democraten 66 (D66),SP (Socialistische Partij),VVD,CDA,Partij van de Arbeid (P.v.d.A.),GROENLINKS,Combinatie Nuenen c.a.,Lijst Pijs,Nuenens Belang
,"Nuenen, Gerwen en Nederwetten",GR2018_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2018",0820,"Nuenen, Gerwen en Nederwetten",2018-03-21,Stembureau Het Klooster Raadszaal,0820::SB1,5671 GA,1342,1072,19,4,0,1,0,1028,66,0,1,0,0,0,1094,331,95,76,159,84,124,107,24,37,35
,"Nuenen, Gerwen en Nederwetten",GR2018_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2018",0820,"Nuenen, Gerwen en Nederwetten",2018-03-21,Stembureau Zorgcentrum  De Akkers,0820::SB2,5671 CW,1253,687,5,2,0,0,0,643,51,0,0,0,0,0,694,190,57,52,90,84,80,58,17,31,28
,"Nuenen, Gerwen en Nederwetten",GR2018_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2018",0820,"Nuenen, Gerwen en Nederwetten",2018-03-21,Stembureau BS De Dassenburcht,0820::SB3,5671 VP,1448,1095,14,4,0,0,0,1060,53,0,0,0,0,0,1113,305,102,49,147,140,124,130,33,35,30
,"Nuenen, Gerwen en Nederwetten",GR2018_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2018",0820,"Nuenen, Gerwen en Nederwetten",2018-03-21,Stembureau BS De Nieuwe Linde,0820::SB5,5673 AP,1409,1019,19,4,0,0,0,924,118,0,0,0,0,0,1042,303,122,48,177,85,66,117,24,42,35
,"Nuenen, Gerwen en Nederwetten",GR2018_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2018",0820,"Nuenen, Gerwen en Nederwetten",2018-03-21,Stembureau Brede school De Wentelwiek,0820::SB6,5672 HZ,1459,907,6,8,0,0,0,825,96,0,0,0,0,0,921,219,88,55,150,57,103,112,43,40,40
,"Nuenen, Gerwen en Nederwetten",GR2018_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2018",0820,"Nuenen, Gerwen en Nederwetten",2018-03-21,Stembureau PCN locatie Wederikdreef,0820::SB7,5672 BS,1206,632,7,5,0,0,0,590,54,0,0,0,0,0,644,199,55,42,67,45,66,76,20,39,23
,"Nuenen, Gerwen en Nederwetten",GR2018_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2018",0820,"Nuenen, Gerwen en Nederwetten",2018-03-21,Stembureau Wijkgebouw Scarabee,0820::SB8,5672 EA,888,463,4,5,0,0,0,429,43,0,0,0,0,0,472,120,50,52,44,35,62,42,7,29,22
,"Nuenen, Gerwen en Nederwetten",GR2018_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2018",0820,"Nuenen, Gerwen en Nederwetten",2018-03-21,Stembureau Gasterij Jo van Dijkhof,0820::SB9,5672 DA,1158,860,13,6,0,0,0,815,64,0,0,0,0,0,879,253,79,58,103,75,121,77,22,41,31
,"Nuenen, Gerwen en Nederwetten",GR2018_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2018",0820,"Nuenen, Gerwen en Nederwetten",2018-03-21,Stembureau De Crijnsschool,0820::SB10,5672 ST,1347,759,14,2,0,0,0,717,58,0,0,0,0,0,775,191,107,48,120,59,86,74,16,19,39
,"Nuenen, Gerwen en Nederwetten",GR2018_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2018",0820,"Nuenen, Gerwen en Nederwetten",2018-03-21,Stembureau RKVV Nederwetten,0820::SB11,5674 NA,707,450,14,2,0,0,0,417,49,0,0,0,0,0,466,87,28,24,69,55,28,51,78,3,27
,"Nuenen, Gerwen en Nederwetten",GR2018_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2018",0820,"Nuenen, Gerwen en Nederwetten",2018-03-21,Stembureau Gemeenschapshuis D'n Heuvel,0820::SB12,5674 RR,1647,963,13,5,0,0,0,885,97,0,0,1,0,0,982,306,51,42,129,69,63,108,127,46,22
,"Nuenen, Gerwen en Nederwetten",GR2018_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2018",0820,"Nuenen, Gerwen en Nederwetten",2018-03-21,Stembureau Gemeenschapshuis Enode,0820::SB13,5674 TN,600,371,5,5,0,0,0,358,23,0,0,0,0,0,381,101,29,13,57,20,29,34,8,23,57
,"Nuenen, Gerwen en Nederwetten",GR2018_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2018",0820,"Nuenen, Gerwen en Nederwetten",2018-03-21,Stembureau Locatie Brede School Oude Landen,0820::SB14,5673 PS,2965,1427,28,3,0,0,0,1312,146,0,0,0,0,0,1458,433,193,80,241,100,129,136,28,40,47
,"Nuenen, Gerwen en Nederwetten",GR2018_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2018",0820,"Nuenen, Gerwen en Nederwetten",2018-03-21,Stembureau Gemeentehuis,0820::SB15,5671 CK,1128,486,8,1,0,0,0,441,54,0,0,0,0,0,495,152,55,14,122,41,33,36,10,20,3
