contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Gemeentebelangen-VVD,Dorpen Centraal,Partij van de Arbeid (P.v.d.A.)
,Tubbergen,GR2018_Tubbergen,Gemeenteraad Tubbergen 2018,0183,Tubbergen,2018-03-21,"Stembureau Gemeentehuis, Tubbergen",0183::SB1,7651 CV,1568,986,0,3,0,0,0,871,118,0,0,0,0,0,989,518,252,61,155
,Tubbergen,GR2018_Tubbergen,Gemeenteraad Tubbergen 2018,0183,Tubbergen,2018-03-21,"Stembureau De Delle, Tubbergen",0183::SB2,7651 CL,1487,850,2,2,0,0,0,755,99,0,0,0,0,0,854,410,194,47,199
,Tubbergen,GR2018_Tubbergen,Gemeenteraad Tubbergen 2018,0183,Tubbergen,2018-03-21,Stembureau RK BS De Wiekslag,0183::SB3,7651 BS,1453,991,7,4,0,2,0,907,93,0,2,0,0,0,1000,523,203,71,194
,Tubbergen,GR2018_Tubbergen,Gemeenteraad Tubbergen 2018,0183,Tubbergen,2018-03-21,Stembureau Ontm ruimte De Aanleg Geesteren,0183::SB4,7678 VZ,1738,1063,1,1,0,0,0,919,146,0,0,0,0,0,1065,702,257,62,42
,Tubbergen,GR2018_Tubbergen,Gemeenteraad Tubbergen 2018,0183,Tubbergen,2018-03-21,Stembureau Zaal Kottink Geesteren,0183::SB5,7678 AW,1578,983,1,3,0,0,0,878,109,0,0,0,0,0,987,708,195,45,35
,Tubbergen,GR2018_Tubbergen,Gemeenteraad Tubbergen 2018,0183,Tubbergen,2018-03-21,"Stembureau De Spil, Fleringen",0183::SB6,7666 LH,697,547,0,1,0,0,0,503,45,0,0,0,0,0,548,340,144,31,32
,Tubbergen,GR2018_Tubbergen,Gemeenteraad Tubbergen 2018,0183,Tubbergen,2018-03-21,Stembureau Dorpshuis 't Eschhoes,0183::SB7,7661 RA,1181,849,3,0,0,0,0,753,99,0,0,0,0,0,852,483,261,28,77
,Tubbergen,GR2018_Tubbergen,Gemeenteraad Tubbergen 2018,0183,Tubbergen,2018-03-21,"Stembureau Zaal Morshuis, Albergen",0183::SB8,7665 RX,1509,947,5,2,0,1,0,838,117,0,0,1,0,0,955,495,298,83,71
,Tubbergen,GR2018_Tubbergen,Gemeenteraad Tubbergen 2018,0183,Tubbergen,2018-03-21,"Stembureau Clubgeb. Concordia, Albergen",0183::SB9,7665 AB,1298,843,2,2,0,0,0,753,94,0,0,0,0,0,847,521,172,54,96
,Tubbergen,GR2018_Tubbergen,Gemeenteraad Tubbergen 2018,0183,Tubbergen,2018-03-21,Stembureau Rabo Kultuurhoes Reutum,0183::SB10,7667 PV,1027,665,4,1,0,0,0,598,72,0,0,0,0,0,670,457,151,19,38
,Tubbergen,GR2018_Tubbergen,Gemeenteraad Tubbergen 2018,0183,Tubbergen,2018-03-21,"Stembureau De Gaarf, Langeveen",0183::SB11,7679 VG,996,626,0,1,0,0,0,536,91,0,0,0,0,0,627,455,99,47,25
,Tubbergen,GR2018_Tubbergen,Gemeenteraad Tubbergen 2018,0183,Tubbergen,2018-03-21,Stembureau Kulturhus Manderveen,0183::SB12,7664 VV,492,416,1,1,0,0,0,375,43,0,0,0,0,0,418,328,48,7,33
,Tubbergen,GR2018_Tubbergen,Gemeenteraad Tubbergen 2018,0183,Tubbergen,2018-03-21,"Stembureau De Haambrink, Mariaparochie",0183::SB13,7614 LA,1450,941,3,2,0,0,0,849,97,0,0,0,0,0,946,618,228,42,53
,Tubbergen,GR2018_Tubbergen,Gemeenteraad Tubbergen 2018,0183,Tubbergen,2018-03-21,Stembureau Mobiel stembureau,0183::SB14,,0,19,0,0,0,0,0,17,2,0,0,0,0,0,19,16,3,0,0
