contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Algemeen Belang,PrO (GroenLinks-PvdA-D66),Partij Gemeente Belangen,VVD,CDA
,Oisterwijk,GR2018_Oisterwijk,Gemeenteraad Oisterwijk 2018,0824,Oisterwijk,2018-03-21,Stembureau Het Raadhuis,0824::SB1,,1298,908,8,2,0,0,0,842,76,0,0,0,0,0,918,177,242,188,227,74
,Oisterwijk,GR2018_Oisterwijk,Gemeenteraad Oisterwijk 2018,0824,Oisterwijk,2018-03-21,Stembureau Zorgcentrum De Vloet,0824::SB2,,1343,821,4,4,0,0,0,753,78,2,0,2,0,0,831,176,223,147,181,94
,Oisterwijk,GR2018_Oisterwijk,Gemeenteraad Oisterwijk 2018,0824,Oisterwijk,2018-03-21,Stembureau Atelier De Krekul,0824::SB3,,1475,661,2,1,0,0,0,607,57,0,0,0,0,0,664,126,199,186,100,50
,Oisterwijk,GR2018_Oisterwijk,Gemeenteraad Oisterwijk 2018,0824,Oisterwijk,2018-03-21,Stembureau Basisschool De Tovervogel,0824::SB4,,1706,991,6,8,0,0,0,909,96,0,0,0,0,0,1005,176,244,162,291,118
,Oisterwijk,GR2018_Oisterwijk,Gemeenteraad Oisterwijk 2018,0824,Oisterwijk,2018-03-21,Stembureau Kerkhovense Molen,0824::SB5,,1062,690,4,2,0,0,0,639,57,0,0,0,0,0,696,112,201,204,109,64
,Oisterwijk,GR2018_Oisterwijk,Gemeenteraad Oisterwijk 2018,0824,Oisterwijk,2018-03-21,Stembureau Brede school De Bunders,0824::SB6,,1354,994,8,2,0,1,0,884,121,0,0,1,0,0,1005,177,228,153,342,94
,Oisterwijk,GR2018_Oisterwijk,Gemeenteraad Oisterwijk 2018,0824,Oisterwijk,2018-03-21,Stembureau Ontmoetingscentrum De Coppele,0824::SB7,,2190,980,2,1,0,0,0,907,76,0,0,0,0,0,983,153,323,312,115,77
,Oisterwijk,GR2018_Oisterwijk,Gemeenteraad Oisterwijk 2018,0824,Oisterwijk,2018-03-21,Stembureau 2College Durendael,0824::SB8,,1789,746,7,1,0,0,0,678,76,0,0,0,0,0,754,151,182,147,188,78
,Oisterwijk,GR2018_Oisterwijk,Gemeenteraad Oisterwijk 2018,0824,Oisterwijk,2018-03-21,Stembureau Basisschool De Molenhoek,0824::SB9,,1653,616,3,0,0,0,0,562,57,0,0,0,0,0,619,119,147,154,135,61
,Oisterwijk,GR2018_Oisterwijk,Gemeenteraad Oisterwijk 2018,0824,Oisterwijk,2018-03-21,Stembureau Wijkcentrum Pannenschuur,0824::SB10,,1909,996,5,1,0,0,0,914,88,0,0,0,0,0,1002,155,299,322,147,73
,Oisterwijk,GR2018_Oisterwijk,Gemeenteraad Oisterwijk 2018,0824,Oisterwijk,2018-03-21,Stembureau Obs de Bienekebolders,0824::SB11,,1582,658,6,1,0,0,0,580,85,0,0,0,0,0,665,190,80,229,87,72
,Oisterwijk,GR2018_Oisterwijk,Gemeenteraad Oisterwijk 2018,0824,Oisterwijk,2018-03-21,Stembureau Cult. centr. Den Boogaard,0824::SB12,,1760,1381,2,4,0,1,0,1244,144,0,0,1,0,0,1388,358,141,455,243,184
,Oisterwijk,GR2018_Oisterwijk,Gemeenteraad Oisterwijk 2018,0824,Oisterwijk,2018-03-21,Stembureau Park Stanislaus,0824::SB13,,1670,907,5,3,0,1,0,810,104,0,1,0,0,0,914,281,100,259,167,100
