contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),VVD,GROENLINKS,Partij van de Arbeid (P.v.d.A.),Gemeentebelangen Beverwijk,CDA,Democraten Beverwijk,SamenBeverwijk,VRIJ !
,Beverwijk,GR2018_Beverwijk,Gemeenteraad Beverwijk 2018,0375,Beverwijk,2018-03-21,"Stembureau Buurthuis Wijk aan Duin, Wilgenhofln 2C",0375::SB2,,2199,1105,3,7,0,0,0,999,116,0,0,0,0,0,1115,146,106,207,141,73,101,57,185,89
,Beverwijk,GR2018_Beverwijk,Gemeenteraad Beverwijk 2018,0375,Beverwijk,2018-03-21,"Stembureau Gymzaal Kuikensweg, Kuikensweg 16",0375::SB3,,2157,954,7,3,0,0,0,881,83,0,0,0,0,0,964,199,139,130,99,53,109,71,91,63
,Beverwijk,GR2018_Beverwijk,Gemeenteraad Beverwijk 2018,0375,Beverwijk,2018-03-21,"Stembureau Montessorischool, Laan van Blois 100",0375::SB4,,2162,1146,6,4,0,1,0,1059,98,0,0,1,0,0,1157,197,244,201,81,33,115,79,100,96
,Beverwijk,GR2018_Beverwijk,Gemeenteraad Beverwijk 2018,0375,Beverwijk,2018-03-21,"Stembureau Museum Kennemerland, Noorderwijkweg 2A",0375::SB5,,2042,1326,7,2,0,0,0,1206,130,0,0,1,0,1,1336,286,280,243,115,40,178,51,58,75
,Beverwijk,GR2018_Beverwijk,Gemeenteraad Beverwijk 2018,0375,Beverwijk,2018-03-21,"Stembureau Nieuw Akerendam, Mr van Lingenlaan 2",0375::SB8,,1988,905,4,3,0,0,0,832,80,0,0,0,0,0,912,189,244,136,58,28,104,44,46,56
,Beverwijk,GR2018_Beverwijk,Gemeenteraad Beverwijk 2018,0375,Beverwijk,2018-03-21,"Stembureau Woonzorgcentrum Lommerlust, Peperstr. 17",0375::SB9,,2062,816,7,3,2,0,0,770,58,0,0,2,0,0,828,81,101,129,77,104,91,49,92,92
,Beverwijk,GR2018_Beverwijk,Gemeenteraad Beverwijk 2018,0375,Beverwijk,2018-03-21,"Stembureau Socius, Trijntje Kemp-Haanstraat 37",0375::SB10,,1630,565,4,2,0,0,0,525,46,0,0,0,0,0,571,60,77,100,61,61,36,50,75,45
,Beverwijk,GR2018_Beverwijk,Gemeenteraad Beverwijk 2018,0375,Beverwijk,2018-03-21,"Stembureau Kennemer College, Büllerlaan 2",0375::SB11,,2176,972,9,8,0,0,0,912,78,1,0,1,0,0,990,128,92,156,145,52,93,61,151,94
,Beverwijk,GR2018_Beverwijk,Gemeenteraad Beverwijk 2018,0375,Beverwijk,2018-03-21,"Stembureau Huis ter Wijck, Plesmanweg 1",0375::SB12,,2058,717,7,4,0,2,0,679,51,0,0,2,0,0,730,59,92,132,88,59,96,54,75,62
,Beverwijk,GR2018_Beverwijk,Gemeenteraad Beverwijk 2018,0375,Beverwijk,2018-03-21,"Stembureau Immanuëlkerk, Olieslagerslaan 20",0375::SB13,,1306,401,2,8,0,0,0,381,30,0,0,0,0,0,411,38,41,51,79,31,31,39,39,52
