contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,VVD,Verenigde Senioren Partij,Maassluis Belang,Democraten 66 (D66),ChristenUnie,Forum voor Maassluis,GROENLINKS
,Maassluis,GR2018_Maassluis,Gemeenteraad Maassluis 2018,0556,Maassluis,2018-03-21,Stembureau Stadhuis,0556::SB1,,1576,1196,9,1,0,0,0,1044,165,0,0,3,0,0,1209,226,239,162,161,96,64,53,113,82
,Maassluis,GR2018_Maassluis,Gemeenteraad Maassluis 2018,0556,Maassluis,2018-03-21,Stembureau Stroomopwaarts,0556::SB2,,2485,1066,5,1,0,0,0,938,134,0,0,0,0,0,1072,127,231,179,107,86,78,92,104,62
,Maassluis,GR2018_Maassluis,Gemeenteraad Maassluis 2018,0556,Maassluis,2018-03-21,Stembureau CBS Het Spectrum,0556::SB3,,1596,799,4,0,0,0,0,720,83,0,0,0,0,0,803,126,125,93,103,92,51,70,71,68
,Maassluis,GR2018_Maassluis,Gemeenteraad Maassluis 2018,0556,Maassluis,2018-03-21,"Stembureau Pr Christinaschool, loca. Startpunt",0556::SB4,,1552,887,7,8,0,0,0,802,100,0,0,0,0,0,902,179,196,100,67,82,49,82,63,69
,Maassluis,GR2018_Maassluis,Gemeenteraad Maassluis 2018,0556,Maassluis,2018-03-21,Stembureau Restaurant De Ridderhof,0556::SB5,,1541,757,6,2,0,0,0,701,64,0,0,0,0,0,765,85,142,140,63,62,74,96,43,52
,Maassluis,GR2018_Maassluis,Gemeenteraad Maassluis 2018,0556,Maassluis,2018-03-21,Stembureau Dienstencentrum De Tweemaster,0556::SB6,,1228,509,7,1,0,0,0,477,40,0,0,0,0,0,517,79,126,59,29,37,39,65,38,37
,Maassluis,GR2018_Maassluis,Gemeenteraad Maassluis 2018,0556,Maassluis,2018-03-21,Stembureau Dienstencentrum De Vliet,0556::SB7,,1699,876,5,2,0,0,0,808,79,0,0,4,0,0,887,173,159,84,106,74,45,96,77,62
,Maassluis,GR2018_Maassluis,Gemeenteraad Maassluis 2018,0556,Maassluis,2018-03-21,Stembureau Immanuëlkerk,0556::SB8,,1538,834,3,3,0,0,0,764,76,0,0,0,0,0,840,147,199,60,118,65,35,79,89,42
,Maassluis,GR2018_Maassluis,Gemeenteraad Maassluis 2018,0556,Maassluis,2018-03-21,Stembureau Lentiz | VMBO Maassluis,0556::SB9,,1558,830,6,0,0,0,0,752,84,0,0,0,0,0,836,117,169,156,79,76,35,83,71,44
,Maassluis,GR2018_Maassluis,Gemeenteraad Maassluis 2018,0556,Maassluis,2018-03-21,Stembureau Ontmoetingscentrum De Vloot,0556::SB10,,1845,904,10,5,0,0,0,832,87,0,0,0,0,0,919,129,187,113,185,58,35,91,68,38
,Maassluis,GR2018_Maassluis,Gemeenteraad Maassluis 2018,0556,Maassluis,2018-03-21,Stembureau Kunst en Cultuur Academie,0556::SB11,,1836,1043,5,7,0,0,0,966,89,0,0,0,0,0,1055,102,246,197,148,69,44,110,75,52
,Maassluis,GR2018_Maassluis,Gemeenteraad Maassluis 2018,0556,Maassluis,2018-03-21,Stembureau Gereformeerde Kerk Vrijgemaakt,0556::SB12,,1472,847,3,4,0,0,0,764,90,0,0,0,0,0,854,88,201,130,90,97,54,73,80,34
,Maassluis,GR2018_Maassluis,Gemeenteraad Maassluis 2018,0556,Maassluis,2018-03-21,Stembureau OBS De Westhoek,0556::SB13,,1509,782,1,1,0,1,0,704,79,0,1,0,0,0,783,83,173,150,88,71,39,43,100,35
,Maassluis,GR2018_Maassluis,Gemeenteraad Maassluis 2018,0556,Maassluis,2018-03-21,Stembureau Kardinaal Alfrinkschool,0556::SB14,,1303,508,3,3,0,0,0,432,82,0,0,0,0,0,514,70,171,50,31,39,26,41,41,39
,Maassluis,GR2018_Maassluis,Gemeenteraad Maassluis 2018,0556,Maassluis,2018-03-21,Stembureau Wethouder Smithal,0556::SB15,,1453,871,2,3,0,2,0,789,89,0,0,2,0,0,878,78,203,195,78,90,58,54,76,39
,Maassluis,GR2018_Maassluis,Gemeenteraad Maassluis 2018,0556,Maassluis,2018-03-21,Stembureau Verpleeghuis Driemaashave,0556::SB16,,1845,972,9,1,0,0,0,890,92,0,0,0,0,0,982,101,240,200,92,83,67,67,81,41
