contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Staatkundig Gereformeerde Partij (SGP),CDA,ChristenUnie,Gemeente Belangen,VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),Burgerbelangen,Democratische Kiezers Ede,65pluspartij,Evenwicht,GROENLINKS,Gereformeerde Beginsel Partij (GBP)
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,"Stembureau Het Raadhuis, Hoofdingang",0228::SB1,,1622,1008,3,0,0,0,0,900,115,4,0,4,0,0,1015,70,150,141,164,148,89,65,50,16,14,6,89,6
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Verzorgingshuis Bethanië,0228::SB2,,1466,1224,2,1,0,0,0,1107,120,0,0,0,0,0,1227,107,163,201,140,175,114,54,68,9,10,6,175,2
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Vilente De Nieuwe Klinkenberg,0228::SB3,,1704,599,0,0,0,0,0,526,72,0,1,0,1,0,598,33,52,83,117,92,44,25,43,19,11,3,75,2
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Vilente St.Barbara,0228::SB4,,1702,944,1,5,0,4,0,869,89,3,0,8,1,0,958,50,177,100,143,129,88,49,69,13,14,4,108,0
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau De Doelen,0228::SB5,,1751,1013,5,8,0,0,0,936,92,0,0,2,0,0,1028,56,105,163,203,143,97,46,73,14,8,5,100,0
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau De Wonewij,0228::SB6,,1879,929,1,2,0,1,0,836,95,0,1,0,0,0,931,35,99,168,153,90,86,45,76,27,9,5,133,3
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau De Petrakerk,0228::SB7,,1395,606,0,1,0,0,0,517,90,0,0,0,0,0,607,239,84,83,28,41,36,9,37,10,3,3,29,4
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Elim,0228::SB8,,1645,1105,6,4,0,0,1,973,139,0,2,0,0,0,1113,90,107,177,152,152,105,53,84,56,9,9,108,3
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau CNS-basisschool De Vuursteen,0228::SB9,,1900,1070,3,1,0,0,0,976,96,0,2,0,0,0,1072,112,96,195,131,147,93,51,100,40,7,4,91,3
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Restaurant Buitenzorg,0228::SB10,,1503,1047,2,1,0,0,0,957,93,0,0,0,0,0,1050,121,133,136,219,101,92,35,52,29,19,8,100,2
